layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.0034215251310215377,-0.0016928666307072886,-0.003683904160343273,-0.0018092702649677415,0.00026237902932173523,0.00011640363426045292
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.001428734804535305,0.0009950596887107362,0.002123283973216631,0.0008365329339900482,-0.0006945491686813261,0.00015852675472068794
1,1.0,0.004438036742797973,0.0016871241264131028,0.004147616551945313,0.00207177979161724,0.00029042019085265963,-0.000384655665204137
1,1.5,0.007198823085144389,0.0024515244949113494,0.006335285360632818,0.0032041962193916176,0.0008635377245115707,-0.0007526717244802682
2,-1.0,0.00029841560978655324,0.0006988088254527176,-0.000265799980946016,0.0006728408223110721,0.0005642155907325693,2.5968003141645492e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,-0.00018992486255297683,-0.00042670554706635694,4.467651573157131e-05,-0.0004823314959048637,-0.00023460137828454813,5.5625948838506744e-05
2,1.0,9.109078112220827e-05,-0.001189824720207874,0.0007763853683570321,-0.0014217029682786393,-0.0006852945872348238,0.00023187824807076535
2,1.5,0.0018751724543472372,-0.0023413862781302883,0.0021867133080930787,-0.0023806670148343776,-0.0003115408537458415,3.928073670408927e-05
3,-1.0,-0.004617270320750415,-0.0008108225467849025,-0.0026056525954881588,-0.0017569791612710186,-0.002011617725262256,0.000946156614486116
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.0018390839757014346,0.0003359225628216898,0.0012473239741106756,0.0007493533012940835,0.000591760001590759,-0.00041343073847239365
3,1.0,0.004851295405030123,0.0006242746880381159,0.003154914280878362,0.0015517294445213843,0.0016963811241517616,-0.0009274547564832684
3,1.5,0.00692823276911303,0.0009387482459607849,0.005198785262471348,0.002162682286050046,0.001729447506641682,-0.0012239340400892612
4,-1.0,-0.004313433435515532,0.002794882416476891,-0.004695839176956353,0.002494509095976929,0.0003824057414408208,0.0003003733204999621
