layer,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0036344239382723655,0.004911214389440244,0.0031388646067223094,0.0018320934320479436,0.0048375253473380885,0.0008475702288934008,0.9376859722661371
2,0.0010359938083217052,0.0032725608621703576,0.00041509111220900996,-0.0009492010005504615,0.00282183361252189,-0.0016573803606447293,0.8095042961149278
3,0.005865729183913143,0.0036923595896304617,0.005711140129732045,0.0013377807285106836,0.0036490090950388743,0.0005641382485345297,0.9970595287027816
4,0.004788425493814979,0.0033210793382991385,0.003461148616402195,-0.00330899818147342,0.00251596081359824,-0.002167835131119414,0.9986628610113686
5,0.004995270141881856,0.0037177367465622826,-0.004703357034988823,-0.0016826040508086046,-0.0027894585593093205,-0.002457740316354736,0.9291438816457918
6,0.009254678446467619,0.008205654079538997,-0.003235904700996201,-0.008670524431289205,-0.0055909286476039976,-0.0060061864548526895,0.9239907977718599
7,0.005111164759023671,0.002001897851936309,-0.00508957805476145,0.0004692551740536899,-0.00151606609031283,-0.0013073402844671993,0.6941594856791006
8,0.006435726791287512,0.003962021550132499,0.006323192315182434,-0.001198256348747491,0.0031360616314124435,-0.002421307953916034,0.8914751425145034
9,0.004295473676133722,0.006481548755037429,0.0036812115540612194,0.002213543673977076,0.0062202094061796455,0.001821941054809817,0.9672979169233815
10,0.0039102148902156715,0.00114418047449703,0.0033657713847226162,-0.0019903174303228014,-3.7039393748427664e-05,-0.0011435807979898044,0.4808732090671292
11,0.0030178084203753164,0.0012542328307546971,-0.0016652489906793199,-0.002516766469327194,-0.0002947017152468122,-0.001219118900178948,0.9402792497905259
12,0.003037330793761214,0.0013308262886256288,0.0027899496690014397,-0.0012006494888887771,0.0010835479617575805,-0.0007726722623907616,0.9773866346369909
13,0.0007426254457948147,0.001043951784046439,1.3575092616717003e-05,-0.0007425013600003671,-0.0008327083847284473,-0.0006296285201741447,0.0
14,0.00023445217022752742,0.00018125982852184802,0.00023323531878541304,2.385594675262855e-05,0.00017832673681691946,-3.2476150818699e-05,0.0
15,1.8297641099431827e-05,2.8195412947295536e-05,-1.797768406725427e-05,-3.4068380327818373e-06,-2.735637076155493e-05,-6.827172915992626e-06,0.0
