layer,relative_depth,alpha,aligned_matched_shift_V,aligned_matched_shift_A,aligned_random_shift_V,aligned_random_shift_A,aligned_self_self_shift_V,aligned_self_self_shift_A,aligned_reader_reader_shift_V,aligned_reader_reader_shift_A,aligned_specificity_V,aligned_specificity_A,aligned_cohen_dz_V,aligned_cohen_dz_A,aligned_ci_95_low_V,aligned_ci_95_high_V,aligned_ci_95_low_A,aligned_ci_95_high_A,aligned_p_val_V,aligned_p_val_A,transfer_ratio_V,transfer_ratio_A,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,self_self_shift_V,self_self_shift_A,reader_reader_shift_V,reader_reader_shift_A,self_reader_shift_V,self_reader_shift_A,specificity_V,specificity_A,cohen_dz_V,cohen_dz_A,ci_95_low_V,ci_95_high_V,ci_95_low_A,ci_95_high_A,p_val_V,p_val_A
10,0.37037037037037035,-1.0,-0.01651032686877722,-0.018440038573573864,0.03765734499723817,-0.011853528874094466,-0.016964014352294405,-0.015715475832000714,-0.013598517606994265,-0.01627872179168577,-0.054167671866015385,-0.006586509699479399,-0.24556661885276473,-0.07904583556713185,-0.10156549068784627,-0.012536901379704077,-0.02367474526786016,0.008399272861911836,0.018061248256349277,0.44056566778152895,,,-0.07750530266533093,-0.028896966681455694,-0.07598699101517113,-0.02980912573035636,-0.06573653224695263,-0.023134583192042046,-0.09619004383025738,-0.03028856544401119,-0.0822944748496935,-0.02411933167723811,-0.0015183116501597954,0.0009121590489006674,-0.006682745725699423,0.010913237375705676,-0.0471788855824104,0.041121955836108275,-0.015547975917224729,0.016475544238176352,0.9479315966109917,0.91507201886375
10,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,0.37037037037037035,0.5,0.011144694883471556,0.00835297421266648,-0.008432674958894187,0.0023743033574902817,0.009745312472789786,0.007417695771010997,0.008561773824566596,0.005959731754000793,0.019577369842365744,0.005978670855176199,0.22598289551390918,0.18822029169827434,0.00419048406942279,0.037294511953018764,0.00048035584294585306,0.012376380772333004,0.02920893352689461,0.06827430894915526,,,0.03417933776837589,0.01335703001171241,0.018804676975439704,0.009124642017125428,0.03306228594115345,0.01177548603658348,0.04064505606547214,0.013063328641559587,0.04081691750855073,0.01238713130957178,0.015374660792936184,0.004232387994586981,0.1757413084985675,0.13206978334796637,0.0009450481625035156,0.03394515319315311,-0.0015286405946947283,0.010752691803521081,0.08834104866772609,0.1987975017203322
10,0.37037037037037035,1.0,0.016472001719927142,0.01511131032148628,-0.012419220181310179,0.0026411725234895453,0.01836326971683606,0.01312288173476984,0.01002271518942637,0.008931385677207063,0.028891221901237323,0.012470137797996734,0.21305922500418528,0.2344590877250765,0.005457921591609268,0.05638919846921661,0.0035226900506761293,0.023081879272399405,0.03951549473122254,0.023801733143590884,,,0.05620866018606218,0.023270567837397328,0.025565720171776274,0.012618271962482469,0.05489852899311153,0.02055242203673523,0.047739481700772975,0.018022218132104178,0.054033828381770614,0.018154636437661853,0.030642940014285906,0.010652295874914858,0.22662768490500507,0.19879377568562828,0.008339673482914476,0.05834743708224129,0.0014413454888353864,0.021693500522386482,0.028762774861312124,0.05439412793185717
10,0.37037037037037035,1.5,0.02057140715100858,0.018590367712453797,-0.012735302802991446,0.0023555750259267225,0.02090024795854159,0.0166686542833705,0.009367011465981392,0.00977615438459579,0.03330670995400003,0.016234792686527076,0.21664462776515714,0.25050838128666136,0.00671256779090769,0.06365932698011874,0.005228345455299864,0.029290481173005613,0.03638129242761196,0.01592973405942629,,,0.06576276322841319,0.028819185885631354,0.02783754144424534,0.013928982750616234,0.06555091258936475,0.02559757132392267,0.041621954134367506,0.01820870875537353,0.05277911620374707,0.018930627856823434,0.03792522178416785,0.01489020313501512,0.24843930052489754,0.22861280812368887,0.01205812863470825,0.06904214102923902,0.003317978073102052,0.028010878598030475,0.01679322774286835,0.027426394723908672
11,0.4074074074074074,-1.0,-0.020151750874001232,-0.019804534188113676,0.043801280368521656,-0.009298709017563994,-0.019143438078118687,-0.016784576281200347,-0.011760158899753731,-0.017194045673779274,-0.06395303124252288,-0.010505825170549682,-0.22867505365163607,-0.11498510956110666,-0.12409493572007646,-0.010961874745941472,-0.028456607597113666,0.0063321376888537265,0.027385385859041225,0.2627412416994088,,,-0.0881730389643709,-0.029765428331905652,-0.07723389343073761,-0.026464535743427508,-0.07237077576647503,-0.023735450450206686,-0.11478999152733786,-0.03474430796940219,-0.08548711745452836,-0.024416906670709327,-0.010939145533633288,-0.0033008925884781444,-0.038148583344011264,-0.03591233177437329,-0.06951235418875902,0.04186411866484781,-0.02143323685509492,0.013133790789107506,0.7094021754645983,0.7257168958029439
11,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,0.4074074074074074,0.5,0.011933843712445713,0.008191573856812203,-0.007056421514733083,0.0010175877686357249,0.009843768874088202,0.0071798261054866475,0.007391687693030798,0.0052446522043852655,0.018990265227178796,0.0071739860881764785,0.19602317144141454,0.24262102210482012,0.002124784060472595,0.03905902992790166,0.002131368464615086,0.01314069346755038,0.05777763470410183,0.019449220970318037,,,0.034488456899471796,0.012015216980620544,0.013426182052451038,0.005765791540977311,0.03221892166670698,0.01058214672982391,0.04001577977869062,0.011382875699115022,0.03835250841092605,0.01041741674815938,0.021062274847020758,0.006249425439643233,0.21838897594897982,0.20985304509381664,0.00516694587990436,0.041573670364655806,0.0013856499256593364,0.012563606744504564,0.034935885730876845,0.042512704365705464
11,0.4074074074074074,1.0,0.017012340384976437,0.012643554138225191,-0.008544439621445946,-9.922794120121685e-05,0.014971992716886123,0.011737047324384001,0.009461135232710777,0.006984976831389368,0.025556780006422385,0.012742782079426408,0.18180470240086702,0.2824775686934299,0.0013897333493286693,0.05393242819743807,0.0049011361256332975,0.022035074072179122,0.07805686484655203,0.006786637460446147,,,0.0487933273832426,0.01779998483428648,0.01379416521113889,0.006575517858363365,0.04959296693257734,0.016639428241141414,0.04653646326725359,0.013537267605395595,0.05496787260420993,0.014942471204426136,0.034999162172103714,0.011224466975923116,0.2526974083653589,0.24660196741833487,0.012306660178611421,0.06351486253163037,0.0033269309089435707,0.020545398830451592,0.01505956242903062,0.01759473957067712
11,0.4074074074074074,1.5,0.01942853434292946,0.014771646869415215,-0.006781683741985868,-0.001537357274874825,0.017450086857003343,0.014704087081326664,0.007963771187727342,0.00651735944546511,0.02621021808491533,0.01630900414429004,0.17149366442788927,0.30530924052899727,0.0009420412337479737,0.055614711948165196,0.007027124450681591,0.027427935715749443,0.09618686237891323,0.0035373623823779436,,,0.050725176745663014,0.019997840151077584,0.010033644949755833,0.00499146600639494,0.05609100785661548,0.01947531823050939,0.039896592337737215,0.0121593055638712,0.057107721637979954,0.014934954479005244,0.04069153179590718,0.015006374144682644,0.27200631920236884,0.27891622732896,0.015448546103357112,0.07066995906904923,0.005324211196420896,0.025939680204841706,0.00904426844376643,0.007489172841622933
