component,delta_Ev_unembed,delta_Ev_l27,delta_WD_unembed,delta_WD_l27
attn_14,0.035904947916666666,0.005078125,0.24136353072154051,0.0013346000097398613
mlp_10,0.007552083333333333,-0.008854166666666666,0.24227495023180126,-0.002291878078776307
mlp_15,0.0064453125,0.0130859375,0.23852173535069635,0.001810617943177173
