w_exact_neutral_pct,r_exact_neutral_pct,s_exact_neutral_pct,model
100.0,100.0,100.0,behavioral_emobank_qwen_base
100.0,100.0,100.0,behavioral_emobank_qwen_instruct
100.0,100.0,100.0,qwen_base
100.0,100.0,100.0,qwen_instruct
