r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,layer,target
-2.120525977034049e-13,-2.120525977034049e-13,-2.120525977034049e-13,-2.120525977034049e-13,0.0,0.0,-2.120525977034049e-13,Directly non-transferable / poorly alignable representation,0,Valence_human
0.9440842000802909,0.944318852987035,0.6273473417652364,0.6170266061633082,0.6221869739642722,0.9753455609175348,0.904547722639529,Shared Geometry,1,Valence_human
0.9832662440061217,0.9834521101028904,0.7030631454567395,0.3074678725972343,0.5052655090269869,0.989533062569794,0.9424622675276506,Shared Geometry,2,Valence_human
0.9881002424688908,0.9875810841452694,0.4039617905599463,0.5296660042173675,0.4668138973886569,0.9850848322139616,0.9493138235443,Shared Geometry,3,Valence_human
0.9841090556136267,0.9831028175989276,0.6058254514010429,0.5609132759985651,0.5833693636998041,0.9836319252126775,0.938716324271068,Shared Geometry,4,Valence_human
0.9739889774245724,0.9750277143727607,0.10520876598424422,0.09224171273018855,0.09872523935721639,0.9812238001779554,0.9225603757465272,Alignable Geometry,5,Valence_human
0.9752029840564076,0.9731924343548608,-0.14305671902196293,-0.2841127964996222,0.0,0.9659891048152633,0.9248665907747214,Alignable Geometry,6,Valence_human
0.9751572664199163,0.9731436757249528,0.20054305982620702,-0.020061614850649168,0.09024072248777892,0.9672732076282755,0.9198767053136135,Alignable Geometry,7,Valence_human
0.9741718628511261,0.969252825808674,-0.6847474927856547,-0.1509397823640175,0.0,0.972887356769771,0.9054159638461241,Alignable Geometry,8,Valence_human
0.9755320495143548,0.9729653287453838,0.16925766943928977,-0.12353918654004237,0.022859241449623702,0.9689734846977002,0.9064934037041813,Alignable Geometry,9,Valence_human
0.9783041647546109,0.9760072697469769,-0.25659587478795065,-0.1655501583941612,0.0,0.9661801188366218,0.8957523982905384,Alignable Geometry,10,Valence_human
0.9768184918884285,0.9755452155966847,-1.3192009355705347,-1.3905793857381883,0.0,0.9604901756355122,0.8715260435607332,Alignable Geometry,11,Valence_human
0.9755728450019563,0.9773584350079645,-1.5887831601523823,-1.8087900495059395,0.0,0.9566458088034303,0.8519832052501921,Alignable Geometry,12,Valence_human
0.9711954772931882,0.9741290749488278,-2.3170973073347487,-2.2910865395187514,0.0,0.9448104365001871,0.8246083242430582,Alignable Geometry,13,Valence_human
0.9827519315882218,0.9826229709744437,-1.959949510344599,-1.993695346999937,0.0,0.9366388476324798,0.8209169831929439,Alignable Geometry,14,Valence_human
0.9740003390767087,0.9767117021471056,-1.7025067942381078,-1.71375258437025,0.0,0.9202154708026047,0.7987385406620301,Alignable Geometry,15,Valence_human
0.9775667178603497,0.9821840658086104,-4.447619889432424,-2.483344634084091,0.0,0.9046508362965804,0.7451086249005352,Alignable Geometry,16,Valence_human
0.9764269684967574,0.9791018426863961,-2.53855463096359,-4.666020697590937,0.0,0.8968287276250279,0.8027783201326852,Alignable Geometry,17,Valence_human
0.9795751824378289,0.9810097181190561,-4.533237599099628,-3.2447222061802377,0.0,0.8917726735516124,0.7591005595556541,Alignable Geometry,18,Valence_human
0.9793296715226563,0.9779154432198882,-4.601313030418809,-4.928267246088826,0.0,0.8796037957022699,0.7562911797795557,Alignable Geometry,19,Valence_human
0.9785893448657554,0.9782176607958433,-2.3440358780142776,-3.200341474597395,0.0,0.8567691915890876,0.7343494453988575,Alignable Geometry,20,Valence_human
0.9833103669032488,0.9815699597412028,-4.349895286651353,-2.560918844147708,0.0,0.8375697599628242,0.73044034378393,Alignable Geometry,21,Valence_human
0.984570174844182,0.9852777244971989,-3.247510174768335,-2.3697425341421448,0.0,0.8128364575145304,0.7646421197608458,Alignable Geometry,22,Valence_human
0.983074084653662,0.9856397562833505,-4.481468735955056,-7.165094709517133,0.0,0.813140660057884,0.7785555975518803,Alignable Geometry,23,Valence_human
0.989059659891972,0.9900147566522527,-1.4999029949851654,-3.9147554036153807,0.0,0.8191691737865546,0.8264883020071303,Alignable Geometry,24,Valence_human
0.994341795387563,0.9937140125815491,-1.5395788614828323,-1.0393234964784108,0.0,0.8209427102115758,0.847636764823461,Alignable Geometry,25,Valence_human
0.993361328583128,0.9943272175901509,-4.334648506205579,-2.543870848016957,0.0,0.8234723678645448,0.863917799583245,Alignable Geometry,26,Valence_human
0.9983934181265828,0.9984862113909503,-0.24836234986483552,-0.7777449146811062,0.0,0.8237061079615549,0.8957982144309788,Alignable Geometry,27,Valence_human
0.9986476941340126,0.9986329377462838,0.14482213171060598,0.26808014017150017,0.20645113594105308,0.827736974700819,0.9159403214252384,Alignable Geometry,28,Valence_human
