layer,direction,n_stimuli,n_observations,beta_mood,se,r_value,p_value,delta_v_at_minus3,delta_v_at_plus3
14,valence,107,535,-0.03230799112245483,0.0015553901120775647,-0.6688494182213058,1.1830958341053124e-70,0.08434982506476203,-0.1089322621465941
14,random,107,535,-0.004223752343208535,0.0012723243248059727,-0.14232886414955226,0.0009627321876381257,0.016986085057341224,-0.007931210117329494
16,valence,107,535,-0.016878805277778054,0.0011723763535073327,-0.5291487539844134,6.195820756869701e-40,0.044729682937001164,-0.056669202199428566
16,random,107,535,0.044397592383969536,0.0012869039057975507,0.8310806279520166,6.404462432079604e-138,-0.13209126623470577,0.13388407194213572
20,valence,107,535,0.02439301924362386,0.0012925925382244212,0.6328800830254138,3.232073580135302e-61,-0.07982856377530634,0.06659062217260547
20,random,107,535,0.009104178469645936,0.0008671847685516509,0.4139515727407694,1.4543368178983817e-23,-0.028020005240609026,0.026795785950096532
