layer,z_V_peak_mean,z_V_moderate_mean,z_V_neutral_mean,z_A_peak_mean,z_A_moderate_mean,z_A_neutral_mean,model_type,template
17,-2.889,-3.27,-3.807,-8.0,-8.1,-9.23,Instruct,standard
18,-5.99,-6.434,-7.035,-4.285,-4.438,-5.598,Instruct,standard
19,-2.914,-3.379,-3.992,-4.336,-4.508,-5.7,Instruct,standard
20,-6.29,-6.73,-7.47,-9.19,-9.32,-10.65,Instruct,standard
21,-6.28,-6.824,-7.723,-7.383,-7.316,-8.805,Instruct,standard
22,-9.195,-9.83,-11.0,-2.514,-2.436,-4.324,Instruct,standard
23,-21.97,-22.7,-24.16,-24.08,-23.89,-26.16,Instruct,standard
24,-15.07,-16.2,-17.84,-16.33,-15.95,-18.6,Instruct,standard
25,-13.516,-14.61,-16.52,-32.88,-32.47,-35.53,Instruct,standard
26,-20.22,-21.52,-23.61,-16.48,-15.9,-19.39,Instruct,standard
27,-23.14,-24.53,-26.98,-19.92,-19.25,-23.33,Instruct,standard
28,-13.93,-15.21,-17.9,-6.965,-6.14,-10.39,Instruct,standard
0,0.0,0.0,0.0,0.0,0.0,0.0,Instruct,reversed
1,-2.78,-2.773,-3.016,-1.736,-1.751,-2.082,Instruct,reversed
2,1.32,1.275,0.945,0.9365,0.888,0.4363,Instruct,reversed
3,4.97,4.758,4.332,0.2103,0.0622,-0.575,Instruct,reversed
4,4.945,4.73,4.195,-2.44,-2.625,-3.488,Instruct,reversed
5,6.297,6.12,5.523,0.7275,0.5757,-0.2788,Instruct,reversed
6,-3.55,-3.707,-4.375,-5.67,-5.812,-6.68,Instruct,reversed
7,-2.271,-2.416,-2.998,-6.887,-7.02,-7.777,Instruct,reversed
8,2.293,2.14,1.66,-1.974,-2.121,-2.8,Instruct,reversed
9,3.148,2.994,2.627,-0.11584,-0.2144,-0.841,Instruct,reversed
10,5.027,4.86,4.465,0.43,0.2954,-0.3254,Instruct,reversed
11,-8.24,-8.37,-8.81,-2.467,-2.592,-3.31,Instruct,reversed
12,-12.59,-12.8,-13.25,-6.152,-6.31,-7.11,Instruct,reversed
13,-7.22,-7.434,-7.867,-1.328,-1.449,-2.236,Instruct,reversed
14,-8.12,-8.336,-8.8,-3.678,-3.814,-4.68,Instruct,reversed
15,-6.258,-6.49,-7.004,-3.45,-3.604,-4.51,Instruct,reversed
16,-6.01,-6.258,-6.777,-1.802,-1.898,-2.844,Instruct,reversed
17,-2.889,-3.27,-3.807,-8.0,-8.1,-9.23,Instruct,reversed
18,-5.99,-6.434,-7.035,-4.285,-4.438,-5.598,Instruct,reversed
19,-2.914,-3.379,-3.992,-4.336,-4.508,-5.7,Instruct,reversed
20,-6.29,-6.73,-7.47,-9.19,-9.32,-10.65,Instruct,reversed
21,-6.28,-6.824,-7.723,-7.383,-7.316,-8.805,Instruct,reversed
22,-9.195,-9.83,-11.0,-2.514,-2.436,-4.324,Instruct,reversed
23,-21.97,-22.7,-24.16,-24.08,-23.89,-26.16,Instruct,reversed
24,-15.07,-16.2,-17.84,-16.33,-15.95,-18.6,Instruct,reversed
25,-13.516,-14.61,-16.52,-32.88,-32.47,-35.53,Instruct,reversed
26,-20.22,-21.52,-23.61,-16.48,-15.9,-19.39,Instruct,reversed
27,-23.14,-24.53,-26.98,-19.92,-19.25,-23.33,Instruct,reversed
28,-13.93,-15.21,-17.9,-6.965,-6.14,-10.39,Instruct,reversed
