pair_id,token_jaccard,relative_edit_distance,net_cue_aff,net_cue_neu,cue_difference,ppl_aff,ppl_neu,ppl_ratio
P_rage-d1-v1,0.3978494623655914,0.535181236673774,0,0,0,28.847411151234375,41.09080242975972,0.7020405721817025
P_rage-d1-v2,0.3655913978494624,0.4521575984990619,0,0,0,32.045121808701666,37.74748085785913,0.8489340276887843
P_rage-d1-v3,0.3177570093457944,0.6412078152753108,0,0,0,28.401913728690765,28.78543356308725,0.9866765661099905
P_rage-d1-v4,0.22018348623853212,0.6353591160220995,0,0,0,29.26577747078619,34.06990651769944,0.8589919845125061
P_rage-d2-v1,0.3333333333333333,0.5738636363636364,0,0,0,33.184165226188526,39.59413086352135,0.8381081656385951
P_rage-d2-v2,0.2604166666666667,0.6060070671378092,0,0,0,20.392783017503348,21.016455558873325,0.9703245149998105
P_rage-d2-v3,0.2871287128712871,0.6057046979865772,0,0,0,30.238516923588666,31.822007483875044,0.9502391069662126
P_rage-d2-v4,0.2872340425531915,0.572992700729927,0,0,0,25.50161732581322,26.482098918815414,0.9629756478523984
P_rage-d3-v1,0.27722772277227725,0.5706618962432916,0,1,-1,36.88220541101811,33.84924273406309,1.089602051401311
P_rage-d3-v2,0.23529411764705882,0.6049149338374291,0,0,0,29.880762824078236,26.570621142473048,1.1245789678486278
P_rage-d3-v3,0.2558139534883721,0.576271186440678,0,0,0,20.390721625916797,28.437873056892457,0.7170269333468238
P_rage-d3-v4,0.21428571428571427,0.6768953068592057,0,0,0,8.937186520938644,24.943090296354786,0.3583030833970742
P_grief-d1-v1,0.375,0.4570815450643777,1,0,1,21.520694909212835,18.517954026034666,1.1621528877760299
P_grief-d1-v2,0.26373626373626374,0.5477272727272727,0,0,0,16.047735832591012,14.719167732978605,1.0902610143082148
P_grief-d1-v3,0.2872340425531915,0.627906976744186,0,0,0,16.562720502858653,14.505544896329997,1.1418198681546439
P_grief-d1-v4,0.29347826086956524,0.5266272189349113,0,0,0,13.319413992687048,13.566950027900772,0.9817544093212501
