layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.0021606498117552053,-0.001826280620250073,-0.0024449135887422424,-0.0029755770418585007,0.0002842637769870371,0.0011492964216084276
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0011183676052498315,0.0014084989833381134,0.0009875356336444356,0.0019339830336246172,0.00013083197160539584,-0.0005254840502865038
1,1.0,0.0018075349358995657,0.0031260050800477612,0.001337308006133811,0.003767691623887043,0.00047022692976575464,-0.0006416865438392816
1,1.5,0.0017032104966387084,0.004737689635225584,0.0010553454865583668,0.005346600412914386,0.0006478650100803416,-0.0006089107776888021
2,-1.0,0.0008980593359967556,-0.0001584884026380092,-0.0011860299677181653,-0.002464134155583229,0.0020840893037149207,0.0023056457529452195
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.00010105078573743875,0.0005024052953698094,0.0002148820386616753,0.0011519944092226685,-0.00011383125292423654,-0.0006495891138528591
2,1.0,-0.0003950248358337756,0.000643121486892074,0.0011599941192519947,0.002428374495501378,-0.0015550189550857703,-0.001785253008609304
2,1.5,-9.848501847791365e-05,0.0009951701396005523,0.0017305237732149297,0.003446984978707777,-0.0018290087916928432,-0.0024518148391072248
3,-1.0,-0.004442564699721059,-0.004411003697643791,-0.004841284623974175,-0.005998787873879044,0.0003987199242531155,0.001587784176235253
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.002396715623212494,0.003070377697674274,0.0024902069682385813,0.003950012502368862,-9.349134502608736e-05,-0.0008796348046945881
3,1.0,0.0037914041921713326,0.0061881143292618025,0.004125533446184229,0.007656406157605132,-0.0003341292540128965,-0.0014682918283433297
3,1.5,0.006147367296139729,0.009926355220368268,0.00506551156769737,0.011496985522291994,0.001081855728442359,-0.0015706303019237255
4,-1.0,0.00167754849550035,0.0007831666073252567,0.0036444330480017487,0.0011230603637618446,-0.0019668845525013987,-0.0003398937564365879
