layer,dimension,HIC_pearson,HBC_pearson,HIC_slope,HBC_slope,HIC_cov,HBC_cov,Dissociation_Gap_Pearson,Dissociation_Gap_Slope
0,valence,,,0.4931014261855798,0.5927909787593083,8.56866155671099e-31,5.168399034206629e-31,,-0.09968955257372852
0,arousal,,,0.506628032523939,0.4256633182240522,1.7953386118823028e-30,-1.22409450810157e-30,,0.08096471429988678
1,valence,0.43655440125060313,0.15013437128744123,2.3606607120337895,0.4182241497113989,0.5557460319120535,0.09845820302217756,0.2864200299631619,1.9424365623223907
1,arousal,0.2604641436565435,0.14965515759323797,0.983120799380355,0.1710829154123123,0.3245114325985211,0.05647155670856862,0.11080898606330555,0.8120378839680427
2,valence,0.3352830515995316,-0.025333057854887774,1.2445177565805963,-0.04844075325921741,0.6218065669829528,-0.024202771175351308,0.36061610945441935,1.2929585098398138
2,arousal,0.28196414774611867,0.17121732578378193,0.9160052890736656,0.16846427421192975,0.40816033243755134,0.0750655427281738,0.11074682196233673,0.7475410148617359
3,valence,0.24877954728609816,-0.02867667491357685,0.6926713142995404,-0.041131552151198424,0.6150852951408714,-0.03652441262145467,0.27745622219967503,0.7338028664507389
3,arousal,0.19901901785647755,0.25234124945544856,0.4962171922211583,0.19055550172944563,0.3753689501471133,0.14414780412738903,-0.05332223159897101,0.30566169049171266
4,valence,0.3676388379966504,0.21074120751602754,1.2018933035050785,0.35491779191844486,0.7741231491186384,0.22859772823168892,0.15689763048062288,0.8469755115866336
4,arousal,0.24881868727289394,0.13157379878845238,0.4156690634668309,0.06657177506483171,0.7004211979113366,0.11217645607083858,0.11724488848444156,0.3490972884019992
5,valence,0.39236746990113025,0.2557253075894078,1.0805058222758386,0.36277855205317777,0.9808262429400068,0.3293112511694517,0.13664216231172244,0.7177272702226608
5,arousal,0.22141862158443315,0.14233352253742193,0.38794560395537675,0.07553007303427449,0.5942900319968869,0.11570377151490904,0.07908509904701122,0.31241553092110225
6,valence,0.34271110888956213,0.2829389213378626,1.0958152579987794,0.466053346298047,0.737823055254279,0.31379824415393287,0.05977218755169955,0.6297619117007325
6,arousal,0.14529663862848155,0.09055225301784212,0.2884411554596437,0.05444486617533292,0.34418734885461516,0.06496726903541267,0.054744385610639434,0.2339962892843108
7,valence,0.4287134236574299,0.33742116879886586,1.4932531802419313,0.6054418922604625,0.8472935815057024,0.34353653893028674,0.09129225485856407,0.8878112879814688
7,arousal,0.1632290802499305,0.07726557354344601,0.34314675436431985,0.04919539019578637,0.36513727223461895,0.05234807077188787,0.08596350670648448,0.29395136416853346
8,valence,0.28750817541381385,0.39970718999534927,0.9318873870101377,0.6674042557830251,0.6106187896336025,0.4373163372991473,-0.11219901458153542,0.26448313122711264
8,arousal,0.18469055159400408,0.15588795631500987,0.41420966809738713,0.10588736268566858,0.3872666693692273,0.09899973234311155,0.028802595278994203,0.30832230541171857
9,valence,0.46434354341721584,0.49257541071098737,1.333259771034498,0.7285877553347119,1.113261647844012,0.6083651683824057,-0.02823186729377153,0.6046720156997861
9,arousal,0.16765622736409125,0.15043428617145838,0.3425992857297765,0.09310427192513827,0.3858281591091941,0.1048520862078255,0.017221941192632872,0.24949501380463823
10,valence,0.43953762181786327,0.463251385400385,1.2689898710134744,0.6889895015722273,1.0480141660798936,0.5690122312413266,-0.023713763582521752,0.5800003694412471
10,arousal,0.1641512615825165,0.07471197376969188,0.31789859981080737,0.04382184061823579,0.39860324499970634,0.05494685375363252,0.08943928781282462,0.2740767591925716
11,valence,0.43382158878190613,0.5061385614455871,1.009212379340294,0.6065611786787553,1.2837278187274432,0.7715516325107138,-0.07231697266368098,0.4026512006615388
11,arousal,0.339769693972084,0.08439024599414809,0.6647804433434029,0.0500082737706931,0.8166426140931671,0.061432143239643126,0.25537944797793594,0.6147721695727099
12,valence,0.3469151475497233,0.5048128455179998,0.8504054505656762,0.637480560073106,0.9742124866983538,0.7302887360817977,-0.15789769796827646,0.21292489049257013
12,arousal,0.2757378775947345,-0.062172446290485975,0.4158214304567415,-0.028396473570538164,0.8598584906921354,-0.0587197944043485,0.33791032388522046,0.4442179040272797
13,valence,0.462230047651659,0.5093169566409891,1.1823668522392792,0.6711444194794085,1.2439338967290758,0.7060915919706797,-0.0470869089893301,0.5112224327598707
13,arousal,0.29230708562568475,-0.041706811773666336,0.42135050259993384,-0.018208206923838084,0.9536217875086018,-0.04120973566399931,0.33401389739935106,0.4395587095237719
14,valence,0.3997918734371411,0.5740352933324877,0.9400825603414352,0.695351514748757,1.1704021973568124,0.8657121992580619,-0.17424341989534659,0.24473104559267822
14,arousal,0.23916033155076513,-0.00344409643815495,0.33839511168056063,-0.0014759316721997507,0.7948683564971758,-0.003466868586715455,0.24260442798892007,0.33987104335276036
15,valence,0.4286772588408926,0.5617447749269843,0.9521370345641762,0.6427496229190878,1.328601176347403,0.8968855050345089,-0.1330675160860917,0.30938741164508843
15,arousal,0.22234885467002738,0.04455078718038695,0.3040094509928762,0.01844860725002306,0.7647574275283779,0.04640878556877368,0.17779806748964044,0.2855608437428531
16,valence,0.46411013123121114,0.629380404305496,1.128164170828893,0.7881307041595759,1.3143256860912802,0.9181823490397356,-0.16527027307428488,0.3400334666693171
16,arousal,0.19166875583111495,0.06696660747773285,0.2797957890173573,0.02960766534215004,0.6174509580534792,0.06533794305997727,0.1247021483533821,0.25018812367520726
17,valence,0.36998735301322744,0.4682947989558565,0.7770771124769933,0.50667601830197,1.212670579258624,0.7906951456235227,-0.09830744594262908,0.27040109417502334
17,arousal,0.13506413225358235,0.1197148467013912,0.160789872790098,0.0431640997470554,0.5335343300210701,0.1432274846660999,0.015349285552191158,0.11762577304304259
18,valence,0.3936304680327779,0.49430766319363,0.7873630832036717,0.5093513494955859,1.354676401543108,0.8763507814568419,-0.1006771951608521,0.27801173370808574
18,arousal,0.1349413414008619,0.06465462305325112,0.15214998541949706,0.022079157167809303,0.5628065280719282,0.08167134393150621,0.07028671834761077,0.13007082825168775
19,valence,0.4105608455078061,0.4774768356525873,0.7799706204887031,0.4672903346551408,1.487681678610903,0.89128904499356,-0.06691599014478122,0.31268028583356233
19,arousal,0.13465049292110273,0.08217761588996625,0.15757183771578334,0.02912595705602331,0.5411009425051918,0.10001839822930085,0.05247287703113648,0.12844588065976004
20,valence,0.4036723783903118,0.41744986626864106,0.7295109631484951,0.38863408874461064,1.5376569115220713,0.8191595778521455,-0.013777487878329275,0.3408768744038844
20,arousal,0.1520992180437176,0.07610906345201184,0.17575362164929348,0.02663604220656665,0.6190000368942813,0.09381150131564601,0.07599015459170576,0.14911757944272683
21,valence,0.36607035785525627,0.3610134772042191,0.575857193700447,0.29255493191005444,1.6019447434076262,0.8138421130414432,0.0050568806510371545,0.28330226179039253
