layer,N,RSA_HI,RSA_HS,RSA_IS
0,30,,0.1239538176557642,
1,30,0.05073944576757151,0.1239538176557642,0.0642333905503385
2,30,0.1064555992082919,0.1239538176557642,0.04988569968314524
3,30,0.01649592473788037,0.1239538176557642,-0.02205378983913027
4,30,0.04038954244475282,0.1239538176557642,0.05766537617298274
5,30,-0.09061404132596437,0.1239538176557642,-0.023671755700058382
6,30,-0.13199903133238408,0.1239538176557642,0.046142739140201464
7,30,-0.01607224453701024,0.1239538176557642,-0.038555652653573746
8,30,-0.05646182737755781,0.1239538176557642,-0.008750307834873777
9,30,-0.04221996100952341,0.1239538176557642,-0.09413323410962313
10,30,0.02726500411792331,0.1239538176557642,-0.17613346694825646
11,30,-0.04956975051818836,0.1239538176557642,-0.02883481339062479
12,30,0.04317116945980818,0.1239538176557642,-0.04201283967477967
13,30,0.010146514623708247,0.1239538176557642,0.002199617406798398
14,30,0.0011871835524226773,0.1239538176557642,-0.07602457604190709
15,30,0.0779490305007233,0.1239538176557642,0.05053903863095053
16,30,-0.07299175019603799,0.1239538176557642,-0.01005901854766803
17,30,0.05928625836354485,0.1239538176557642,0.08397451829385141
18,30,0.07622865696232459,0.1239538176557642,-0.19677181853024267
19,30,0.06605941330862826,0.1239538176557642,0.07224543841650331
20,30,-0.04344374393812904,0.1239538176557642,-0.039093694716131534
21,30,-0.04913999781889334,0.1239538176557642,0.10445106501012154
22,30,-0.0031037722047010754,0.1239538176557642,0.013464994002789735
23,30,-0.13524541095431744,0.1239538176557642,-0.06162776987317604
24,30,-0.07962422021381528,0.1239538176557642,0.020317681654489068
25,30,-0.08631398570685657,0.1239538176557642,0.03267021595818276
26,30,-0.0677075678331561,0.1239538176557642,-0.07278412818070658
27,30,-0.060526093161748444,0.1239538176557642,-0.022409124095382336
