layer,relative_depth,alpha,aligned_matched_shift_V,aligned_matched_shift_A,aligned_random_shift_V,aligned_random_shift_A,aligned_self_self_shift_V,aligned_self_self_shift_A,aligned_reader_reader_shift_V,aligned_reader_reader_shift_A,aligned_specificity_V,aligned_specificity_A,aligned_cohen_dz_V,aligned_cohen_dz_A,aligned_ci_95_low_V,aligned_ci_95_high_V,aligned_ci_95_low_A,aligned_ci_95_high_A,aligned_p_val_V,aligned_p_val_A,transfer_ratio_V,transfer_ratio_A,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,self_self_shift_V,self_self_shift_A,reader_reader_shift_V,reader_reader_shift_A,self_reader_shift_V,self_reader_shift_A,specificity_V,specificity_A,cohen_dz_V,cohen_dz_A,ci_95_low_V,ci_95_high_V,ci_95_low_A,ci_95_high_A,p_val_V,p_val_A
5,0.3333333333333333,-1.0,0.000781284450654692,0.005967617213339364,-0.006811722282576306,0.01144589363054424,0.005803378701066643,0.010396592007334402,0.010073109974305277,0.04384440745205522,0.007593006733230998,-0.005478276417204876,0.05796875305618015,-0.06990766029294888,-0.018651943032564115,0.03355596812700307,-0.020386620914067042,0.009100467599381037,0.5713916177739049,0.49504179256842473,,,-0.003605589684227741,0.0067625558302012445,0.010303113213780116,0.013861454511468632,0.00153840342900112,0.011868336546779703,0.11052915265998782,0.06092811296520012,0.136031617659903,0.07501902167061815,-0.013908702898007858,-0.007098898681267387,-0.10661311037224643,-0.09074053969450685,-0.03846371943223029,0.010286765542419678,-0.02176496603231729,0.007730242467178072,0.2988628524012585,0.37621008308538134
5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.3333333333333333,0.5,-0.0012585064232246933,-0.0026717944576544104,0.0015526889135718074,-0.0055041701326039765,-0.0012229492811119402,-0.004712628177795469,-0.003251989086178936,-0.015106471106354732,-0.0028111953367965007,0.002832375674949566,-0.04194737328119192,0.06740911010349868,-0.016297452684423598,0.01052261079712985,-0.005197240750694523,0.011169619413274236,0.6819991601455203,0.5105495246670894,,,0.004338228462617809,-0.002691213622872233,-0.0041055147209625165,-0.006563043604447001,0.0008414481946906379,-0.005807282312037356,-0.03637609634663541,-0.01939377240917986,-0.045025172794396405,-0.023929098628576426,0.008443743183580325,0.0038718299815747683,0.12690195781005378,0.0923319255129224,-0.0038499807407000523,0.021147032509352817,-0.003985297598189999,0.011668774214914801,0.21678748764465447,0.3679317162407527
5,0.3333333333333333,1.0,0.00153793303244248,-0.005770278457979662,0.006930605545913529,-0.010980015263974722,-0.002075905813338446,-0.009697799089069944,-0.0036760023279716635,-0.024691679260242277,-0.005392672513471049,0.005209736805995059,-0.04027578533828622,0.06146332983684179,-0.03316145387334089,0.02137480740474363,-0.011398550575332855,0.021555418922293443,0.6940075317562611,0.5484655985558985,,,0.00430510778895329,-0.007882384774435286,-0.011123152995739871,-0.013836739794482153,0.000519104377010605,-0.012062736489521683,-0.0608903961876238,-0.031179551581265407,-0.07021444117621511,-0.03582311295500423,0.01542826078469316,0.005954355020046867,0.11591234091248372,0.07028927656258165,-0.008506308601856775,0.040620034380750285,-0.010264802277216663,0.0215500154367734,0.2589373785316375,0.4926959231807621
5,0.3333333333333333,1.5,0.005223582001802156,-0.008045890428536928,0.007985744093595195,-0.014837434716634854,-0.00022279355322344743,-0.01417425854420624,-0.001398646063237997,-0.028466958292699084,-0.0027621620917930396,0.006791544288097926,-0.01435187464668276,0.055990603431855954,-0.040745558041383,0.03674185998375992,-0.01548607064351821,0.03009415260343744,0.8884686058799441,0.5845713326897081,,,0.0020556789547173104,-0.013667543422205016,-0.012150340900245304,-0.018122389760272705,-0.003999772166067589,-0.018852044061390783,-0.06788093225427884,-0.033356245430984394,-0.07502597609640177,-0.036505313475629145,0.014206019854962615,0.004454846338067689,0.07400912904427413,0.03669338354869718,-0.01990780262471862,0.050832248481637574,-0.018844010969478308,0.02777075225860752,0.47014952364658874,0.7200038471421991
6,0.4,-1.0,0.007190615781171181,0.008572483196926087,-0.009141607660086093,0.014844963627512761,0.012462547193675483,0.017290848643227663,0.015425985232211914,0.04558015792161674,0.016332223441257274,-0.006272480430586674,0.11091896905249787,-0.06985495178996018,-0.011518099049157874,0.0447602860672681,-0.023453362951247843,0.010457179072341595,0.27988405357640633,0.49536627781879666,,,0.006537777326341786,0.00928841196192077,0.023625572206049928,0.017176096422750208,0.01841596366351349,0.020067291382143304,0.11634710243446815,0.06418258300220549,0.13913087561186885,0.07950901667285475,-0.017087794879708143,-0.007887684460829438,-0.1161187230701983,-0.08796922535505065,-0.04384296946689515,0.01050687529532185,-0.023770079281159238,0.009615142386908939,0.2580960188440833,0.390902623941377
6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,0.4,0.5,-0.0024755761298610687,-0.0028397674246584126,0.003776903919777035,-0.006836442591026254,-0.00657861760310995,-0.0078694005908262,-0.005600825125756101,-0.016618512084875452,-0.006252480049638104,0.003996675166367841,-0.08305847406315754,0.08924823261572032,-0.021570717884338612,0.008182454450698871,-0.004637777602776577,0.012706973036864333,0.41779262718247095,0.3840782720080249,,,-0.0004476435210586151,-0.002821312730707385,-0.010029434893315042,-0.007287613796873714,-0.008144758053028917,-0.009328795523353353,-0.04597550509366746,-0.023558888929475563,-0.056381120912479175,-0.03043359262920293,0.009581791372256426,0.004466301066166328,0.12788786899684232,0.09983529203250384,-0.004343270389001932,0.023843539171823025,-0.003970758791314933,0.012427559275532272,0.2132665209144715,0.3304687013106648
6,0.4,1.0,-0.002613286039609461,-0.005127011177219217,0.005523024467988719,-0.014392235235237805,-0.010632896151260918,-0.01600718236363054,-0.011630552470003067,-0.029365504340276027,-0.00813631050759818,0.009265224058018589,-0.05480306603648617,0.10473165447268529,-0.03839928300085308,0.02019853023632697,-0.007761690546113461,0.0261847321045106,0.5925518714728977,0.30742362301483867,,,-0.002440178468217253,-0.006043455226696322,-0.02195054548411632,-0.015370190800955827,-0.018201070616693824,-0.019243346420017588,-0.08014457215063653,-0.03952250520989752,-0.10275067988498021,-0.053941407739788914,0.019510367015899064,0.009326735574259504,0.13237198304355963,0.10543474918666715,-0.007751122036583428,0.04694433438329257,-0.007197190330426349,0.025268560591806044,0.19778086380022597,0.3042053795563913
6,0.4,1.5,-0.004418750495995272,-0.007991125592564532,0.009218007574230755,-0.021287698801342615,-0.014975547453662674,-0.023689581783934776,-0.015365163837460984,-0.03728258380165048,-0.013636758070226027,0.013296573208778082,-0.06215963398515077,0.10213719064753175,-0.05852610391532163,0.02727516961979943,-0.011564890661237988,0.03811414186914818,0.543953257829182,0.3194966678932499,,,-0.006525895359985314,-0.010149724767772808,-0.031679729014065704,-0.02258080345729264,-0.027844526059757915,-0.02877251775568378,-0.10326013250871897,-0.049136709431771765,-0.1317312534539521,-0.06788172267541275,0.02515383365408039,0.012431078689519834,0.11519880909363148,0.09542559556532547,-0.015803503935489217,0.06620732237687862,-0.011885851721740162,0.03630463819838479,0.26186110609314783,0.3521711836032218
