layer,alpha,pair_id,emotion,sign_V,sign_A,aligned_matched_shift_V,aligned_matched_shift_A,aligned_random_shift_V,aligned_random_shift_A,aligned_self_self_shift_V,aligned_self_self_shift_A,aligned_reader_reader_shift_V,aligned_reader_reader_shift_A,aligned_specificity_V,aligned_specificity_A,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,self_self_shift_V,self_self_shift_A,reader_reader_shift_V,reader_reader_shift_A,self_reader_shift_V,self_reader_shift_A,specificity_V,specificity_A
5,-1.0,P_rage-d1-v2,rage,-1,1,0.1359067010780941,-0.05365528423602317,-0.06753957857604753,0.037108532251848736,0.08259859897710387,-0.02382490016815808,0.011590790565962905,0.006250833078468965,0.20344627965414164,-0.0907638164878719,-0.1359067010780941,-0.05365528423602317,0.06753957857604753,0.037108532251848736,-0.08259859897710387,-0.02382490016815808,-0.011590790565962905,0.006250833078468965,0.02178152915348397,0.021584300691462666,-0.20344627965414164,-0.0907638164878719
5,-1.0,P_rage-d2-v3,rage,-1,1,-0.039424830151121526,0.0409822860563791,-0.018342180242277628,0.023401352315702617,-0.05415504669107474,0.0577924438713584,-0.12900884609663388,0.07789432476069313,-0.021082649908843898,0.017580933740676485,0.039424830151121526,0.0409822860563791,0.018342180242277628,0.023401352315702617,0.05415504669107474,0.0577924438713584,0.12900884609663388,0.07789432476069313,0.19641706745558407,0.11213254788099691,0.021082649908843898,0.017580933740676485
5,-1.0,P_rage-d3-v3,rage,-1,1,0.007663119472392843,0.0380669741634847,0.10276435749877422,-0.053201338100675066,-0.03187238165617767,0.04733423579003393,-0.29606551254807467,0.17517097859455788,-0.09510123802638137,0.09126831226415977,-0.007663119472392843,0.0380669741634847,-0.10276435749877422,-0.053201338100675066,0.03187238165617767,0.04733423579003393,0.29606551254807467,0.17517097859455788,0.3427023356119978,0.18617886070211842,0.09510123802638137,0.09126831226415977
5,-1.0,P_rage-d3-v4,rage,-1,1,0.14856858823916763,-0.07172153690881622,-0.12013178328496821,0.08708166548389684,0.1417968696889398,-0.06414373709722021,0.016779725615169383,-0.0025823718829323106,0.26870037152413584,-0.15880320239271306,-0.14856858823916763,-0.07172153690881622,0.12013178328496821,0.08708166548389684,-0.1417968696889398,-0.06414373709722021,-0.016779725615169383,-0.0025823718829323106,-0.0082433518212075,0.004964448994172699,-0.26870037152413584,-0.15880320239271306
5,-1.0,P_grief-d1-v3,grief,-1,-1,-0.017050940633806633,-0.018925879832757175,-0.11910452366433155,-0.10666607884776447,-0.018778524839890842,-0.020881134764924703,-0.055025231722551915,-0.04319738305292642,0.10205358303052492,0.08774019901500729,0.017050940633806633,0.018925879832757175,0.11910452366433155,0.10666607884776447,0.018778524839890842,0.020881134764924703,0.055025231722551915,0.04319738305292642,0.06994333389542229,0.05091007647573287,-0.10205358303052492,-0.08774019901500729
5,-1.0,P_grief-d1-v4,grief,-1,-1,-0.24656492357048077,-0.164459758502721,-0.13823466723184286,-0.0917070894804688,-0.24078983691837852,-0.15573814616664983,-0.7301680347227109,-0.4119005129590221,-0.10833025633863791,-0.07275266902225219,0.24656492357048077,0.164459758502721,0.13823466723184286,0.0917070894804688,0.24078983691837852,0.15573814616664983,0.7301680347227109,0.4119005129590221,0.7477796630000713,0.41550842604385974,0.10833025633863791,0.07275266902225219
5,-1.0,P_grief-d2-v1,grief,-1,-1,-0.04922898249082319,-0.030151129835219947,0.010524170241354547,0.010070213984290532,-0.06631650737495853,-0.04317136357312634,-0.4871265912918905,-0.196198050637312,-0.05975315273217774,-0.04022134381951048,0.04922898249082319,0.030151129835219947,-0.010524170241354547,-0.010070213984290532,0.06631650737495853,0.04317136357312634,0.4871265912918905,0.196198050637312,0.5294194826029099,0.21612999880528339,0.05975315273217774,0.04022134381951048
5,-1.0,P_grief-d2-v2,grief,-1,-1,0.12043211854498637,0.033649172014696305,-0.014522616365233887,-0.026971940564314068,0.15091462380286025,0.04848432040696071,0.024318130663369075,0.0007835443225894245,0.13495473491022025,0.06062111257901037,-0.12043211854498637,-0.033649172014696305,0.014522616365233887,0.026971940564314068,-0.15091462380286025,-0.04848432040696071,-0.024318130663369075,-0.0007835443225894245,-0.09396591891687578,-0.02706665000393338,-0.13495473491022025,-0.06062111257901037
5,-1.0,P_grief-d2-v3,grief,-1,-1,0.058256460055091885,0.004600613964909961,0.1211589458375606,0.07818067228353431,0.06119862879425497,0.00672412971578229,-0.0369861271351386,-0.037874370262774626,-0.06290248578246871,-0.07358005831862435,-0.058256460055091885,-0.004600613964909961,-0.1211589458375606,-0.07818067228353431,-0.06119862879425497,-0.00672412971578229,0.0369861271351386,0.037874370262774626,0.06052259187983733,0.0440676297639353,0.06290248578246871,0.07358005831862435
5,-1.0,P_grief-d2-v4,grief,-1,-1,-0.17074895195850992,-0.12992303388197968,0.01165784512555934,-0.013182962021215161,-0.21705928251228368,-0.16496073232484765,-0.4739419717702904,-0.2867985048453141,-0.18240679708406926,-0.11674007186076452,0.17074895195850992,0.12992303388197968,-0.01165784512555934,0.013182962021215161,0.21705928251228368,0.16496073232484765,0.4739419717702904,0.2867985048453141,0.5938300840745812,0.3545643815549919,0.18240679708406926,0.11674007186076452
5,-1.0,P_grief-d3-v2,grief,-1,-1,-0.03228764047849264,-0.02482323325772473,0.05407668844938662,0.025783831349516007,-0.03863929767342711,-0.024968066149356538,-0.18840845578388343,-0.10228742837640858,-0.08636432892787926,-0.05060706460724074,0.03228764047849264,0.02482323325772473,-0.05407668844938662,-0.025783831349516007,0.03863929767342711,0.024968066149356538,0.18840845578388343,0.10228742837640858,0.21438799091947036,0.1113940388645176,0.08636432892787926,0.05060706460724074
5,-1.0,P_grief-d3-v3,grief,-1,-1,0.04380466997408128,0.01566541970243307,0.1502707765832474,0.08920502250691875,0.009844189939220982,-0.010998423347002628,-0.0584234456393915,-0.04263136345211738,-0.10646610660916611,-0.07353960280448568,-0.04380466997408128,-0.01566541970243307,-0.1502707765832474,-0.08920502250691875,-0.009844189939220982,0.010998423347002628,0.0584234456393915,0.04263136345211738,0.15644071286778338,0.08792864719332494,0.10646610660916611,0.07353960280448568
5,-1.0,P_grief-d3-v4,grief,-1,-1,-0.06672203147841493,-0.03726922345101613,-0.014814332218994863,-0.024425305427878463,-0.08803942579414237,-0.052124172418975157,-0.18142994815609814,-0.0712102381796611,-0.05190769925942007,-0.012843918023137668,0.06672203147841493,0.03726922345101613,0.014814332218994863,0.024425305427878463,0.08803942579414237,0.052124172418975157,0.18142994815609814,0.0712102381796611,0.2846905132940858,0.11260265457531116,0.05190769925942007,0.012843918023137668
