layer,relative_depth,pair_id,eval_split,shift_V_self,shift_A_self,magnitude_self,shift_V_reader,shift_A_reader,magnitude_reader,pairwise_cos
0,0.0,P_rage-d1-v1,discovery,0.0026659353404090425,0.0004036672969460753,0.0026963231493768746,0.015750573091304787,-0.00686340610880265,0.017181003932217814,0.8466059543439871
0,0.0,P_rage-d1-v2,confirmation,0.014787851818726772,0.007201180353917813,0.0164480260184094,0.004685126781845739,0.004118301453207351,0.006237853783270172,0.9643199259036933
0,0.0,P_rage-d1-v3,discovery,0.010605637402359314,-0.0011582732022192843,0.010668699148504568,0.03812048191345241,0.004736180166636572,0.0384135723916,0.9731185585801376
0,0.0,P_rage-d1-v4,discovery,-0.023732771171832923,0.0036790835126589982,0.024016246230160597,-0.014517728382337225,-0.004584075461299797,0.015224263043517434,0.8962094000003437
0,0.0,P_rage-d2-v1,discovery,-0.012258448181884596,-0.0002797131379104201,0.012261639012280107,0.004640335607597912,-0.00199669006506209,0.005051681479176883,-0.9093169238543735
0,0.0,P_rage-d2-v2,discovery,0.001022331803578247,0.001778039536972642,0.002050996565488455,-6.620851207550515e-05,0.002632119449478054,0.0026329520245139118,0.8541065617094514
0,0.0,P_rage-d2-v3,confirmation,0.007336212043937529,0.002362019439688723,0.007707083948360851,0.010713262424954628,0.0039641618342747265,0.011423159406848224,0.9990793156572784
0,0.0,P_rage-d2-v4,discovery,-0.007939755482936128,0.003072673259406855,0.008513579628328395,-0.01221818883265069,-0.014093194235098139,0.0186521382714828,0.3382043227999285
0,0.0,P_rage-d3-v1,discovery,0.005452636074522843,-0.010013629541724356,0.011401930396212854,0.014264477121005648,-0.010084250516762872,0.01746904164573792,0.8974708112796409
0,0.0,P_rage-d3-v2,discovery,0.004341107497431551,-0.001278376855302632,0.004525423923615319,0.018341066386390104,0.0035126065096919845,0.01867439746502948,0.8890130471619557
0,0.0,P_rage-d3-v3,confirmation,-0.0013217728634433712,-0.006781863666411425,0.006909468741685334,0.007644700527928983,-0.010069985781309576,0.012643024155537103,0.666105665415455
0,0.0,P_rage-d3-v4,confirmation,0.0011040968050490818,-0.002391832666009286,0.002634367714862274,-0.002602369517020975,0.00024938781805960986,0.0026142917562729136,-0.503812817910205
0,0.0,P_grief-d1-v1,discovery,0.0010046637120257884,-0.002849839972070889,0.003021744039569606,-0.0021714643642356535,-0.004231826769357738,0.004756428838004213,0.6873051286854632
0,0.0,P_grief-d1-v2,discovery,-0.007768204165555126,-0.004096745715523653,0.008782273134867158,0.0013376729441247903,-0.002042183839530587,0.002441287312030965,-0.09444980096870902
0,0.0,P_grief-d1-v3,confirmation,-0.0056519128449599165,-0.0032269198420893375,0.0065082355884135586,0.0001645447569167402,-0.00022501519688589156,0.0002787594229051023,-0.11238178025208811
0,0.0,P_grief-d1-v4,confirmation,0.009591076056143066,-0.003915815727429717,0.010359650222179644,0.015987224111871257,-0.011127292037421022,0.019478397338827724,0.9758050909755925
0,0.0,P_grief-d2-v1,confirmation,0.004722726954508261,-0.0003359037508845475,0.0047346574550538685,0.003983727723894326,0.0037952307608879465,0.005502168945653556,0.6732679487304978
0,0.0,P_grief-d2-v2,confirmation,0.004057998419203734,0.0008620250072439717,0.004148546526601091,0.0001806329074325319,-0.0025824024188594308,0.002588712131577895,-0.13902903541017678
0,0.0,P_grief-d2-v3,confirmation,0.00040331507060908933,-0.004628817229174409,0.004646354698823829,-0.008855829439265328,-0.0035374740147955386,0.009536217146369525,0.2889420453657504
0,0.0,P_grief-d2-v4,confirmation,-0.007698506722426224,-0.004510230312424923,0.008922397840623247,-0.0074068523692609745,-0.005296358130681078,0.009105650524177746,0.9958798452016135
0,0.0,P_grief-d3-v1,discovery,-0.01298913627929732,-0.008408001178835,0.015472948817386057,-0.013579057589356403,-0.008028072064948155,0.015774686877876806,0.9991779213588279
0,0.0,P_grief-d3-v2,confirmation,-0.0069578884172871724,0.002167202004284441,0.007287590531498973,-0.004607384694232053,0.003487116186089878,0.0057782326896667815,0.9407628601361729
0,0.0,P_grief-d3-v3,confirmation,0.0066415189491291216,0.00017320981266788493,0.006643777208098239,-0.0011844825517082214,0.001195632962872395,0.0016830142890683494,-0.6850260381950783
0,0.0,P_grief-d3-v4,confirmation,0.0012739370336465328,-0.0003049516945612396,0.001309927899432598,0.00828110176040564,-0.0005567657776426316,0.008299797256400147,0.9859505890424641
0,0.0,P_terror-d1-v1,discovery,-0.0016823029903383357,-0.0029023474784155567,0.0033546630586046115,0.012481643026911016,-0.001182271746059449,0.012537510882657962,-0.4176630429792968
0,0.0,P_terror-d1-v2,discovery,-0.005436979073052406,-0.008773443025493322,0.010321533023848115,0.008051002702338828,-0.004436099881119482,0.009192259062294502,-0.05115256578679334
