r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,layer,target
0.13262146232518846,0.1275238377691872,0.09125085694504342,0.07721453623543217,0.0842326965902378,0.8533351536073361,0.12296631990363083,Alignable Geometry,0,Valence_human
0.6138665086060016,0.6107088987792195,-0.38521058169310773,-5.221546370456107,0.0,0.833827538983902,0.6009647443791867,Alignable Geometry,1,Valence_human
0.7873521237864305,0.7868204919022032,-3.1612452413162204,-8.554930824829322,0.0,0.823404027116834,0.7718183272994585,Alignable Geometry,2,Valence_human
0.8007520797443958,0.7969302453665149,-3.3448372391842875,-10.191125388624489,0.0,0.8148149131737511,0.7788583633846021,Alignable Geometry,3,Valence_human
0.8133593399311617,0.8061704976312339,-1.3019307643080649,-4.412717124901471,0.0,0.8306692248565932,0.7860865473411522,Alignable Geometry,4,Valence_human
0.8203327804075525,0.8106169226038494,-3.304200608531427,-3.655546029111452,0.0,0.8444383933211203,0.7919302918851606,Alignable Geometry,5,Valence_human
0.833312610070633,0.8240164514778943,-1.9922865610884508,-3.026063445547228,0.0,0.8554853933357405,0.8062055131079108,Alignable Geometry,6,Valence_human
0.8316658734290855,0.8216413335728328,-2.7484190656768486,-6.108275420146252,0.0,0.8550042670445784,0.7973988911259993,Alignable Geometry,7,Valence_human
0.836939941639969,0.8267055230118769,-4.461264207436366,-6.537207384837858,0.0,0.8519761081016409,0.7911216972201633,Alignable Geometry,8,Valence_human
0.8347954697304273,0.8260669034228817,-3.7522651122286277,-3.23201755477137,0.0,0.8358352842057202,0.7728659051304398,Alignable Geometry,9,Valence_human
0.8367200462991631,0.82714018927572,-2.0224119911312606,-2.9059681016844143,0.0,0.8507813352374161,0.7518211140291999,Alignable Geometry,10,Valence_human
0.8354334198911921,0.8266612070588879,-4.34893280525761,-3.305962087547644,0.0,0.8533081581438462,0.7608454129549209,Alignable Geometry,11,Valence_human
0.8359170580368703,0.827792222444402,-2.2137025430489286,-4.00722680427813,0.0,0.8819589824860788,0.7582400351664227,Alignable Geometry,12,Valence_human
0.8338015382103732,0.8280033300176144,-2.5683419346297462,-3.8672532259263344,0.0,0.8828480373256746,0.7593777282617019,Alignable Geometry,13,Valence_human
0.8347982609868272,0.8264314862075963,-4.288464826164326,-4.215114013985086,0.0,0.8930176842608382,0.7448926354424883,Alignable Geometry,14,Valence_human
0.8320906028051921,0.8263016201025929,-4.370078087153363,-5.540611459222651,0.0,0.8914136656800139,0.7429267296750333,Alignable Geometry,15,Valence_human
0.8302112917269071,0.8244554526407621,-5.345754917576341,-5.1962190279408915,0.0,0.8832118151194756,0.748355449191955,Alignable Geometry,16,Valence_human
0.8289025525741552,0.8242449846834299,-3.5783467478235202,-5.274296506193035,0.0,0.9093014216360991,0.7196378147669796,Alignable Geometry,17,Valence_human
0.8201623597649602,0.8192445836344029,-4.798673760231341,-5.525512687482995,0.0,0.8930950050972222,0.7135255878810629,Alignable Geometry,18,Valence_human
0.8152689846888082,0.8156928479444869,-4.271830226143278,-10.840834914556563,0.0,0.8922696502847103,0.7093187756765642,Alignable Geometry,19,Valence_human
0.8122816294586535,0.8115633297977434,-4.823887175729057,-9.300562905535303,0.0,0.875512032138502,0.7084780024938847,Alignable Geometry,20,Valence_human
0.810914300294656,0.811874519340843,-4.025488734344819,-11.468730960075446,0.0,0.8665251965083052,0.7205230673301364,Alignable Geometry,21,Valence_human
0.8115457434880076,0.8115419882056972,-4.402190000708863,-9.518862603030838,0.0,0.8705115263592472,0.7241964880275149,Alignable Geometry,22,Valence_human
0.8153594248365355,0.8135430395507961,-2.830800700786761,-6.123526607045438,0.0,0.8616236716284781,0.7231313780187311,Alignable Geometry,23,Valence_human
0.818265863596475,0.8142300619140304,-3.4120044859823313,-6.268394848994565,0.0,0.8665097408568856,0.7237697453673106,Alignable Geometry,24,Valence_human
0.8202728828308372,0.8161319425244158,-3.9119970548590945,-5.963679371897147,0.0,0.8660781059948218,0.7222663185869178,Alignable Geometry,25,Valence_human
0.8131130393854883,0.8087297835916246,-3.56964396833461,-4.747577521925967,0.0,0.8643995106150166,0.7243174071884659,Alignable Geometry,26,Valence_human
