r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,layer,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directly non-transferable / poorly alignable representation,0,Condition_affective
0.9986420288633239,0.99865481817798,0.9848553401397522,0.9832717835238924,0.9840635618318223,0.9996463460889083,0.994036500881059,Shared Geometry,1,Condition_affective
0.9996067699332208,0.9996212393350397,0.9560679546661497,0.9426025397264777,0.9493352471963137,0.9992831486478151,0.9938340764174088,Shared Geometry,2,Condition_affective
0.9997039433186519,0.9997063957204256,0.9409026296195852,0.9280082495908075,0.9344554396051963,0.9956074842238041,0.9818121563431664,Shared Geometry,3,Condition_affective
0.9997627617664794,0.999760486234312,0.8988955394390375,0.9061052530364131,0.9025003962377254,0.99497322712138,0.9848000688401302,Shared Geometry,4,Condition_affective
0.9998185241821069,0.9998193692100975,0.849933484874154,0.8498585484395095,0.8498960166568317,0.9922368630857601,0.9818588262338265,Shared Geometry,5,Condition_affective
0.9997372719249353,0.9997780639721734,0.8067439447573246,0.7942711774586662,0.8005075611079954,0.9860901446558274,0.9722896500894214,Shared Geometry,6,Condition_affective
0.9997978614996518,0.999794814914667,0.6560381262175274,0.6958549333950426,0.675946529806285,0.9725504200332786,0.9546430409565126,Shared Geometry,7,Condition_affective
0.9997643701719854,0.9998025835182083,0.6185457917865698,0.5163969861389678,0.5674713889627687,0.9543555142543557,0.9563055757799638,Shared Geometry,8,Condition_affective
0.9996269973099124,0.9997095881554761,0.5767559741336059,0.3165503693016981,0.446653171717652,0.9325868839585542,0.9325801740106732,Shared Geometry,9,Condition_affective
0.9995502464442143,0.9996214056346442,0.31741764219992563,0.22494316968801997,0.2711804059439728,0.9209537200352274,0.9232016595431629,Alignable Geometry,10,Condition_affective
0.9993927232030525,0.9993871259096285,0.4818714969706466,0.03920694638169464,0.2605392216761706,0.902451478160735,0.9090927092625667,Alignable Geometry,11,Condition_affective
0.999654825471508,0.9995330708441411,0.4130499583391637,0.4607239701046292,0.43688696422189643,0.8941997361243053,0.9271355602353827,Shared Geometry,12,Condition_affective
0.9997716112850411,0.9997580455402003,0.670149206600452,0.6068978614428309,0.6385235340216414,0.893907110001188,0.9262605693937783,Shared Geometry,13,Condition_affective
0.9998601824159635,0.99983074188501,0.7634922506954165,0.661355116347921,0.7124236835216687,0.9120365501208214,0.9461958728717145,Shared Geometry,14,Condition_affective
0.9999096270791729,0.9998834243908636,0.8237420930093468,0.8208608124148902,0.8223014527121184,0.937362033800954,0.9581048481585385,Shared Geometry,15,Condition_affective
0.9999021490959964,0.9998766909827683,0.8095519829706702,0.8133409411792437,0.811446462074957,0.9512265462032938,0.9555863075528843,Shared Geometry,16,Condition_affective
