r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,layer,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directly non-transferable / poorly alignable representation,0,Condition_affective
0.9972306537497079,0.9974610327241679,0.9525751291104637,0.9419952634706077,0.9472851962905358,0.9955570265632284,0.9700688517680391,Shared Geometry,1,Condition_affective
0.9994163288369473,0.9994678034244446,0.9298511098168486,0.9063128806435325,0.9180819952301906,0.9912429497040565,0.9789588546846991,Shared Geometry,2,Condition_affective
0.9997131522434642,0.9997059062027857,0.8536630007025902,0.8874267774614373,0.8705448890820138,0.9939641196054928,0.9831064300581127,Shared Geometry,3,Condition_affective
0.9997067583694357,0.9997223442402164,0.7306095861860252,0.812517505760919,0.7715635459734721,0.9818562170752649,0.9775884651835374,Shared Geometry,4,Condition_affective
0.9996878459490103,0.9997593143758711,0.7331674781472626,0.6218249786270473,0.677496228387155,0.9777714487424387,0.9647524032638961,Shared Geometry,5,Condition_affective
0.9996424128828665,0.9997290925336947,0.5466724579697079,0.6060239562051912,0.5763482070874495,0.9630676227682591,0.9532247739780516,Shared Geometry,6,Condition_affective
0.9997274605075158,0.9997700103712761,0.5519233642122068,0.4055469630317635,0.47873516362198515,0.9442494593179209,0.9382483899519615,Shared Geometry,7,Condition_affective
0.9996812148805174,0.9997616797193063,0.011318414356524475,0.14649586391903524,0.07890713913777986,0.9196346223228501,0.9358551587823565,Alignable Geometry,8,Condition_affective
0.9996925841362679,0.999749610382581,0.547662003127829,0.4130787228706633,0.4803703629992461,0.9086931513784827,0.9356887692562451,Shared Geometry,9,Condition_affective
0.9997123790074319,0.9997244686305249,0.47572405934084205,0.5138831719481859,0.49480361564451397,0.9001235658153831,0.9149172401085979,Shared Geometry,10,Condition_affective
0.9993484893753904,0.9995070042082305,0.11863654215949326,-0.014043530352469524,0.05229650590351187,0.8714533400797739,0.889613737715323,Alignable Geometry,11,Condition_affective
0.9990820955932967,0.9993556010148558,0.06443263063052795,0.2508638417795256,0.15764823620502677,0.8468730819823438,0.8909367241671462,Alignable Geometry,12,Condition_affective
0.9991846342268438,0.9992273247021928,-0.30773798276084907,0.05461659824213405,0.0,0.8460894147282142,0.8633736480438555,Alignable Geometry,13,Condition_affective
0.9991976422171397,0.999309556215865,-0.297195170474043,0.07721101533672026,0.0,0.842925633890246,0.8568847627461303,Alignable Geometry,14,Condition_affective
0.9992265662266114,0.9993779300500536,-0.13344320339149873,0.23625232021782439,0.051404558413162826,0.8434427238325339,0.8416096790417082,Alignable Geometry,15,Condition_affective
0.9991576332907629,0.9993754257556338,-0.6678303690457148,-0.11094338677398907,0.0,0.839026215586931,0.8310467528756403,Alignable Geometry,16,Condition_affective
