family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,base,base_plain_self,self,arousal,0.26666666666666666,-9.924880709779594e-06
olmo,base,base_plain_self,self,arousal,0.3333333333333333,5.727669618534214e-06
olmo,base,base_plain_self,self,arousal,0.4,-3.057328644886059e-05
olmo,base,base_plain_self,self,arousal,0.4666666666666667,2.8917265679178074e-05
olmo,base,base_plain_self,self,arousal,0.5333333333333333,6.884513845536233e-06
olmo,base,base_plain_self,self,arousal,0.6,4.258955957736532e-05
olmo,base,base_plain_self,self,arousal,0.6666666666666666,1.955055093777869e-05
olmo,base,base_plain_self,self,arousal,0.7333333333333333,1.7218547702064768e-06
olmo,base,base_plain_self,self,arousal,0.8,2.50446987065569e-05
olmo,base,base_plain_self,self,arousal,0.8666666666666667,4.492166906797657e-06
olmo,base,base_plain_self,self,arousal,0.9333333333333333,4.745557475845707e-06
olmo,base,base_plain_self,self,arousal,1.0,-3.552713678800501e-18
olmo,base,base_self,self,valence,0.0,-1.8544012649475584e-05
olmo,base,base_self,self,valence,0.06666666666666667,-8.827667273138218e-06
olmo,base,base_self,self,valence,0.13333333333333333,-5.7504294272843205e-05
olmo,base,base_self,self,valence,0.2,-3.285038044811639e-05
olmo,base,base_self,self,valence,0.26666666666666666,-7.688099521561753e-05
olmo,base,base_self,self,valence,0.3333333333333333,5.0022815755861315e-05
olmo,base,base_self,self,valence,0.4,-5.769329092084785e-05
olmo,base,base_self,self,valence,0.4666666666666667,-0.0001831013459420614
olmo,base,base_self,self,valence,0.5333333333333333,3.331309641677383e-05
olmo,base,base_self,self,valence,0.6,0.00011123580797766585
olmo,base,base_self,self,valence,0.6666666666666666,1.8859700078326826e-05
olmo,base,base_self,self,valence,0.7333333333333333,-4.923858461177488e-05
olmo,base,base_self,self,valence,0.8,3.617871004265804e-05
olmo,base,base_self,self,valence,0.8666666666666667,5.297025700086522e-05
olmo,base,base_self,self,valence,0.9333333333333333,-1.8422508785196358e-05
olmo,base,base_self,self,valence,1.0,1.865174681370263e-17
olmo,base,base_self,self,arousal,0.0,1.2301270370392636e-05
olmo,base,base_self,self,arousal,0.06666666666666667,4.613183063576543e-05
olmo,base,base_self,self,arousal,0.13333333333333333,-2.5869072146829096e-06
olmo,base,base_self,self,arousal,0.2,1.4231497690495586e-06
olmo,base,base_self,self,arousal,0.26666666666666666,-9.924880709779594e-06
olmo,base,base_self,self,arousal,0.3333333333333333,5.727669618534214e-06
olmo,base,base_self,self,arousal,0.4,-3.057328644886059e-05
olmo,base,base_self,self,arousal,0.4666666666666667,2.8917265679178074e-05
olmo,base,base_self,self,arousal,0.5333333333333333,6.884513845536233e-06
olmo,base,base_self,self,arousal,0.6,4.258955957736532e-05
olmo,base,base_self,self,arousal,0.6666666666666666,1.955055093777869e-05
olmo,base,base_self,self,arousal,0.7333333333333333,1.7218547702064768e-06
olmo,base,base_self,self,arousal,0.8,2.50446987065569e-05
olmo,base,base_self,self,arousal,0.8666666666666667,4.492166906797657e-06
olmo,base,base_self,self,arousal,0.9333333333333333,4.745557475845707e-06
olmo,base,base_self,self,arousal,1.0,-3.552713678800501e-18
olmo,instruct,inst_matched_plain_reader,reader,valence,0.0,-2.9334305838950137e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.06666666666666667,2.7808402353890926e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.13333333333333333,-0.00013224573011359197
olmo,instruct,inst_matched_plain_reader,reader,valence,0.2,5.704183691903442e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.26666666666666666,0.00015815585834290412
olmo,instruct,inst_matched_plain_reader,reader,valence,0.3333333333333333,-0.0002485256998524799
olmo,instruct,inst_matched_plain_reader,reader,valence,0.4,-4.879361344883648e-06
olmo,instruct,inst_matched_plain_reader,reader,valence,0.4666666666666667,-1.7814936843272734e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.5333333333333333,1.3981604627029576e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.6,-0.00019476946583450781
olmo,instruct,inst_matched_plain_reader,reader,valence,0.6666666666666666,-0.000123603709503481
olmo,instruct,inst_matched_plain_reader,reader,valence,0.7333333333333333,0.00010930767369124617
olmo,instruct,inst_matched_plain_reader,reader,valence,0.8,-5.919836264158107e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.8666666666666667,-8.347554208656049e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,0.9333333333333333,-1.1980865666246565e-05
olmo,instruct,inst_matched_plain_reader,reader,valence,1.0,3.6415315207705136e-17
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.0,1.5347172915716634e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.06666666666666667,-1.4124704959203704e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.13333333333333333,8.591945578357852e-06
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.2,-4.4043383543251654e-05
