model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
gemma_instruct,gemma,instruct,arousal,0.24,0.0,0.9602110772449974,0.0238409159334906
gemma_instruct,gemma,instruct,valence,0.28,0.0,0.9573411636678836,0.0127564006392475
gemma_instruct,gemma,instruct,arousal,0.28,0.0,0.9573411636678836,0.0466167089357665
gemma_instruct,gemma,instruct,valence,0.32,0.0,0.9561041609034364,0.0544974086107308
gemma_instruct,gemma,instruct,arousal,0.32,0.0,0.9561041609034364,0.0132218411655797
gemma_instruct,gemma,instruct,valence,0.36,0.0,0.9407984076038216,0.0810496588588233
gemma_instruct,gemma,instruct,arousal,0.36,0.0,0.9407984076038216,0.2368619748017774
gemma_instruct,gemma,instruct,valence,0.4,0.0,0.9307762636840382,0.096583371130146
gemma_instruct,gemma,instruct,arousal,0.4,0.0,0.9307762636840382,0.1200694783182776
gemma_instruct,gemma,instruct,valence,0.44,0.0,0.8944421376212999,0.2977717712373476
gemma_instruct,gemma,instruct,arousal,0.44,0.0,0.8944421376212999,0.1513853821289699
gemma_instruct,gemma,instruct,valence,0.48,0.0,0.8719855475431937,0.4029506643905783
gemma_instruct,gemma,instruct,arousal,0.48,0.0,0.8719855475431937,0.1214375292398247
gemma_instruct,gemma,instruct,valence,0.52,0.0,0.8524090388770066,0.2999056200737339
gemma_instruct,gemma,instruct,arousal,0.52,0.0,0.8524090388770066,0.1212852680956138
gemma_instruct,gemma,instruct,valence,0.56,0.0,0.7968518064998478,0.1924365391825852
gemma_instruct,gemma,instruct,arousal,0.56,0.0,0.7968518064998478,0.1101610638941937
gemma_instruct,gemma,instruct,valence,0.6,0.0,0.7906460395072841,0.2380976397625549
gemma_instruct,gemma,instruct,arousal,0.6,0.0,0.7906460395072841,0.1552230815115208
gemma_instruct,gemma,instruct,valence,0.64,0.0,0.7712427477840148,0.2410679114822415
gemma_instruct,gemma,instruct,arousal,0.64,0.0,0.7712427477840148,0.1420508755731042
gemma_instruct,gemma,instruct,valence,0.68,0.0,0.7623701780535281,0.1361746413564103
gemma_instruct,gemma,instruct,arousal,0.68,0.0,0.7623701780535281,0.1056960304578144
gemma_instruct,gemma,instruct,valence,0.72,0.0,0.7440571247435699,0.2052971661625243
gemma_instruct,gemma,instruct,arousal,0.72,0.0,0.7440571247435699,0.1748163386043607
gemma_instruct,gemma,instruct,valence,0.76,0.0,0.748006697081576,0.1432635450583315
gemma_instruct,gemma,instruct,arousal,0.76,0.0,0.748006697081576,0.2660358209187058
gemma_instruct,gemma,instruct,valence,0.8,0.0,0.7555524648497987,0.2010597995605088
gemma_instruct,gemma,instruct,arousal,0.8,0.0,0.7555524648497987,0.280953550935799
gemma_instruct,gemma,instruct,valence,0.84,0.0,0.7490339644671709,0.2532309885670841
gemma_instruct,gemma,instruct,arousal,0.84,0.0,0.7490339644671709,0.1454580313063861
gemma_instruct,gemma,instruct,valence,0.88,0.0,0.7479294711043931,0.2936646923392252
gemma_instruct,gemma,instruct,arousal,0.88,0.0,0.7479294711043931,0.2686110392767705
gemma_instruct,gemma,instruct,valence,0.92,0.0,0.7496389444007053,0.2520880452861617
gemma_instruct,gemma,instruct,arousal,0.92,0.0,0.7496389444007053,0.1357522969596702
gemma_instruct,gemma,instruct,valence,0.96,0.0,0.7535505101082948,0.210506610779092
gemma_instruct,gemma,instruct,arousal,0.96,0.0,0.7535505101082948,0.2522814860781732
gemma_instruct,gemma,instruct,valence,1.0,0.0,0.7565514061375097,0.1225668542995366
gemma_instruct,gemma,instruct,arousal,1.0,0.0,0.7565514061375097,0.2353058943136593
llama_base,llama,base,valence,0.0,0.0,0.97961107411679,0.0117620739079205
llama_base,llama,base,arousal,0.0,0.0,0.97961107411679,0.0102031430695317
llama_base,llama,base,valence,0.0666666666666666,0.0,0.9706710580695616,0.0115198876653696
llama_base,llama,base,arousal,0.0666666666666666,0.0,0.9706710580695616,0.0022211057267236
