model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
qwen_instruct,qwen,instruct,valence,0.3333333333333333,0.0,0.9280778577037284,0.2324968855275517
qwen_instruct,qwen,instruct,arousal,0.3333333333333333,0.0,0.9280778577037284,0.1711268599217108
qwen_instruct,qwen,instruct,valence,0.3703703703703703,0.0,0.935989922022553,0.1529256046932728
qwen_instruct,qwen,instruct,arousal,0.3703703703703703,0.0,0.935989922022553,0.0183908085632827
qwen_instruct,qwen,instruct,valence,0.4074074074074074,0.0,0.922260330664946,0.0976913962303992
qwen_instruct,qwen,instruct,arousal,0.4074074074074074,0.0,0.922260330664946,0.0524556645303287
qwen_instruct,qwen,instruct,valence,0.4444444444444444,0.0,0.9167470452128264,0.241682313871026
qwen_instruct,qwen,instruct,arousal,0.4444444444444444,0.0,0.9167470452128264,0.0499200697982383
qwen_instruct,qwen,instruct,valence,0.4814814814814814,0.0,0.9193095114167252,0.1977160024319211
qwen_instruct,qwen,instruct,arousal,0.4814814814814814,0.0,0.9193095114167252,0.0465394097160341
qwen_instruct,qwen,instruct,valence,0.5185185185185185,0.0,0.920949757540676,0.2369064321464056
qwen_instruct,qwen,instruct,arousal,0.5185185185185185,0.0,0.920949757540676,0.085036193109407
qwen_instruct,qwen,instruct,valence,0.5555555555555556,0.0,0.9261868321625524,0.1056647973660703
qwen_instruct,qwen,instruct,arousal,0.5555555555555556,0.0,0.9261868321625524,0.113397087814646
qwen_instruct,qwen,instruct,valence,0.5925925925925926,0.0,0.9015692430486376,0.1350704682310427
qwen_instruct,qwen,instruct,arousal,0.5925925925925926,0.0,0.9015692430486376,0.1286043355204479
qwen_instruct,qwen,instruct,valence,0.6296296296296297,0.0,0.8908541257064574,0.1158384865724847
qwen_instruct,qwen,instruct,arousal,0.6296296296296297,0.0,0.8908541257064574,0.0963146841454064
qwen_instruct,qwen,instruct,valence,0.6666666666666666,0.0,0.8838860243987735,0.1214297336515937
qwen_instruct,qwen,instruct,arousal,0.6666666666666666,0.0,0.8838860243987735,0.0550730499124609
qwen_instruct,qwen,instruct,valence,0.7037037037037037,0.0,0.869603540369736,0.0131795357547542
qwen_instruct,qwen,instruct,arousal,0.7037037037037037,0.0,0.869603540369736,0.0467684485019356
qwen_instruct,qwen,instruct,valence,0.7407407407407407,0.0,0.7997275264162228,0.2335058537527981
qwen_instruct,qwen,instruct,arousal,0.7407407407407407,0.0,0.7997275264162228,0.1525463090111382
qwen_instruct,qwen,instruct,valence,0.7777777777777778,0.0,0.8263186323610695,0.611299071750783
qwen_instruct,qwen,instruct,arousal,0.7777777777777778,0.0,0.8263186323610695,0.0942740039465525
qwen_instruct,qwen,instruct,valence,0.8148148148148148,0.0,0.8161501174099574,0.9766752681101736
qwen_instruct,qwen,instruct,arousal,0.8148148148148148,0.0,0.8161501174099574,0.0753057940208768
qwen_instruct,qwen,instruct,valence,0.8518518518518519,0.0,0.810018655839546,1.010186435897317
qwen_instruct,qwen,instruct,arousal,0.8518518518518519,0.0,0.810018655839546,0.0651694946704622
qwen_instruct,qwen,instruct,valence,0.8888888888888888,0.0,0.8032657149474932,0.8014599420490277
qwen_instruct,qwen,instruct,arousal,0.8888888888888888,0.0,0.8032657149474932,0.1357290222898423
qwen_instruct,qwen,instruct,valence,0.925925925925926,0.0,0.7966928381977847,0.2924939306357567
qwen_instruct,qwen,instruct,arousal,0.925925925925926,0.0,0.7966928381977847,0.1270803750541629
qwen_instruct,qwen,instruct,valence,0.9629629629629628,0.0,0.8007676453228886,0.3184371799417078
qwen_instruct,qwen,instruct,arousal,0.9629629629629628,0.0,0.8007676453228886,0.1613924048975077
qwen_instruct,qwen,instruct,valence,1.0,0.0,0.8100114550080196,0.2753290088995327
qwen_instruct,qwen,instruct,arousal,1.0,0.0,0.8100114550080196,0.1157355838592972
