model,family,alignment,layer,relative_depth,alpha,matched_shift_V,random_shift_V,specificity_V,matched_shift_A,random_shift_A,specificity_A
gemma_base,gemma,base,2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_base,gemma,base,2,0.08,0.5,0.0025363271745616,-7.410386578284073e-05,-0.0012157684252415,-0.0009852789988786,-0.0001941299930192,0.0004667791632513
gemma_base,gemma,base,2,0.08,1.0,0.0046259355474852,0.0003474302067827,-0.0006700735408887,-0.001791165829647,-8.694572635323712e-05,0.0001841626276051
gemma_base,gemma,base,2,0.08,2.0,0.0093183720209998,0.0002459520405626,-0.0026539768295794,-0.0039096235598011,-5.717493976337928e-05,-4.649331094928552e-05
gemma_base,gemma,base,3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_base,gemma,base,3,0.12,0.5,0.0015992362352734,0.000152486683319,-0.001787577317999,-0.0012187154277912,-0.0001687267263862,0.0002916171365733
gemma_base,gemma,base,3,0.12,1.0,0.0040004298104888,-0.0001348343334294,-0.0007581409255068,-0.0029517873770057,-0.0001328485069567,-0.000135690614757
gemma_base,gemma,base,3,0.12,2.0,0.0054566204644928,-0.0008115725630597,0.0005993138990278,-0.0024882610328228,-0.0001968196225459,-0.0001289921586044
gemma_base,gemma,base,4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_base,gemma,base,4,0.16,0.5,-0.0004032081787546,5.302627503013842e-05,0.0006534589748704,-5.017450826327874e-05,0.0001209032831102,0.0003315441004448
gemma_base,gemma,base,4,0.16,1.0,-0.0018032220721265,0.0002900235697983,0.0002460354032218,0.001641373479386,0.0006298005741983,0.0004923914434249
gemma_base,gemma,base,4,0.16,2.0,-0.000264852640478,0.0010433658785907,0.001095189405981,0.0021303373513332,0.0014488488613094,0.0005837299214039
gemma_base,gemma,base,22,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_base,gemma,base,22,0.88,0.5,-0.0012629547485356,7.450703322145155e-05,6.427942109401975e-05,-9.904272014083874e-05,-0.0001704404048018,-9.504032219283022e-05
gemma_base,gemma,base,22,0.88,1.0,-0.003144430829162,1.681468186268043e-05,-0.0003831664439532,-0.000257879587179,-0.0001352571219428,-9.962533891547896e-05
gemma_base,gemma,base,22,0.88,2.0,-0.002421756412262,-0.0002223274509829,-0.0003668243528098,-0.0001360857580764,-0.0001029197453839,5.056600592373144e-05
gemma_instruct,gemma,instruct,11,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_instruct,gemma,instruct,11,0.44,0.5,-0.0013250081739756,-0.0016621967941863,0.0004925623421977,4.929365638881948e-05,0.0005131382352326,-0.0003106276923508
gemma_instruct,gemma,instruct,11,0.44,1.0,-0.0022493808634014,-0.0028153989278559,0.0014890731371331,0.0010266778312938,0.0013117897080174,-1.6615928238898603e-05
gemma_instruct,gemma,instruct,11,0.44,2.0,-0.0051517920936419,-0.0054641183404238,0.0008982365991703,0.0024157204409189,0.0030716210525597,-0.0004201764017714
gemma_instruct,gemma,instruct,12,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_instruct,gemma,instruct,12,0.48,0.5,0.0006540606501434,-0.0005638765509626,0.0022335598271724,0.0006636111236796,0.0005259562497324,0.0002932220314304
gemma_instruct,gemma,instruct,12,0.48,1.0,-0.0021037214670234,-0.0013758966264747,-0.0004856856742789,0.0011257647550038,0.0013308861469296,9.670883012110102e-05
gemma_instruct,gemma,instruct,12,0.48,2.0,-0.0031543534920392,-0.0020276957562168,0.0030685430998822,0.0021727725002282,0.0028769120731984,0.0002613492784217
gemma_instruct,gemma,instruct,22,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_instruct,gemma,instruct,22,0.88,0.5,-0.0004604077513738,-0.0006014953505211,2.314261980816556e-05,-2.362490740531742e-05,-1.2267313659279191e-05,-0.0001417074978643
gemma_instruct,gemma,instruct,22,0.88,1.0,-0.0001976762352134,-0.0007408950991202,1.9078858491113114e-05,-1.0304204850236642e-05,1.8989212104139625e-05,-6.563531309107342e-05
gemma_instruct,gemma,instruct,22,0.88,2.0,-0.0010691983038345,-0.000624623670182,-0.000449674994937,-1.0402178040241903e-05,-2.344253799353943e-05,-0.00017871164595
llama_base,llama,base,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_base,llama,base,3,0.2,0.5,0.0005624589307911,7.155755554185551e-05,-4.226497545803897e-06,-0.000196220983754,-0.0001307596340322,-7.53471358782315e-05
llama_base,llama,base,3,0.2,1.0,0.0001860589391359,-0.0001523240940953,-0.0002144719663896,-0.0002652234970111,-0.0002080138354539,-0.0001504443623458
llama_base,llama,base,3,0.2,2.0,-0.0003676643382285,-0.0010119487187746,0.0006310215810938,-0.0004778138513356,-0.0001883619786892,-0.0002290025975154
llama_base,llama,base,4,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_base,llama,base,4,0.2666666666666666,0.5,0.0006212613899189,0.0001294873414726,-4.118637505386295e-05,-0.000312355972993,-0.0002019471567284,-0.0001920233401184
llama_base,llama,base,4,0.2666666666666666,1.0,-7.794868367782166e-05,3.0618741245818574e-07,4.6017806268941006e-05,-0.0003954525036909,-0.0002873245612248,-0.0002030045668553
llama_base,llama,base,4,0.2666666666666666,2.0,0.0005878658813493,-0.00054772982255,-0.0002178305241026,-0.0005367812079304,-3.282200952924447e-05,-0.0003742320303922
llama_base,llama,base,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_base,llama,base,5,0.3333333333333333,0.5,-1.7842566701555446e-05,0.0003762792532542,6.649208270536706e-05,-0.0003384102972247,-0.0003594715409267,-0.0002128386168905
llama_base,llama,base,5,0.3333333333333333,1.0,0.0012275031763108,0.0005608810890258,9.83505448943263e-05,-0.0006022724855252,-0.0005191571442142,-0.000134214818299
llama_base,llama,base,5,0.3333333333333333,2.0,0.0012718983729885,0.0009731626296714,6.509420835827211e-05,-0.0008409535791565,-0.0005475614927645,-0.0003082562970577
llama_base,llama,base,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
