stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v3,rq1_state_induction_gate,qwen,instruct,reader_and_self,valence,pre_prompt_injection_gate,axis_gate_decision,,NO_GO,,,,,,True,primary,v3/results/derived/v3_gate_decision.json,decision_valence
v3,rq1_state_induction_gate,qwen,instruct,reader_and_self,arousal,pre_prompt_injection_gate,axis_gate_decision,,NO_GO,,,,,,True,primary,v3/results/derived/v3_gate_decision.json,decision_arousal
v3,rq1_state_induction_gate,qwen,instruct,reader_and_self,all,overall_gate,overall_gate_decision,0.0,NO_GO,,,,,,True,primary,v3/results/derived/v3_gate_decision.json,overall_decision
v3,rq2_spatiotemporal_maps,qwen,instruct,self,valence,pre_V,delta_d_peak,-0.11111111111111116,,,,,,,True,discovery,v3/results/derived/v3_spatiotemporal_summary.json,delta_d_peak
v3,rq2_spatiotemporal_maps,qwen,instruct,self,valence,pre_V,delta_d_center,-0.12769604821200975,,,,,,,True,discovery,v3/results/derived/v3_spatiotemporal_summary.json,delta_d_center
v3,rq2_spatiotemporal_maps,qwen,instruct,self,arousal,pre_A,delta_d_peak,-0.07407407407407407,,,,,,,True,discovery,v3/results/derived/v3_spatiotemporal_summary.json,delta_d_peak
v3,rq2_spatiotemporal_maps,qwen,instruct,self,arousal,pre_A,delta_d_center,0.03869984224697709,,,,,,,True,discovery,v3/results/derived/v3_spatiotemporal_summary.json,delta_d_center
v3,rq2_spatiotemporal_maps,qwen,instruct,self,valence_arousal_joint,response_end,negative_control_causal_effect,0.0,response_end_control_verified,,,,,,False,control,v3/results/raw/v3_rq2_spatiotemporal_maps_qwen.json,response_end
v3,rq3_path_mediation,qwen,instruct,self,valence,confirmation_set_subspace_removal,mediated_attenuation,0.0009005965765131,,-0.0010533994805299665,0.002946137977779052,,,96.0,True,confirmatory,v3/results/derived/v3_path_mediation_summary.json,valence_mediated_attenuation
v3,rq3_path_mediation,qwen,instruct,self,valence,confirmation_set_subspace_removal,attenuation_ratio,0.008711586152341595,,-0.01765210432439784,0.03423276473745978,,,96.0,False,secondary,v3/results/derived/v3_path_mediation_summary.json,valence_attenuation_ratio
v3,rq3_path_mediation,qwen,instruct,self,arousal,confirmation_set_subspace_removal,mediated_attenuation,0.00027120556428754844,,-0.00015274553004008997,0.0006570350671272356,,,96.0,True,confirmatory,v3/results/derived/v3_path_mediation_summary.json,arousal_mediated_attenuation
v3,rq3_path_mediation,qwen,instruct,self,arousal,confirmation_set_subspace_removal,attenuation_ratio,0.005785310128334298,,0.00011758644637542707,0.011346025166534846,,,96.0,False,secondary,v3/results/derived/v3_path_mediation_summary.json,arousal_attenuation_ratio
v3,rq4_confirmatory_replication,llama,instruct,self,valence,cross_model_replication,H1_dissociation,-0.8666666666666667,PASS,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H1_dissociation
v3,rq4_confirmatory_replication,llama,instruct,self,valence,cross_model_replication,H2_sufficiency,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H2_sufficiency
v3,rq4_confirmatory_replication,llama,instruct,self,valence,cross_model_replication,H3_mediation,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H3_mediation
v3,rq4_confirmatory_replication,llama,instruct,self,valence,cross_model_replication,H4_temporal_contrast,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H4_temporal_contrast
v3,rq4_confirmatory_replication,gemma,instruct,self,valence,cross_model_replication,H1_dissociation,0.0,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H1_dissociation
v3,rq4_confirmatory_replication,gemma,instruct,self,valence,cross_model_replication,H2_sufficiency,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H2_sufficiency
v3,rq4_confirmatory_replication,gemma,instruct,self,valence,cross_model_replication,H3_mediation,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H3_mediation
v3,rq4_confirmatory_replication,gemma,instruct,self,valence,cross_model_replication,H4_temporal_contrast,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H4_temporal_contrast
v3,rq4_confirmatory_replication,olmo,instruct,self,valence,cross_model_replication,H1_dissociation,-0.6666666666666666,PASS,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H1_dissociation
v3,rq4_confirmatory_replication,olmo,instruct,self,valence,cross_model_replication,H2_sufficiency,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H2_sufficiency
v3,rq4_confirmatory_replication,olmo,instruct,self,valence,cross_model_replication,H3_mediation,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H3_mediation
v3,rq4_confirmatory_replication,olmo,instruct,self,valence,cross_model_replication,H4_temporal_contrast,,FAIL,,,,,,True,confirmatory,v3/results/derived/v3_cross_model_replication_summary.json,H4_temporal_contrast
