id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
B-grief-d1-v1,res_10,7.3828125,7.37890625,7.38671875,2.1129619657532714,2.1081675036449985,2.113710232244457,-0.00390625,0.00390625,-0.0047944621082729455,0.0007482664911857562,0.0145416259765625,0.01490020751953125,0.01503753662109375
B-grief-d2-v1,res_10,4.10546875,4.203125,4.23046875,0.7477898290330849,0.7171721267211046,0.7000676530095278,0.09765625,0.125,-0.030617702311980244,-0.047722176023557106,0.08367919921875,0.090576171875,0.09222412109375
B-grief-d3-v1,res_10,6.78125,6.7890625,6.7890625,1.3312548552416656,1.3449317084514036,1.341872929223192,0.0078125,0.0078125,0.013676853209737994,0.010618073981526255,0.032928466796875,0.033477783203125,0.033905029296875
B-terror-d2-v1,res_10,5.02734375,5.078125,5.125,0.604821105866622,0.6305363365375842,0.6610359243549728,0.05078125,0.09765625,0.025715230670962264,0.05621481848835086,0.09246826171875,0.09649658203125,0.0975341796875
B-ecstasy-d2-v1,res_10,5.73828125,5.78125,5.7890625,0.6851637670129731,0.6955516368147968,0.7012330627535255,0.04296875,0.05078125,0.010387869801823713,0.01606929574055238,0.10150146484375,0.103515625,0.10455322265625
B-loathing-d3-v1,res_10,2.615234375,2.69921875,2.7109375,1.8805413641405555,1.7965345889853919,1.7847070980923756,0.083984375,0.095703125,-0.08400677515516364,-0.0958342660481799,0.033782958984375,0.038726806640625,0.038848876953125
B-amazement-d1-v2,res_10,6.0546875,6.08203125,6.0703125,1.304417807759631,1.328913421640273,1.3246367828659977,0.02734375,0.015625,0.02449561388064203,0.020218975106366832,0.07159423828125,0.0751953125,0.0723876953125
B-amazement-d3-v1,res_10,7.69921875,7.703125,7.69921875,2.0759541910517685,2.0702765109020613,2.0697533849446397,0.00390625,0.0,-0.005677680149707154,-0.006200806107128809,0.00829315185546875,0.00843048095703125,0.0084381103515625
B-vigilance-d1-v1,res_10,4.35546875,4.43359375,4.44140625,0.7521598953635,0.7310667679981313,0.7279219321462834,0.078125,0.0859375,-0.021093127365368725,-0.024237963217216607,0.12225341796875,0.1304931640625,0.1302490234375
B-vigilance-d3-v2,res_10,4.0234375,4.09375,4.046875,0.886146119454474,0.8645564062593876,0.895151573701261,0.0703125,0.0234375,-0.021589713195086402,0.009005454246787004,0.1112060546875,0.11822509765625,0.11260986328125
Bm-grief-d1-v1,res_10,5.8828125,5.9140625,5.91015625,0.8384173731317909,0.8428078942501323,0.8375763955397797,0.03125,0.02734375,0.004390521118341373,-0.0008409775920111828,0.1065673828125,0.1085205078125,0.10888671875
Bm-grief-d2-v1,res_10,3.033203125,3.125,3.1328125,0.9817722061068461,0.8984538921252094,0.8927668093636948,0.091796875,0.099609375,-0.0833183139816367,-0.08900539674315133,0.062042236328125,0.0697021484375,0.07000732421875
Bm-grief-d3-v1,res_10,5.54296875,5.55859375,5.55859375,1.0454911905656843,1.0405248013222272,1.039115128309056,0.015625,0.015625,-0.004966389243457048,-0.006376062256628234,0.1641845703125,0.172607421875,0.17626953125
Bm-terror-d2-v1,res_10,5.2734375,5.30859375,5.30859375,1.0194060454202645,1.0307170209016552,1.0307170209016552,0.03515625,0.03515625,0.011310975481390706,0.011310975481390706,0.1595458984375,0.165771484375,0.165771484375
Bm-ecstasy-d2-v1,res_10,5.6328125,5.65234375,5.65625,1.1989097507379678,1.2201072522715823,1.2223394611331446,0.01953125,0.0234375,0.02119750153361455,0.023429710395176828,0.1014404296875,0.10687255859375,0.1083984375
Bm-loathing-d3-v1,res_10,1.998046875,2.041015625,2.01953125,1.6048530256568623,1.5631266534124193,1.582252186244173,0.04296875,0.021484375,-0.04172637224444298,-0.02260083941268931,0.00891876220703125,0.010589599609375,0.009674072265625
Bm-amazement-d1-v2,res_10,7.29296875,7.296875,7.29296875,1.5978297552835814,1.5984375459674802,1.598751144328804,0.00390625,0.0,0.0006077906838988234,0.0009213890452226536,0.0091552734375,0.0091705322265625,0.00911712646484375
Bm-amazement-d3-v1,res_10,5.74609375,5.80859375,5.7734375,1.0085849257002484,1.0669856073670045,1.0338883625803592,0.0625,0.02734375,0.05840068166675616,0.02530343688011083,0.1107177734375,0.10968017578125,0.10943603515625
