tag,type,rec_r_v_cont,rec_r_a_cont,rec_r_v_greedy,rec_r_a_greedy,sr_r_v_cont,sr_r_a_cont,sr_r_v_greedy,sr_r_a_greedy,sr_mean_ev,sr_mean_ea,exact_55
gemma2_2b_base,Base,0.03135816968141434,0.17280708328156574,0.44734100977303254,0.07270508602482656,0.13536204857417203,0.15416935686515515,0.3783026149993036,0.21442627633785327,3.3950158392870087,4.504370240288148,2.1806853582554515
gemma2_2b_instruct,Instruct,0.44700348332277845,0.6539965710847332,0.39727568166866434,0.5871298366950343,0.5614788310345338,0.6805671294989316,0.5220684575339101,0.5653878075533575,6.1723153974822775,6.060472520099817,0.0
llama3.2_1b_base,Base,0.5919436072979726,0.2158563166861907,0.27039022001941676,0.10283834296474742,0.6390644045440874,0.12663120446063578,0.34567063357752387,-0.10804604066801794,5.3795219234633285,5.210873102860318,0.3115264797507788
llama3.2_1b_instruct,Instruct,0.5930823493910802,0.40267765143232515,0.5085921917099003,0.22959936351189758,0.5545520987371937,0.30998261373008384,0.20395792309519126,0.11380376230638274,3.792622616350427,4.172176241307254,38.006230529595015
mistral7b_v0.1_base,Base,0.8882825629769779,0.5370566526489959,0.8163748147592252,0.2636846656656882,0.8651556752136115,0.37762538813197416,0.7314066308813212,0.13398570572508423,5.177087574850585,5.146846375816028,41.74454828660436
mistral7b_v0.1_instruct,Instruct,0.6722276763530319,0.431097519786366,0.8275463792929534,0.45891204470202285,0.7615593861290696,0.4478066008619583,0.8228689811224164,0.3800515837773369,4.811000905857899,3.890436470768606,0.0
mistral7b_v0.2_instruct,Instruct,0.8213960297855307,0.5050269207643402,0.7565123328493573,0.42246579804559803,0.8457400809278909,0.5357541936600962,0.7743869536776625,0.5057052779023866,4.701704340578427,4.4677790792142735,0.6230529595015576
qwen2.5_1.5b_base,Base,0.6005394610583007,0.5720984848542668,0.4761873054330778,0.14645904128881615,0.7719095689785809,0.49566831948059287,0.6582922986748996,0.09129226978440981,5.226304037614978,5.71486033522827,0.0
qwen2.5_1.5b_instruct,Instruct,0.8275994221781018,0.35532201745813186,0.808469388214438,0.21897623009834924,0.8615546125529896,0.3454483095519557,0.819525755632217,0.22626609467663064,5.072264875235058,4.739909974220983,0.0
