dataset,num_samples,num_affective,num_neutral,recognition_mean_ev_affective,recognition_mean_ev_neutral,recognition_abs_diff_aff_neu,self_report_mean_ev_affective,self_report_mean_ev_neutral,self_report_abs_diff_aff_neu,self_report_exact_55_neutral_pct,self_report_mean_p55_pct,self_report_mean_entropy,model,is_instruct,tag,recognition_continuous_r_v,recognition_continuous_p_v,recognition_continuous_r_a,recognition_continuous_p_a,recognition_discrete_r_v,recognition_discrete_p_v,recognition_discrete_r_a,recognition_discrete_p_a,self_report_continuous_r_v,self_report_continuous_p_v,self_report_mean_ev,self_report_std_ev,self_report_mean_ea,self_report_std_ea
aipsy,144,96.0,48.0,3.751313386073319,3.415366459889006,0.3359469261843131,3.664928356143859,3.149244561469031,0.5156837946748278,37.5,0.3660922456873368,2.2767494463229543,google/gemma-2-2b,False,gemma2_2b_base,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,5.5884644034181905,5.195924612352801,0.3925397910653894,5.548795634983247,6.01290825819508,0.46411262321183333,0.0,0.40703015198526143,1.750178679040924,google/gemma-2-2b-it,True,gemma2_2b_instruct,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,5.248782360380857,5.405721707729403,0.15693934734854587,5.410448018905565,5.583387653364061,0.17293963445849592,0.6944444444444444,1.7119295452327272,4.216774835190293,meta-llama/Llama-3.2-1B,False,llama3.2_1b_base,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,3.9584321813908616,5.409182950244575,1.4507507688537133,3.405527161966097,4.484093921970623,1.078566760004526,0.0,0.01122474715878485,3.112234167229278,meta-llama/Llama-3.2-1B-Instruct,True,llama3.2_1b_instruct,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,4.960240725504772,5.372405661280151,0.4121649357753796,4.927895320616305,5.283842675205282,0.3559473545889764,58.333333333333336,4.075202564177241,4.109680777336733,mistralai/Mistral-7B-v0.1,False,mistral7b_v0.1_base,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,4.470905911292892,5.378977645439004,0.9080717341461124,4.2783277221444775,5.59060029488528,1.3122725727408024,0.6944444444444444,0.540997144084007,1.1240316390040088,mistralai/Mistral-7B-Instruct-v0.2,True,mistral7b_v0.2_instruct,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,5.278793271022814,5.511713074758634,0.23291980373582,5.109108837744393,5.556584856330829,0.4474760185864364,0.0,1.3499011387984226,4.126394648951875,Qwen/Qwen2.5-1.5B,False,qwen2.5_1.5b_base,,,,,,,,,,,,,,
aipsy,144,96.0,48.0,5.366858069750514,6.411441592677818,1.0445835229273035,5.409124565165047,6.518471173868565,1.1093466087035182,0.0,0.8038684375766698,3.473562263939728,Qwen/Qwen2.5-1.5B-Instruct,True,qwen2.5_1.5b_instruct,,,,,,,,,,,,,,
emobank,321,,,,,,,,,2.1806853582554515,0.1153087785173721,2.17560569446921,google/gemma-2-2b,False,gemma2_2b_base,0.03135816968141437,0.5756337717444532,0.17280708328156574,0.0018872455120158267,0.44734100977303254,3.3635553081533674e-17,0.07270508602482656,0.19385568922492907,0.13536204857417197,0.015227212666432689,3.3950158392870087,0.8873998672261638,4.504370240288148,0.9713129368189696
emobank,321,,,,,,,,,0.0,0.33161254416768576,1.7440447630636369,google/gemma-2-2b-it,True,gemma2_2b_instruct,0.44700348332277845,3.574812406615151e-17,0.6539965710847332,1.4856985060920073e-40,0.39727568166866434,1.3966874177763893e-13,0.5871298366950343,3.966203607651666e-31,0.5614788310345338,4.612996061877931e-28,6.1723153974822775,1.669213366722948,6.060472520099817,1.292277964690793
emobank,321,,,,,,,,,0.3115264797507788,1.8328004591835996,4.214787937227194,meta-llama/Llama-3.2-1B,False,llama3.2_1b_base,0.5919436072979726,9.823930834248197e-32,0.21585631668619065,9.684964349493442e-05,0.27039022001941676,8.768354488704181e-07,0.10283834296474742,0.06573970788268402,0.6390644045440874,3.022218292342788e-38,5.3795219234633285,0.332632727813309,5.210873102860318,0.2391842789170582
emobank,321,,,,,,,,,38.006230529595015,0.008974077470137053,3.207661084070942,meta-llama/Llama-3.2-1B-Instruct,True,llama3.2_1b_instruct,0.59308234939108,7.037506744719538e-32,0.40267765143232515,6.068688230310624e-14,0.5085921917099003,1.6097482281709873e-22,0.22959936351189758,3.278886897796442e-05,0.5545520987371937,2.7984497104703067e-27,3.792622616350427,0.9361930806142092,4.172176241307254,0.6731318504441737
emobank,321,,,,,,,,,41.74454828660436,3.943617066058421,4.147987798588167,mistralai/Mistral-7B-v0.1,False,mistral7b_v0.1_base,0.8882825629769782,8.10531168570521e-110,0.5370566526489959,2.2137808286955116e-25,0.8163748147592252,4.7599936638730785e-78,0.2636846656656882,1.6601501204837497e-06,0.8651556752136115,1.2575470111616205e-97,5.177087574850585,0.591283526561871,5.146846375816028,0.3182977134928222
emobank,321,,,,,,,,,0.6230529595015576,2.244942021128236,0.9852264151217887,mistralai/Mistral-7B-Instruct-v0.2,True,mistral7b_v0.2_instruct,0.8213960297855307,8.823343285558233e-80,0.5050269207643402,3.5204352650078473e-22,0.7565123328493573,8.606499127966871e-61,0.42246579804559803,2.5102076923083698e-15,0.8457400809278909,5.040823641746941e-89,4.701704340578427,2.136134815235337,4.4677790792142735,1.7315671941673625
emobank,321,,,,,,,,,0.0,0.9377003428142072,3.953875550771539,Qwen/Qwen2.5-1.5B,False,qwen2.5_1.5b_base,0.6005394610583007,7.662480211218501e-33,0.5720984848542668,2.675196225598327e-29,0.4761873054330778,1.4258296695032047e-19,0.14645904128881615,0.008589394525445373,0.7719095689785809,1.0132807866787972e-64,5.226304037614978,0.8419090365863028,5.71486033522827,0.6722004617003307
emobank,321,,,,,,,,,0.0,0.439874309854119,3.3576895414557146,Qwen/Qwen2.5-1.5B-Instruct,True,qwen2.5_1.5b_instruct,0.8275994221781018,5.360567881928558e-82,0.3553220174581318,5.509784188269082e-11,0.808469388214438,1.992733830260344e-75,0.21897623009834924,7.618508915376453e-05,0.8615546125529896,6.209541748853445e-96,5.072264875235058,2.0156832628100925,4.739909974220983,1.0666879972877414
