tag,type,rec_diff_v,rec_diff_a,sr_diff_v,sr_diff_a,sr_ev_aff,sr_ea_aff,sr_ev_neu,sr_ea_neu,exact_55
gemma2_2b_base,Base,0.3359469261843131,0.2341012385524186,0.5156837946748278,0.11558011669056434,3.664928356143859,4.492276366597916,3.149244561469031,4.60785648328848,37.5
gemma2_2b_instruct,Instruct,0.3925397910653894,2.0435971714837566,0.46411262321183244,1.5495535216925784,5.5487956349832475,6.084616144824051,6.01290825819508,4.535062623131473,0.0
llama3.2_1b_base,Base,0.15693934734854587,0.027661385428171315,0.17293963445849592,0.033236825882782206,5.410448018905565,5.191537426366566,5.583387653364061,5.2247742522493485,0.6944444444444444
llama3.2_1b_instruct,Instruct,1.4507507688537133,0.37861844109287235,1.078566760004526,0.16451139627656186,3.405527161966097,3.6668306543366076,4.484093921970623,3.5023192580600457,0.0
mistral7b_v0.1_base,Base,0.4121649357753787,0.5799072683720645,0.3559473545889764,0.2467007985519647,4.927895320616305,4.955559853763121,5.283842675205282,4.708859055211156,58.333333333333336
mistral7b_v0.1_instruct,Instruct,0.013220316725071513,1.5415145965927737,0.5201554767779974,1.4061152333257274,4.630972787989227,3.928514065443244,5.151128264767224,2.5223988321175166,0.0
mistral7b_v0.2_instruct,Instruct,0.9080717341461124,2.5933984563405095,1.3122725727408024,2.392866981410813,4.2783277221444775,5.484348428655046,5.59060029488528,3.091481447244233,0.6944444444444444
qwen2.5_1.5b_base,Base,0.23291980373582,0.3089071291324075,0.4474760185864364,0.06240702193537562,5.109108837744393,5.226924572480978,5.556584856330829,5.164517550545602,0.0
qwen2.5_1.5b_instruct,Instruct,1.0445835229273035,0.05286815059247463,1.1093466087035182,0.38172191592649884,5.409124565165047,4.533313287306349,6.518471173868565,4.915035203232848,0.0
