layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.0034137814279527243,-0.0024308023845948192,-0.0054643912060061,-0.0007471592871460773,0.0020506097780533757,-0.001683643097448742
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.003564810194880854,0.0009624278556756063,0.0020017588038956043,-0.0006284928878309975,0.0015630513909852496,0.001590920743506604
1,1.0,0.007652760397932848,0.0018296345163220141,0.0019363296804776515,-0.002393066728467582,0.005716430717455197,0.004222701244789596
1,1.5,0.010490253546357306,0.0015584380837855756,0.0020824557927239203,-0.004247704069591333,0.008407797753633386,0.005806142153376909
2,-1.0,-0.006466635042574401,-0.0032880402623804337,-0.007828994334852188,-0.003528912933254011,0.0013623592922777875,0.00024087267087357722
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.0035273043234250456,0.001049619323998154,0.003979925265440003,0.0009380860858703479,-0.0004526209420149573,0.00011153323812780603
2,1.0,0.00977943474346385,0.0024048266744269575,0.0068955286379309795,0.0013837056290786586,0.00288390610553287,0.001021121045348299
2,1.5,0.01672241304342158,0.0038875434508729247,0.008332577087660017,0.0009202355713250066,0.008389835955761564,0.002967307879547918
3,-1.0,-0.013633635663927899,-0.005502288540375877,-0.006155744703124517,-0.005046652347015831,-0.007477890960803381,-0.00045563619336004557
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.005311599151497773,0.0023901914699643867,0.0017273969385635014,0.0016670414984025217,0.0035842022129342717,0.000723149971561865
3,1.0,0.009441790064565714,0.0038175150134960915,0.0028680859772546494,0.0030503102415694087,0.006573704087311064,0.0007672047719266828
3,1.5,0.013326411781252675,0.00531129251641028,0.0035950822941261673,0.0037361563493612713,0.009731329487126508,0.0015751361670490092
4,-1.0,-0.018410039422145114,-0.008429000219367261,-0.022506367298517224,-0.009782852825953495,0.004096327876372111,0.0013538526065862335
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
