layer,dimension,HIC_pearson,HBC_pearson,HIC_slope,HBC_slope,HIC_cov,HBC_cov,Dissociation_Gap_Pearson,Dissociation_Gap_Slope
0,valence,,,0.4931014261855798,0.5326844908915457,8.56866155671099e-31,-6.936535545908897e-31,,-0.0395830647059659
0,arousal,,,0.506628032523939,0.4694396859872512,1.7953386118823028e-30,8.160630054010467e-31,,0.03718834653668773
1,valence,0.5037307656640418,0.1906552448899462,2.0161948465807358,0.15827112257827164,0.8663585249357316,0.06800906992167667,0.3130755207740956,1.8579237240024642
1,arousal,0.2710533392920351,0.27096035379362526,0.7343879575566832,0.10767128446750397,0.4704624573018147,0.06897620876022453,9.298549840985881e-05,0.6267166730891792
2,valence,0.4664112199027747,0.10108058189883747,1.5316396972302593,0.06884529414724398,0.9777201484852069,0.04394730127318704,0.3653306380039372,1.4627944030830153
2,arousal,0.268645163712196,0.2934640656155922,0.6526748102864935,0.10456735276986365,0.5199986269382103,0.08331082953703164,-0.024818901903396196,0.5481074575166299
3,valence,0.3600886729133241,0.0918312875631385,1.2246277485357686,0.06477452110536219,0.7288665597244149,0.03855210892641535,0.26825738535018556,1.1598532274304065
3,arousal,0.25433761228288326,0.30014268908926034,0.6098326348258355,0.1055482895216844,0.49882879273340075,0.08633602537885518,-0.045805076806377076,0.5042843453041511
4,valence,0.44387359134045473,0.3099026204625526,1.5409989451059942,0.2231450126138352,0.8801353678744398,0.127448379111457,0.1339709708779021,1.317853932492159
4,arousal,0.2355610200125977,0.30665999127500887,0.39498555265016483,0.0754150914742082,0.6606426946727402,0.12613734582499866,-0.07109897126241116,0.3195704611759566
5,valence,0.31802259283293743,0.04801699427223783,1.0389380783287636,0.03253460681481206,0.6701306544238532,0.02098530972250453,0.2700055985606996,1.0064034715139516
5,arousal,0.3015851003795262,0.3001085821684323,0.45563201781311385,0.06649762383160959,0.9387425941057461,0.13700563054626594,0.0014765182110939024,0.3891343939815043
6,valence,0.26609732661693764,-0.03260770675553298,0.9647797167695806,-0.02452035827078498,0.5052264266625823,-0.012840581921762845,0.2987050333724706,0.9893000750403657
6,arousal,0.3299846151553786,0.3831418267359711,0.5770538076790552,0.09826651245599326,0.8873849703842522,0.15111281666479243,-0.0531572115805925,0.47878729522306196
7,valence,0.329677847337002,-0.12468029958131406,1.1260209497134355,-0.08832292511115229,0.6644560520397815,-0.05211865919448208,0.45435814691831605,1.2143438748245878
7,arousal,0.33679477070019004,0.3147538450584018,0.6805472198766689,0.09327974007412226,0.7838147116275482,0.10743418007076855,0.022040925641788223,0.5872674798025466
8,valence,0.28149033024868636,0.005379547827087807,0.8465384896498476,0.003355427836669314,0.6443375667776963,0.0025539632683114393,0.27611078242159853,0.8431830618131783
8,arousal,0.378571425113392,0.30879045626598983,0.7107197730362248,0.08502326845368502,0.9482836377448671,0.11344298746294969,0.06978096884740215,0.6256965045825398
9,valence,0.39801818078433654,0.18966303467445597,1.068819997974448,0.10563388620205334,1.0203154202812215,0.10084006960989049,0.20835514610988057,0.9631861117723945
9,arousal,0.32176021495228824,0.22883021223871605,0.5066330467005992,0.052844268825539956,0.9609751725268104,0.1002343425530367,0.09293000271357219,0.4537887778750592
10,valence,0.4020200689173022,0.23197462337041508,1.01354046866334,0.12129774864596923,1.0977098824487757,0.1313709136676761,0.1700454455468871,0.8922427200173708
10,arousal,0.3229976673098991,0.15566023126031642,0.49368380698540804,0.034893981502728356,0.9937814470368777,0.07024129805352161,0.16733743604958268,0.45878982548267966
11,valence,0.4052213958863459,0.23398759776803071,0.8089249325156466,0.09687854187023927,1.3973645319548555,0.16735129908281968,0.1712337981183152,0.7120463906454073
11,arousal,0.3378121094921366,0.22275406865665462,0.5439754245349245,0.052608154878273104,0.9865341937624604,0.09540825066231638,0.11505804083548196,0.49136726965665145
12,valence,0.3744501474958961,0.30041326206048463,0.7219079520111291,0.12012290392806282,1.3370245659121447,0.22247611074666374,0.07403688543541148,0.6017850480830663
12,arousal,0.17370478545451742,0.20742886709723896,0.2557532814807822,0.04479215791167286,0.5548088076170722,0.09716819106947923,-0.03372408164272153,0.21096112356910934
13,valence,0.4111867482982316,0.3368475149494826,0.7818485419859593,0.1328421115802526,1.4886369328880582,0.2529309232180576,0.07433923334874898,0.6490064304057067
13,arousal,0.11343006075887527,0.15419859482164414,0.154795704423728,0.03086274246404753,0.3908754730822345,0.0779316784413341,-0.04076853406276887,0.12393296195968047
14,valence,0.44468444792766004,0.39157252628454114,0.8790023597179469,0.160534808624907,1.5486277660959615,0.2828304831186182,0.0531119216431189,0.71846755109304
14,arousal,0.09153978416501017,0.1888274553816997,0.11982950302075528,0.036252868299728964,0.3288493633331906,0.09948912712508683,-0.09728767121668953,0.0835766347210263
15,valence,0.44945668447618664,0.3779792014998622,0.9256992414940799,0.161461457684943,1.502238819064441,0.2620221111184772,0.07147748297632445,0.7642377838091369
15,arousal,0.13081243176185786,0.20344995352681375,0.17467062526575347,0.039842979627539535,0.4607010039869877,0.10508750792134196,-0.07263752176495589,0.13482764563821392
16,valence,0.47890135173978826,0.3646268819939433,1.0834472234219026,0.17109183470054984,1.4571946410437793,0.23011190509544996,0.11427446974584499,0.9123553887213527
16,arousal,0.13020451868753455,0.12884563259017975,0.1856329406699015,0.026941517173084264,0.42947517345335906,0.062331139717183,0.0013588860973547945,0.15869142349681722
17,valence,0.48487736317343083,0.3898425876821309,0.9926265940462855,0.1655244601134003,1.6304636188063502,0.2718863385851186,0.0950347754912999,0.8271021339328852
17,arousal,0.13435876853480314,0.12222293763774068,0.16972055923335871,0.02264355002080231,0.5001941066713527,0.0667342266940696,0.012135830897062452,0.1470770092125564
18,valence,0.48109299763920726,0.30943350731759367,0.9237699863992719,0.12323130671130124,1.7247550464861856,0.23008305234495702,0.1716594903216136,0.8005386796879707
18,arousal,0.10327347400586633,0.05601933005774284,0.12010844510725825,0.009555337421856104,0.41758512829099187,0.033221367570000805,0.04725414394812349,0.11055310768540215
19,valence,0.4223829803452633,0.40122247984101034,0.800137275602982,0.15763848501769603,1.5349050606164598,0.302398245625081,0.021160500504252944,0.6424987905852859
19,arousal,0.05986119102432831,0.07170926397585121,0.06757726991592093,0.011872820790677403,0.24936245202324175,0.043811117384284115,-0.011848072951522903,0.05570444912524353
20,valence,0.4374275378683068,0.35855217463368044,0.8080755438319691,0.1373779734528106,1.630022044320677,0.2771140976130643,0.07887536323462635,0.6706975703791584
20,arousal,0.013637497903686565,0.04881317843926351,0.013818989002521459,0.0072544087182233015,0.0632898574912862,0.03322460810093491,-0.035175680535576945,0.0065645802842981575
21,valence,0.400118322517633,0.3928636227027098,0.9692183788863798,0.19737580772753394,1.137073238786746,0.23155849480358118,0.007254699814923216,0.7718425711588459
21,arousal,-0.007320298308921655,0.09614779867529534,-0.007063131992565019,0.013606024446508205,-0.03567806001773741,0.06872822953277762,-0.103468096984217,-0.020669156439073223
22,valence,0.13999492534178862,0.28704343066088234,0.28548941669037936,0.1214071414324206,0.47257176920103605,0.20096572505376736,-0.14704850531909372,0.16408227525795877
22,arousal,-0.007639496781210487,0.07159048950285801,-0.008007859124702586,0.011006021647375495,-0.03427315424101895,0.04710510907176986,-0.0792299862840685,-0.01901388077207808
23,valence,0.16573087904727216,0.22184676460314826,0.3081748146944152,0.08555900211630915,0.613540060565657,0.17033797973539833,-0.0561158855558761,0.22261581257810606
23,arousal,-0.0482069748156841,0.11130300737693008,-0.046143361295396604,0.015625344685523727,-0.23683807643043786,0.08019954496143872,-0.1595099821926142,-0.06176870598092033
24,valence,0.17768045181289124,0.2399928847912464,0.33900522365516894,0.09496946864789242,0.6410709689021812,0.17959065239702018,-0.06231243297835515,0.24403575500727653
24,arousal,-0.05879045078059657,0.12413917530543458,-0.05611626928918178,0.0173785770994342,-0.2896448327155908,0.08969974519975797,-0.18292962608603114,-0.07349484638861598
25,valence,0.1645994620432812,0.28892265363215486,0.37294323055294104,0.1357734375522435,0.5000889921646087,0.18206202978280775,-0.12432319158887367,0.23716979300069754
25,arousal,-0.046227092957890646,0.06703332874198194,-0.046359148202003084,0.009859457271790743,-0.21676976861922254,0.04610162943901531,-0.11326042169987258,-0.05621860547379383
26,valence,0.23525042590637707,0.21121264838425832,0.5615481532111245,0.104567183091862,0.678433108619384,0.12633260153900336,0.024037777522118747,0.45698097011926253
26,arousal,-0.09672287886009419,0.1093433490102804,-0.08953089974713924,0.014844291179938612,-0.4913901821083095,0.08147286542166121,-0.2060662278703746,-0.10437519092707785
27,valence,0.10167995900973276,0.09140544267637324,0.14957620225244775,0.027888046749301683,0.47581860924615177,0.08871499221813714,0.010274516333359518,0.12168815550314607
27,arousal,-0.01032309643888498,0.025003884326615558,-0.01034004832373838,0.0036731902559175274,-0.048466135930395296,0.01721707023677749,-0.03532698076550054,-0.014013238579655907
