component,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
attn_14,0.013541666666666667,0.013411458333333333,0.0033526727971311316,0.0034339992092014783,0.07893269856770833,0.07412630716959635,0.07395744323730469
mlp_10,0.0014322916666666666,0.0016927083333333334,0.006148348860842641,0.007515464752364685,0.07893269856770833,0.07673543294270833,0.07654596964518229
res_10,0.030859375,0.030794270833333335,0.001728688115166654,0.003559091298038159,0.07893269856770833,0.08176727294921875,0.08171564737955729
res_15,0.06751302083333334,0.06998697916666667,0.021613096963188517,0.024938466057033908,0.07893269856770833,0.07837028503417968,0.07842305501302084
res_16,0.012467447916666667,0.007356770833333333,0.007448061679368803,0.013291983392981864,0.07893269856770833,0.0775927225748698,0.07743759155273436
