id,BBB_Ev,BBB_Ea,BBB_p55,BBB_ent,BBB_wd,BBB_jsd,BBB_emd2d,III_Ev,III_Ea,III_p55,III_ent,III_wd,III_jsd,III_emd2d,BBI_Ev,BBI_Ea,BBI_p55,BBI_ent,BBI_wd,BBI_jsd,BBI_emd2d,IIB_Ev,IIB_Ea,IIB_p55,IIB_ent,IIB_wd,IIB_jsd,IIB_emd2d,BIB_Ev,BIB_Ea,BIB_p55,BIB_ent,BIB_wd,BIB_jsd,BIB_emd2d,BII_Ev,BII_Ea,BII_p55,BII_ent,BII_wd,BII_jsd,BII_emd2d,IBB_Ev,IBB_Ea,IBB_p55,IBB_ent,IBB_wd,IBB_jsd,IBB_emd2d,IBI_Ev,IBI_Ea,IBI_p55,IBI_ent,IBI_wd,IBI_jsd,IBI_emd2d
B-grief-d1-v1,5.08289658933621,4.994755155982854,0.012100411822305842,4.3885315330494015,0.0,0.0,0.0,5.364892814373056,4.727889660366981,0.011321695496471525,4.371296894517196,0.28199622503684774,0.004041889799026775,0.41085013531095904,5.070022339855582,4.983771243391626,0.012221363894598488,4.388602172426999,0.012874249480627778,1.5744332862905574e-05,0.01761206704245205,5.386617120922496,4.76366636383496,0.011396787679822948,4.370753826133946,0.30372053158628864,0.0041050974433383,0.40640683918492854,5.08289658933621,4.994755155982854,0.012100411822305842,4.3885315330494015,0.0,0.0,0.0,5.070022339855582,4.983771243391626,0.012221363894598488,4.388602172426999,0.012874249480627778,1.5744332862905574e-05,0.01761206704245205,5.386617120922496,4.76366636383496,0.011396787679822948,4.370753826133946,0.30372053158628864,0.0041050974433383,0.40640683918492854,5.364892814373056,4.727889660366981,0.011321695496471525,4.371296894517196,0.28199622503684774,0.004041889799026775,0.41085013531095904
B-grief-d2-v1,5.088651769442371,5.02423053746653,0.01236392146412307,4.389609667196259,0.0,0.0,0.0,4.886317090522009,4.900165966894925,0.011920034653630503,4.386230460197157,0.20233467892036308,0.0024874686236069873,0.2507023913808534,5.063566010295445,5.009153101023458,0.012313011774227216,4.39011213216421,0.025085759146926345,4.3702369996433586e-05,0.0298573147913227,4.9182904853751985,4.936062605619166,0.01207247686823148,4.386870769269159,0.17036128406717327,0.0021898681949364413,0.20867947830772998,5.088651769442371,5.02423053746653,0.01236392146412307,4.389609667196259,0.0,0.0,0.0,5.063566010295445,5.009153101023458,0.012313011774227216,4.39011213216421,0.025085759146926345,4.3702369996433586e-05,0.0298573147913227,4.9182904853751985,4.936062605619166,0.01207247686823148,4.386870769269159,0.17036128406717327,0.0021898681949364413,0.20867947830772998,4.886317090522009,4.900165966894925,0.011920034653630503,4.386230460197157,0.20233467892036308,0.0024874686236069873,0.2507023913808534
B-grief-d3-v1,5.113845909618401,5.040488551221456,0.012289631587245355,4.388100163623548,0.0,0.0,0.0,5.268653356209594,4.906706294803619,0.012860269279596244,4.37233114810465,0.19680926216876887,0.003608262047779284,0.2757546340433889,5.097949195151463,5.028119953983511,0.012387837533793852,4.3886073762675535,0.015896714466935816,1.845646436382411e-05,0.020720130427816622,5.275590642055695,4.9350487614821565,0.012929614637899928,4.371548467795635,0.20448644557536888,0.0036797451339380394,0.2725243617229388,5.113845909618401,5.040488551221456,0.012289631587245355,4.388100163623548,0.0,0.0,0.0,5.097949195151463,5.028119953983511,0.012387837533793852,4.3886073762675535,0.015896714466935816,1.845646436382411e-05,0.020720130427816622,5.275590642055695,4.9350487614821565,0.012929614637899928,4.371548467795635,0.20448644557536888,0.0036797451339380394,0.2725243617229388,5.268653356209594,4.906706294803619,0.012860269279596244,4.37233114810465,0.19680926216876887,0.003608262047779284,0.2757546340433889
B-terror-d2-v1,5.078808110232612,5.0276378139001805,0.012681218841453082,4.389273720189494,0.0,0.0,0.0,4.982840868883406,4.887550613869459,0.012165146444230453,4.387074841453495,0.09814950788756344,0.0016375037660211753,0.18587482031846847,5.061815235264937,5.014175642441046,0.012762663705852273,4.3896313617597045,0.016992874967675264,2.4541056318521293e-05,0.022661027027749362,4.994772901845615,4.919155507712998,0.012245462954191075,4.387043127876441,0.093393019516781,0.0016492614461239119,0.16050483378594924,5.078808110232612,5.0276378139001805,0.012681218841453082,4.389273720189494,0.0,0.0,0.0,5.061815235264937,5.014175642441046,0.012762663705852273,4.3896313617597045,0.016992874967675264,2.4541056318521293e-05,0.022661027027749362,4.994772901845615,4.919155507712998,0.012245462954191075,4.387043127876441,0.093393019516781,0.0016492614461239119,0.16050483378594924,4.982840868883406,4.887550613869459,0.012165146444230453,4.387074841453495,0.09814950788756344,0.0016375037660211753,0.18587482031846847
B-ecstasy-d2-v1,5.122129241727088,5.067755173207454,0.012655711871480855,4.388584847441134,0.0,0.0,0.0,5.048115232936117,5.009655531000483,0.01273637849721432,4.386720852144489,0.07976828594911496,0.0016219470115985057,0.1294225307556992,5.107921418389378,5.056099374871786,0.012671385362250622,4.3891833058028045,0.014207823337713199,1.9106214699884386e-05,0.019196622192211858,5.0719509451099825,5.046703747330621,0.012866269497201606,4.385334533258284,0.06623630559740995,0.0017320181967308548,0.1251488608490621,5.122129241727088,5.067755173207454,0.012655711871480855,4.388584847441134,0.0,0.0,0.0,5.107921418389378,5.056099374871786,0.012671385362250622,4.3891833058028045,0.014207823337713199,1.9106214699884386e-05,0.019196622192211858,5.0719509451099825,5.046703747330621,0.012866269497201606,4.385334533258284,0.06623630559740995,0.0017320181967308548,0.1251488608490621,5.048115232936117,5.009655531000483,0.01273637849721432,4.386720852144489,0.07976828594911496,0.0016219470115985057,0.1294225307556992
B-loathing-d3-v1,5.055789266724379,4.985381606909615,0.012617333419187755,4.389607087047415,0.0,0.0,0.0,4.74556471986256,4.869764411680651,0.011980961679141889,4.3851586661172215,0.310224546861824,0.003007303927316919,0.342893009163373,5.0474527326361125,4.9755952726598185,0.012633688465183767,4.390105180987641,0.008336534088268205,1.8288367532703245e-05,0.014143460143445162,4.776866205126381,4.917889743028587,0.012108037592667913,4.3868542539053035,0.27892306159800384,0.0026128476803959537,0.30053084790776247,5.055789266724379,4.985381606909615,0.012617333419187755,4.389607087047415,0.0,0.0,0.0,5.0474527326361125,4.9755952726598185,0.012633688465183767,4.390105180987641,0.008336534088268205,1.8288367532703245e-05,0.014143460143445162,4.776866205126381,4.917889743028587,0.012108037592667913,4.3868542539053035,0.27892306159800384,0.0026128476803959537,0.30053084790776247,4.74556471986256,4.869764411680651,0.011980961679141889,4.3851586661172215,0.310224546861824,0.003007303927316919,0.342893009163373
B-amazement-d1-v2,5.06550576662401,5.031551482322627,0.012163769051543606,4.389002484903757,0.0,0.0,0.0,5.096744564264956,5.019884230376601,0.012672499645834815,4.385436990324502,0.10389495166768999,0.0020523019723711804,0.1447127478471399,5.058426261811765,5.01748162942031,0.012332478144114367,4.389310968974382,0.009215511730599577,2.4934273442930864e-05,0.01731635422245065,5.145747344036584,5.062856911037128,0.013264908116902558,4.383684955991261,0.12788203482420102,0.0022046002973682413,0.17245981847608968,5.06550576662401,5.031551482322627,0.012163769051543606,4.389002484903757,0.0,0.0,0.0,5.058426261811765,5.01748162942031,0.012332478144114367,4.389310968974382,0.009215511730599577,2.4934273442930864e-05,0.01731635422245065,5.145747344036584,5.062856911037128,0.013264908116902558,4.383684955991261,0.12788203482420102,0.0022046002973682413,0.17245981847608968,5.096744564264956,5.019884230376601,0.012672499645834815,4.385436990324502,0.10389495166768999,0.0020523019723711804,0.1447127478471399
B-amazement-d3-v1,5.152895039893869,4.972040957041496,0.012483028951505569,4.38699196137294,0.0,0.0,0.0,5.457628293475167,5.010523668736142,0.011314758996558566,4.372673396301762,0.3047332535812963,0.0024927289157717645,0.31040998653287344,5.144905302486029,4.955256412237894,0.01248976236072249,4.387253603950438,0.007989737407840009,2.119221353667099e-05,0.019625050911475064,5.500327355870706,5.061206117236761,0.011561715545655132,4.368485886669809,0.3474323159768391,0.0032662327297322304,0.3616900928971504,5.152895039893869,4.972040957041496,0.012483028951505569,4.38699196137294,0.0,0.0,0.0,5.144905302486029,4.955256412237894,0.01248976236072249,4.387253603950438,0.007989737407840009,2.119221353667099e-05,0.019625050911475064,5.500327355870706,5.061206117236761,0.011561715545655132,4.368485886669809,0.3474323159768391,0.0032662327297322304,0.3616900928971504,5.457628293475167,5.010523668736142,0.011314758996558566,4.372673396301762,0.3047332535812963,0.0024927289157717645,0.31040998653287344
B-vigilance-d1-v1,5.085828874217195,4.990496894455055,0.013120700395783612,4.389747297409241,0.0,0.0,0.0,4.889866410725218,4.822534972868273,0.013100213177844405,4.383721391887464,0.19596246349197557,0.0026136978431713846,0.270088060327571,5.086864926892016,4.978050585776997,0.013128814768457625,4.3899611028819825,0.0047978529467396225,1.6271095516838163e-05,0.013965774141574211,4.912578798273808,4.856603075361976,0.013302187951847929,4.384086242061891,0.17325007594338515,0.002426458400637818,0.2336777601386989,5.085828874217195,4.990496894455055,0.013120700395783612,4.389747297409241,0.0,0.0,0.0,5.086864926892016,4.978050585776997,0.013128814768457625,4.3899611028819825,0.0047978529467396225,1.6271095516838163e-05,0.013965774141574211,4.912578798273808,4.856603075361976,0.013302187951847929,4.384086242061891,0.17325007594338515,0.002426458400637818,0.2336777601386989,4.889866410725218,4.822534972868273,0.013100213177844405,4.383721391887464,0.19596246349197557,0.0026136978431713846,0.270088060327571
B-vigilance-d3-v2,5.053343646021418,4.981833447720994,0.012580668828982622,4.389915521008019,0.0,0.0,0.0,4.879227711511855,5.0144322064199285,0.012468774949766058,4.387838762294061,0.17967945879325836,0.0018716250593495687,0.1971770848681645,5.038144162925474,4.968088896212266,0.012820237508577336,4.390119469525447,0.015199483095943406,1.8871713786566023e-05,0.020768922409735806,4.9289233244123825,5.056870882748785,0.013042152538796675,4.3874968268400965,0.13998792952023237,0.0018541154405723465,0.18690445126970973,5.053343646021418,4.981833447720994,0.012580668828982622,4.389915521008019,0.0,0.0,0.0,5.038144162925474,4.968088896212266,0.012820237508577336,4.390119469525447,0.015199483095943406,1.8871713786566023e-05,0.020768922409735806,4.9289233244123825,5.056870882748785,0.013042152538796675,4.3874968268400965,0.13998792952023237,0.0018541154405723465,0.18690445126970973,4.879227711511855,5.0144322064199285,0.012468774949766058,4.387838762294061,0.17967945879325836,0.0018716250593495687,0.1971770848681645
