layer,probe_r2_mlp,probe_r2_resid,causal_rec_mlp,causal_shift_mlp,causal_rec_resid,causal_shift_resid
0,0.30633167799063676,0.31537587836850833,0.1766006446554047,-1.1725720191194988,-0.967581799311085,-0.9421876843307397
1,0.3060997101831434,0.35263660782905204,-0.06851509495795345,-0.8379904953446959,-0.08106052276555623,7.474392113475997
2,0.35713454717702475,0.3896104623531751,-2.3586630485270583,-2.8316520451043226,-3.319291588415174,-8.221011723264777
3,0.4141944639684093,0.3787652927848897,0.5458465210213381,3.4413201301467926,-4.80566759021243,-11.788845043465988
4,0.3855708419856264,0.3612511318166324,0.4307983101713483,-6.059182449683052,-4.029851516913692,-14.604660413274498
5,0.3673287189469572,0.4031642407644702,-1.6735735666849538,-9.326224804883934,-5.219036140697516,-18.724614232946372
6,0.4277789610618069,0.46925351402849613,-1.2591378704801344,3.8100441960502636,-6.144559158049902,-20.300310051005717
7,0.5006521796132817,0.4828863813059222,0.6851359133414747,-1.2278507835577368,-3.172327768440041,-15.820770697318693
8,0.469964788522926,0.46474437079594955,-2.8820809878219547,-3.6657330851971466,-3.1793474816824303,-14.74328208034476
9,0.42823529692103646,0.41234989631041963,0.5928911818022724,14.462839874496941,-3.2687643940019084,-5.531638106778402
10,0.483601843123069,0.4821717970979009,-0.4703801094498683,5.883781644225026,-1.4654557927683494,-6.225833534774618
11,0.47617055438580846,0.4658797637841102,-0.8614636393930224,-2.46644853554065,-1.3944350433310837,-6.884268447815652
12,0.4238922198273053,0.4563385078262441,-3.6318500640322404,-3.525184296751228,-1.4046707698024665,-5.116325960180223
13,0.48738469868860346,0.48624315671769736,-0.09376564304846975,-2.0489497856586625,0.10835770789200691,-1.4646229430593456
14,0.5297271072615919,0.5071942993553031,0.2962229190789878,-1.4820782380674125,0.2187166547695226,-0.11279742603553596
15,0.5464596359881373,0.49051747504984133,1.374092567054585,1.9889437635971323,0.28835863350364405,4.584169202276992
16,0.4995410722347662,0.48168002664415144,0.06183251687486087,-0.07053199097638249,1.2618619176501993,6.368102654739379
17,0.4527505537444533,0.4584043973279517,-0.3416687606918482,-0.5528986713673308,0.5985856489255507,0.312773883228726
18,0.5085638112284667,0.5059286563203818,0.07709683504971994,-0.5015997207749695,0.6910775948709228,5.73239977621144
19,0.4176293265602361,0.4499585769420693,-0.12819017164248972,0.6115944508034962,0.08032516863906085,1.6543947255387221
20,0.4423193060756826,0.4146704874958259,-0.27775503793943185,0.2810364513806048,0.20331063616744488,1.4185967527678733
21,0.5174031123388781,0.3434693873307303,-0.2835119018974945,-1.0118800654781106,0.03878598482187856,0.8012082290762014
22,0.35613355400456703,0.15706942217028363,0.13443833569677452,1.4654307308300467,0.05068472677818514,0.1377847051799179
23,0.3681943146053944,0.18479472772428618,-0.09171393171031032,-0.037436849753023915,0.06582462869773338,2.1618202794096653
24,0.41206674765165907,0.13954401443909525,-0.11509406556300321,0.048349903161127396,0.12374942509058981,1.8030847801377041
25,0.3115301548587708,0.11428494186788585,-0.026987913204305308,0.5545621080301338,-0.2273061913270887,0.22635816514079068
26,0.41629397435527304,0.23812557191962158,-0.0377660082985957,0.06772534704608378,-0.023531143327245967,2.410928148734929
27,0.27618808767413405,0.20589684789367424,2.9753977059954195e-13,3.0212167208668487e-12,4.233650467237264e-13,8.486635235562397e-13
