layer,component,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,mean_w1_v_recovery,valid_pairs,model_name
0,mlp,-0.13112449425823902,0.19378532690991213,0.19732656045018634,0.05907356947233262,-0.4819001736453554,13,Qwen/Qwen2.5-1.5B-Instruct
0,attn,1.0729993836784812,0.7264438915847937,0.19644587783627718,1.5509717192357764,1.8025751544495563,13,Qwen/Qwen2.5-1.5B-Instruct
0,resid,1.6489133523824084,1.7289563827738497,0.1957672602593612,1.627529714885147,1.184586197499584,13,Qwen/Qwen2.5-1.5B-Instruct
1,mlp,-0.10662158802515838,-0.7144544970332456,0.1975751930250481,-0.12652169267057728,-0.010353734373632932,13,Qwen/Qwen2.5-1.5B-Instruct
1,attn,0.3250949199766565,0.7226924768171883,0.19719281842701097,0.400369494647204,-0.019814869544229365,13,Qwen/Qwen2.5-1.5B-Instruct
1,resid,1.3462385822304985,1.2190998635123296,0.1952888917796794,1.8470135960169185,2.706586248240056,13,Qwen/Qwen2.5-1.5B-Instruct
2,mlp,1.8267211117545326,1.5261243975833394,0.1955628117090586,2.1778863686647076,0.10844153778577807,13,Qwen/Qwen2.5-1.5B-Instruct
2,attn,1.6568212015865966,1.6856453835300989,0.19591798835511362,1.6284493138522058,2.4202789976500805,13,Qwen/Qwen2.5-1.5B-Instruct
2,resid,0.3482005885126799,0.20780911972899663,0.19704436787803664,0.9002978011943216,0.26690307979572975,13,Qwen/Qwen2.5-1.5B-Instruct
3,mlp,1.7379930002874941,1.4721073412515606,0.1960057560995544,1.9380555101935044,2.242341090473202,13,Qwen/Qwen2.5-1.5B-Instruct
3,attn,1.4376893746533597,1.6909161502815295,0.19447605661689554,1.4531238980809658,2.206780524524746,13,Qwen/Qwen2.5-1.5B-Instruct
3,resid,1.3903278800946515,1.5386339634804513,0.19473617837903887,1.9798314587796053,1.342277041233686,13,Qwen/Qwen2.5-1.5B-Instruct
4,mlp,0.6787405641216904,0.4369762660740406,0.1963686998956959,1.0959369874677725,0.429618313674194,13,Qwen/Qwen2.5-1.5B-Instruct
4,attn,1.2897404821374479,0.7009327306358504,0.1961880827549612,1.2692732206621422,-0.4887742102840204,13,Qwen/Qwen2.5-1.5B-Instruct
4,resid,1.3218675998395084,1.1330941881671275,0.19550710015281167,1.6894643477809428,1.4525711685807579,13,Qwen/Qwen2.5-1.5B-Instruct
5,mlp,1.326297605375168,1.5162346193707932,0.19633451855118336,1.36631523962359,2.0534572006672516,13,Qwen/Qwen2.5-1.5B-Instruct
5,attn,1.4318192287093274,1.1162429610349744,0.19517506644391294,1.3709781666301495,0.9678454486252718,13,Qwen/Qwen2.5-1.5B-Instruct
5,resid,2.272544740841344,1.634590299163985,0.19422280067356493,2.6684725482028675,2.987487543940126,13,Qwen/Qwen2.5-1.5B-Instruct
6,mlp,2.062910749414428,0.7248588441544412,0.19607929366474167,2.1363573344561515,-0.2329014809682112,13,Qwen/Qwen2.5-1.5B-Instruct
6,attn,1.5406023823457136,0.8399360979713721,0.1961570510847567,1.57542151525032,0.6869444281097935,13,Qwen/Qwen2.5-1.5B-Instruct
6,resid,1.9113016680026698,2.000209990531976,0.19499041465789926,2.6304620026672723,2.0305016795893303,13,Qwen/Qwen2.5-1.5B-Instruct
7,mlp,2.5653624121340517,2.2487374916659197,0.19326808761130232,2.590464364241497,3.0544435026934247,13,Qwen/Qwen2.5-1.5B-Instruct
7,attn,1.52558578408299,1.6758748748004981,0.1958925829164668,1.4339011376942268,2.31426844296313,13,Qwen/Qwen2.5-1.5B-Instruct
7,resid,0.859872468449825,1.2757688762215391,0.19605982486715318,1.446451290964331,1.5692360978498072,13,Qwen/Qwen2.5-1.5B-Instruct
8,mlp,0.5993276414977693,0.7380894997625398,0.19694441929488,0.9750582861486309,1.3633852760138347,13,Qwen/Qwen2.5-1.5B-Instruct
8,attn,1.5958431106250077,1.7359259344550293,0.19472625709554336,1.5143063109359338,3.2369632960386854,13,Qwen/Qwen2.5-1.5B-Instruct
8,resid,1.9428428567654195,2.1585120012556414,0.19360637755478766,2.409095526802408,2.025865168358335,13,Qwen/Qwen2.5-1.5B-Instruct
9,mlp,0.4364752797830073,0.6204761441678031,0.1973199499707696,0.2793159167499457,-0.6763991039540174,13,Qwen/Qwen2.5-1.5B-Instruct
9,attn,0.27052959791036024,1.7381818962778572,0.1972740036328455,0.1432073289782898,0.07985687353325317,13,Qwen/Qwen2.5-1.5B-Instruct
9,resid,1.2365405740373223,0.9326384065316162,0.19507930618338734,1.44494850088324,2.566557174002068,13,Qwen/Qwen2.5-1.5B-Instruct
10,mlp,2.3651795633598214,2.675406932650093,0.19287069648179458,2.683163396220889,3.748495776030413,13,Qwen/Qwen2.5-1.5B-Instruct
10,attn,1.503725896718398,1.6852907047885113,0.19477279415839407,1.4064004247501631,1.6048575961335867,13,Qwen/Qwen2.5-1.5B-Instruct
10,resid,2.2070166538706006,2.200225808834322,0.19290901241721028,2.564118400105925,2.94362605568507,13,Qwen/Qwen2.5-1.5B-Instruct
11,mlp,1.279795852302736,-0.3800093542237537,0.1971446554495077,1.7590120946635146,2.8425351420077485,13,Qwen/Qwen2.5-1.5B-Instruct
11,attn,-0.622689473902297,-0.30852396869489596,0.1987016211042357,-0.8685826478820043,-2.7535906472017686,13,Qwen/Qwen2.5-1.5B-Instruct
11,resid,1.9526060558617455,2.182741817899647,0.19353930032415007,2.2526620925352776,5.846826953542137,13,Qwen/Qwen2.5-1.5B-Instruct
12,mlp,1.284180415129615,0.828791396514561,0.1957599447728735,1.4433125445805874,3.8920871961747565,13,Qwen/Qwen2.5-1.5B-Instruct
12,attn,1.3816179169612615,1.805774660670001,0.19539920855821002,1.4071606934612957,0.9228486126962122,13,Qwen/Qwen2.5-1.5B-Instruct
12,resid,2.0533479005474904,2.327040529501323,0.19291355053387085,2.163525486852592,4.203866903856608,13,Qwen/Qwen2.5-1.5B-Instruct
13,mlp,1.1585132681480896,1.7448992577575262,0.19471822097180477,1.7970287962815463,2.036843083238551,13,Qwen/Qwen2.5-1.5B-Instruct
13,attn,0.7534850221129619,0.5172517503083673,0.19653748825112888,0.7947100187708244,-0.6752769904168369,13,Qwen/Qwen2.5-1.5B-Instruct
13,resid,0.8906685085796506,0.9192903191963198,0.19469419153567602,1.0750926280256783,2.9243768508090597,13,Qwen/Qwen2.5-1.5B-Instruct
14,mlp,-0.3907092706119792,-0.043445285485432805,0.198706243071401,-0.16540846366092354,-0.31576523068422846,13,Qwen/Qwen2.5-1.5B-Instruct
14,attn,1.135642247883914,1.2223186802662767,0.19589035190607043,1.3014378526024672,1.678325532760163,13,Qwen/Qwen2.5-1.5B-Instruct
14,resid,1.922312840657936,2.483624259677064,0.19211410163068712,1.869376524958337,3.806908149246089,13,Qwen/Qwen2.5-1.5B-Instruct
15,mlp,-1.9946320440681966,-0.8378246846691306,0.19816676470342104,-2.1253515675827432,-2.328964439422435,13,Qwen/Qwen2.5-1.5B-Instruct
15,attn,6.110972672414852,5.489920161099116,0.1791537452653098,6.007655099371065,9.743618419414078,13,Qwen/Qwen2.5-1.5B-Instruct
15,resid,7.295392771663037,5.663365076581273,0.17598082550186436,7.077944022313104,14.208116030936225,13,Qwen/Qwen2.5-1.5B-Instruct
16,mlp,4.838152849637919,8.469587330011418,0.18202624706651543,5.12895287956571,12.63904724697887,13,Qwen/Qwen2.5-1.5B-Instruct
16,attn,19.58554027082747,19.875423067903142,0.15586047466750477,19.773089552570873,38.58205313485373,13,Qwen/Qwen2.5-1.5B-Instruct
16,resid,27.716313470057102,32.1414489455368,0.13089671932533775,27.683654452977986,55.327071266115766,13,Qwen/Qwen2.5-1.5B-Instruct
17,mlp,14.445980792439919,17.624293624243613,0.1652296130806122,14.030209170404056,26.576087866907987,13,Qwen/Qwen2.5-1.5B-Instruct
17,attn,1.3147921599846835,-2.175949879178285,0.19650088535843538,1.1022636545116438,0.752057189684684,13,Qwen/Qwen2.5-1.5B-Instruct
17,resid,39.7912370098927,45.769598164912175,0.10444998910957229,40.05530959791234,74.56434237347503,13,Qwen/Qwen2.5-1.5B-Instruct
18,mlp,13.794953484494712,12.94458117791355,0.16776197072895147,14.116360070059535,24.678017997379655,13,Qwen/Qwen2.5-1.5B-Instruct
18,attn,-9.702273402919422,-8.044926656144025,0.2158970178389728,-9.869694401406829,-21.25122516883312,13,Qwen/Qwen2.5-1.5B-Instruct
18,resid,40.00971239528061,48.49493497198877,0.09971012668058474,39.51736610038882,78.53890514195118,13,Qwen/Qwen2.5-1.5B-Instruct
19,mlp,8.040222564761299,8.872148021884529,0.18180663664598432,8.308501495176927,13.378860330017758,13,Qwen/Qwen2.5-1.5B-Instruct
19,attn,1.0065548990102489,0.06368451123109908,0.19535699022876585,0.8344331222529499,-1.8815408710017634,13,Qwen/Qwen2.5-1.5B-Instruct
19,resid,40.33969102952529,46.34300476056894,0.0975082099515088,39.99741451593411,79.56426187976727,13,Qwen/Qwen2.5-1.5B-Instruct
20,mlp,7.599147068451978,14.373020007958448,0.16964537420789308,6.8574635757080395,20.716762938451847,13,Qwen/Qwen2.5-1.5B-Instruct
20,attn,-2.8534894409713423,-1.0233897502537337,0.20211178476457395,-3.5670374461590764,-2.9152522239708967,13,Qwen/Qwen2.5-1.5B-Instruct
20,resid,46.31151448159155,52.401625607199676,0.0893123720468539,46.53474605398152,84.31971047456076,13,Qwen/Qwen2.5-1.5B-Instruct
21,mlp,33.18761982491388,35.64693555892512,0.12212744418671373,33.743478061655516,60.7741164068498,13,Qwen/Qwen2.5-1.5B-Instruct
21,attn,2.2232178726145477,3.570213297994407,0.19250642428654915,2.005754432099871,2.425081751703476,13,Qwen/Qwen2.5-1.5B-Instruct
21,resid,46.843150124747716,50.98226205651785,0.0903187155928684,47.00591390310132,82.5290785707008,13,Qwen/Qwen2.5-1.5B-Instruct
22,mlp,17.80729517249922,20.197053789306253,0.15606447571973084,18.295137690274924,34.395346617586696,13,Qwen/Qwen2.5-1.5B-Instruct
22,attn,-15.128048540486969,-10.86908946232752,0.22255469665075156,-15.707868380652949,-25.856194343283008,13,Qwen/Qwen2.5-1.5B-Instruct
22,resid,45.06321025472548,51.39031080909855,0.09078809279586665,45.047346687505296,84.21680469055747,13,Qwen/Qwen2.5-1.5B-Instruct
23,mlp,10.434014482172218,19.873040659055064,0.16069915543151284,9.5922876263135,24.590954207309945,13,Qwen/Qwen2.5-1.5B-Instruct
23,attn,-3.2015621030556733,-2.900442360844502,0.20378894390775157,-3.0388712974445173,-5.631352982753408,13,Qwen/Qwen2.5-1.5B-Instruct
23,resid,47.48088693538426,51.3393429911203,0.08917844221061924,47.831939683073415,87.58405369327164,13,Qwen/Qwen2.5-1.5B-Instruct
24,mlp,20.788529121557563,16.432883289465206,0.1593520689938872,20.903175994546434,39.07477072857434,13,Qwen/Qwen2.5-1.5B-Instruct
24,attn,0.9421835579342304,0.7583717669879975,0.19734982066844212,0.9092653908885396,0.6239383315823238,13,Qwen/Qwen2.5-1.5B-Instruct
24,resid,47.74193454941483,48.742845305885176,0.0890383628915914,48.1097068561972,87.21944982047364,13,Qwen/Qwen2.5-1.5B-Instruct
25,mlp,14.092756377518375,17.315888878437956,0.1672408308546952,14.259547668008807,26.7123732184595,13,Qwen/Qwen2.5-1.5B-Instruct
25,attn,-0.5937887389543886,-0.0032765649490951176,0.1976369060316407,-0.8577773809712167,-0.18238803612186408,13,Qwen/Qwen2.5-1.5B-Instruct
25,resid,47.11680475076248,53.61015172937608,0.08896971408382494,47.323000647613775,86.7320200962871,13,Qwen/Qwen2.5-1.5B-Instruct
26,mlp,14.045122025431134,15.250787526863064,0.16648041570607183,13.883033616584639,23.649251555215624,13,Qwen/Qwen2.5-1.5B-Instruct
26,attn,-0.27931784644387514,-0.22450950298686934,0.19881974337563835,-0.3445099255966161,-1.7849634923199929,13,Qwen/Qwen2.5-1.5B-Instruct
26,resid,47.544066732593556,56.05153342980065,0.08859274854733147,47.892941773243116,87.15183756938812,13,Qwen/Qwen2.5-1.5B-Instruct
27,mlp,4.776322123293341,6.818889727575228,0.18408647112744267,4.637965826943737,11.136221107308408,13,Qwen/Qwen2.5-1.5B-Instruct
27,attn,-3.231415854419263,-3.5656494406998362,0.2065462636575049,-3.091863924840297,-8.059794406568916,13,Qwen/Qwen2.5-1.5B-Instruct
27,resid,50.256363581051765,51.83305738882975,0.08547853143438842,51.09615201986749,90.49092268593029,13,Qwen/Qwen2.5-1.5B-Instruct
