layer,component,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,mean_w1_v_recovery,valid_pairs,model_name
0,mlp,-80.3690560043719,0.0,0.14520383611263085,-80.42642129649545,1.7027514907824033,11,meta-llama/Llama-3.2-1B-Instruct
0,attn,-11.33466505087945,0.0,0.07819250754487618,-11.380010516539347,0.5908278551867235,11,meta-llama/Llama-3.2-1B-Instruct
0,resid,-36.18082666561081,0.0,0.10084515014109055,-33.93434677659191,12.877507548043935,11,meta-llama/Llama-3.2-1B-Instruct
1,mlp,-5.135318618946963,0.0,0.07802371347922793,-5.081399419672613,0.31425533238464975,11,meta-llama/Llama-3.2-1B-Instruct
1,attn,-2.7384845515368825,0.0,0.07286850756761404,-2.605871337664775,2.0745692686934074,11,meta-llama/Llama-3.2-1B-Instruct
1,resid,-32.796692407878695,0.0,0.10567350903109325,-31.391594835809926,2.9446525230194225,11,meta-llama/Llama-3.2-1B-Instruct
2,mlp,-3.723965437233527,0.0,0.07538013235677128,-3.6586471679407824,2.534773411207361,11,meta-llama/Llama-3.2-1B-Instruct
2,attn,-3.742158766618078,0.0,0.07436001947968454,-3.59314546556521,1.0625872939446084,11,meta-llama/Llama-3.2-1B-Instruct
2,resid,-32.391720244726336,0.0,0.0975394276348158,-29.325859739111355,16.501878405670922,11,meta-llama/Llama-3.2-1B-Instruct
3,mlp,-10.231480164529023,0.0,0.08011813368383953,-10.462511482068608,1.1116235553343983,11,meta-llama/Llama-3.2-1B-Instruct
3,attn,0.4085461466638876,0.0,0.073793842878681,0.30396931804855504,1.5826823700634178,11,meta-llama/Llama-3.2-1B-Instruct
3,resid,-26.926600156254217,0.0,0.09786437248759806,-24.382362236874435,14.19869521053001,11,meta-llama/Llama-3.2-1B-Instruct
4,mlp,-1.8841207125782924,0.0,0.07798952470482177,-1.6250884670707586,1.5084687172445572,11,meta-llama/Llama-3.2-1B-Instruct
4,attn,0.7267507550313579,0.0,0.0738688924693611,0.8093828400657522,0.6753672485773465,11,meta-llama/Llama-3.2-1B-Instruct
4,resid,-23.209432628577087,0.0,0.0981601426437609,-21.755383339654077,11.487972074845631,11,meta-llama/Llama-3.2-1B-Instruct
5,mlp,-5.375854587114974,0.0,0.0786333913428743,-4.69917981710134,0.3696027273643765,11,meta-llama/Llama-3.2-1B-Instruct
5,attn,-4.577315850965414,0.0,0.07376788333377116,-4.3065701737258815,0.00894306376770515,11,meta-llama/Llama-3.2-1B-Instruct
5,resid,-32.042654234486946,0.0,0.10041221748203087,-30.747832974155,4.7743734507320665,11,meta-llama/Llama-3.2-1B-Instruct
6,mlp,-6.473797656542843,0.0,0.07595779481204956,-6.292217699976131,1.5581073668723495,11,meta-llama/Llama-3.2-1B-Instruct
6,attn,-2.711924915812018,0.0,0.07344124286269975,-2.6305016899641296,0.9723183118788392,11,meta-llama/Llama-3.2-1B-Instruct
6,resid,-23.18282736394591,0.0,0.09117891804273172,-21.49279015570224,2.2303120186664858,11,meta-llama/Llama-3.2-1B-Instruct
7,mlp,-6.265417255021147,0.0,0.07663439663836676,-5.478245814569729,0.7351482438803569,11,meta-llama/Llama-3.2-1B-Instruct
7,attn,-3.067858028079673,0.0,0.0738377230013197,-2.24371562900234,0.44666146170056764,11,meta-llama/Llama-3.2-1B-Instruct
7,resid,-20.4712195628042,0.0,0.09123387863308649,-18.566462638887103,1.6073968439181434,11,meta-llama/Llama-3.2-1B-Instruct
8,mlp,-5.98716887595627,0.0,0.0744364369017146,-5.270085682184618,-0.0777346303047044,11,meta-llama/Llama-3.2-1B-Instruct
8,attn,-2.030636737385866,0.0,0.07309550159512199,-2.1877717528918197,0.8328852433592049,11,meta-llama/Llama-3.2-1B-Instruct
8,resid,-18.08241421130907,0.0,0.0865647147625305,-14.835251471242076,5.042532227848184,11,meta-llama/Llama-3.2-1B-Instruct
