alpha,r2_activation_mean,linear_cka,retrieval_accuracy_top1,aligned_median_dm,natural_median_dm,two_sample_auc,matched_cosine,unmatched_cosine
1e-05,0.4570793642518584,0.8256105558669314,0.8658536585365854,9.780928481565361,39.62907028198242,0.6232996323529412,0.9945956285953598,0.9806841716827489
0.0001,0.4571162625951329,0.8256165014887741,0.8658536585365854,9.778864008401339,39.62907028198242,0.6210018382352942,0.9945959846469868,0.9806848740339293
0.001,0.4574827623284618,0.8256755254064717,0.8658536585365854,9.758315604291493,39.62907028198242,0.6240349264705882,0.9945995216219428,0.9806918666682288
0.01,0.4609155111822905,0.8262250418831953,0.8658536585365854,9.56193343080868,39.62907028198242,0.6210018382352941,0.9946326878647193,0.9807588877746078
0.1,0.48139252223710755,0.8291717316264783,0.8658536585365854,8.302169561561795,39.62907028198242,0.6158547794117647,0.9948319747396572,0.9812470714896848
1.0,0.49613078935431937,0.8237219655160984,0.7560975609756098,4.9878775996837845,39.62907028198242,0.6363511029411765,0.9949750288103835,0.9829379245237468
10.0,0.3960887077362121,0.7827475907969725,0.36585365853658536,2.176990936936214,39.62907028198242,0.7125919117647059,0.993948256035882,0.9859635277853888
100.0,0.17224121956437144,0.6695482697777765,0.024390243902439025,0.678540665703385,39.62907028198242,0.7623161764705882,0.9913146142873485,0.9883731272540595
1000.0,0.0102881758451669,0.5766989678489722,0.012195121951219513,0.1608745958474462,39.62907028198242,0.7955882352941177,0.989182309317604,0.9887066311626117
10000.0,-0.024516214388296136,0.5617654645096628,0.012195121951219513,0.12374916060063945,39.62907028198242,0.7919117647058823,0.9887123486830274,0.9886610909339127
