pair_id,task,site_type,site_layer,impact,impact_va,impact_v,impact_a,delta_v,delta_a
P_rage-d1-v2,Reader,ReaderSite,6,1.8672271086190784,1.8672271086190784,1.5836065364750742,0.9893065312608535,1.5836065364750742,0.9893065312608535
P_rage-d1-v2,Self,ReaderSite,6,0.3008894590002587,0.3008894590002587,0.21383328766468335,0.21168323415892232,0.21383328766468335,0.21168323415892232
P_rage-d1-v2,Reader,SelfSite,14,0.019475480293140036,0.019475480293140036,0.019147468288159608,0.0035593244868104,-0.019147468288159608,-0.0035593244868104
P_rage-d1-v2,Self,SelfSite,14,0.050715059999499455,0.050715059999499455,0.046986488212944266,0.01908631017686968,-0.046986488212944266,-0.01908631017686968
P_rage-d2-v3,Reader,ReaderSite,6,1.6921008393800703,1.6921008393800703,1.3799090432199606,0.9793141901711175,1.3799090432199606,0.9793141901711175
P_rage-d2-v3,Self,ReaderSite,6,0.35866730824733395,0.35866730824733395,0.20018169235034078,0.2976063306671106,0.20018169235034078,0.2976063306671106
P_rage-d2-v3,Reader,SelfSite,14,0.011272516700838911,0.011272516700838911,0.011171287684797804,0.0015073036303867582,-0.011171287684797804,-0.0015073036303867582
P_rage-d2-v3,Self,SelfSite,14,0.017543399391123423,0.017543399391123423,0.016285964775121897,0.006522132591411989,-0.016285964775121897,-0.006522132591411989
P_rage-d3-v3,Reader,ReaderSite,6,1.849524952304262,1.849524952304262,1.6146282060112815,0.9020633600523156,1.6146282060112815,0.9020633600523156
P_rage-d3-v3,Self,ReaderSite,6,0.5245297845585034,0.5245297845585034,0.4452828266133375,0.277226801035229,0.4452828266133375,0.277226801035229
P_rage-d3-v3,Reader,SelfSite,14,0.028737736272256162,0.028737736272256162,0.02755005754866202,0.008176295929035238,-0.02755005754866202,-0.008176295929035238
P_rage-d3-v3,Self,SelfSite,14,0.029815860564755,0.029815860564755,0.028083028233978347,0.010016439807960076,-0.028083028233978347,-0.010016439807960076
P_rage-d3-v4,Reader,ReaderSite,6,1.0215042058708146,1.0215042058708146,0.8651280712957945,0.5431613598810046,0.8651280712957945,0.5431613598810046
P_rage-d3-v4,Self,ReaderSite,6,0.11491187966592933,0.11491187966592933,0.057079775845393144,0.09973283951536072,0.057079775845393144,0.09973283951536072
P_rage-d3-v4,Reader,SelfSite,14,0.016920895746707357,0.016920895746707357,0.014799368649114797,0.008203377381209354,-0.014799368649114797,-0.008203377381209354
P_rage-d3-v4,Self,SelfSite,14,0.028996007048844044,0.028996007048844044,0.02727723863322229,0.009834667118050255,-0.02727723863322229,-0.009834667118050255
P_grief-d1-v3,Reader,ReaderSite,6,1.786551192350575,1.786551192350575,1.5454415824120153,0.8963121544646748,1.5454415824120153,0.8963121544646748
P_grief-d1-v3,Self,ReaderSite,6,0.3750854020525659,0.3750854020525659,0.33408828376113586,0.17051122393107665,0.33408828376113586,0.17051122393107665
P_grief-d1-v3,Reader,SelfSite,14,0.0200039202236683,0.0200039202236683,0.019346551513316435,0.005086036655145065,-0.019346551513316435,-0.005086036655145065
P_grief-d1-v3,Self,SelfSite,14,0.009890653304893925,0.009890653304893925,0.009760589570032785,0.0015987226285307798,-0.009760589570032785,-0.0015987226285307798
