layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.0017895632561328867,0.0003921651802620528,-0.0014844503706270041,0.0006127353904468585,-0.00030511288550588256,-0.00022057021018480571
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0008191400309387383,-8.557934683358036e-05,0.0006924748642874595,5.248880869126541e-05,0.0001266651666512788,-0.00013806815552484578
1,1.0,0.0016426365443855163,-0.0005462283741453008,0.0017295721114740324,-0.00017771579199521667,-8.693556708851613e-05,-0.0003685125821500842
1,1.5,0.0027484675337345796,-0.00044457625369007103,0.001909652012924053,-0.0005596467141950404,0.0008388155208105266,0.00011507046050496933
2,-1.0,-0.002834877765826152,-0.0003076569567657487,-0.0034883207810491542,-3.2152619335851694e-05,0.0006534430152230022,-0.00027550433742989705
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.0016563480924547402,0.00040490050759612917,0.001453065179542833,0.00020019206140102727,0.00020328291291190725,0.0002047084461951019
2,1.0,0.003310913592523071,0.0003420046372975896,0.003277078027033096,0.00011821915452107691,3.3835565489975013e-05,0.00022378548277651272
2,1.5,0.0053129649384558485,0.0005334052674741385,0.00520466035352359,-0.00012306471994900925,0.00010830458493225892,0.0006564699874231477
3,-1.0,-0.001032819300639698,0.0033156520288292767,0.0006740371979929901,0.003940681025757699,-0.0017068564986326882,-0.0006250289969284219
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.0010673547773413182,-0.0018380649438580084,7.447179736941774e-05,-0.0020740217328045437,0.0009928829799719006,0.00023595678894653533
3,1.0,0.00238631629716946,-0.004066991418743861,0.0019809567734394204,-0.004262917988034455,0.00040535952373003947,0.0001959265692905946
3,1.5,0.004929469732804934,-0.006649345382234086,0.003443939447559413,-0.0071027713273361685,0.0014855302852455204,0.0004534259451020829
