layer,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015317377060112215,0.0023882696757841293,0.0015145097933121309,-0.00022908619770332234,0.0020039216632748735,-0.0012992805746749603,0.9109955053701533
2,0.003718731283348686,0.004529234645211003,0.003555157303816045,0.001090788202576282,0.004517623856023854,0.00032410055054535314,0.9745521645138382
3,0.0024736714616312855,0.0043170029428537746,0.0012111104100376209,-0.0021569103075435394,0.0035785344526278948,-0.0024146646930709287,0.8935623398580486
4,0.003096033523767004,0.003167738159184063,-0.00029135292840458404,0.0030822941214944436,0.0031320475890151828,0.00047417606993079703,0.055979929281126876
5,0.0014529576426832427,0.003297044290364024,-0.0014045883423812605,-0.00037177614215856924,-0.0020935559579218824,-0.0025470619355782848,0.8115121569306042
6,0.002904797685149371,0.0026572151703517927,-6.988996625173494e-05,-0.002903956780716007,0.001004737844469315,-0.002459937870239584,0.9163923183130279
7,0.006097195178861524,0.004781951205184833,-0.003324318202203441,-0.005111232487339144,-0.0029347781011668564,-0.0037754648489530577,0.9964647671074713
8,0.0026198570592129555,0.003803417033416679,0.0021115911305054033,-0.0015507526908823562,0.003252720439928858,-0.0019712409466509026,0.9960774260767079
9,0.003932579561952932,0.00472790544602597,0.003843488861488891,-0.000832331293837224,0.004420391071538343,-0.0016772694122370799,0.9888614977578463
10,0.003373405926747636,0.0026140352882515175,-0.003357215687881198,-0.00033010660650834023,-1.5936375642240652e-05,-0.002613986710018929,0.10392097149497964
11,0.004498708631422504,0.00021466199313694513,-0.004462585701671541,0.0005689536059047909,-9.263062634861513e-05,0.00019364745895515678,0.0
12,0.0041759114884358265,0.0011152786378266675,-0.00410784002567476,0.0007509241524379882,0.001113839744183225,5.6634479518707e-05,-0.9732983785702125
13,0.002140644668601358,0.0013310330985955106,-0.0006419466376812825,0.002042122452641152,-0.0011371075562351604,0.000691834890063856,0.7520434207645315
