stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v1,rq1_shared_decodability,gemma,base,reader,valence,emobank_linear_probe,peak_r2,0.3308321809515978,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,target_V_human_r2_reader
v1,rq1_shared_decodability,gemma,base,self,valence,emobank_linear_probe,peak_r2,0.3300645823114481,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,target_V_human_r2_self
v1,rq1_shared_decodability,gemma,base,reader_self,valence,emobank_linear_probe,peak_depth_distance,0.0,,,,,,,False,secondary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,"[""target_V_human_r2_reader"", ""target_V_human_r2_self""]"
v1,rq1_shared_decodability,gemma,base,reader,arousal,emobank_linear_probe,peak_r2,0.0434630143274694,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,target_A_human_r2_reader
v1,rq1_shared_decodability,gemma,base,self,arousal,emobank_linear_probe,peak_r2,0.044295321193433,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,target_A_human_r2_self
v1,rq1_shared_decodability,gemma,base,reader_self,arousal,emobank_linear_probe,peak_depth_distance,0.040000000000000036,,,,,,,False,secondary,v1/results/derived/v1_phase_a/gemma_base/e1_emobank_decodability.csv,"[""target_A_human_r2_reader"", ""target_A_human_r2_self""]"
v1,rq1_shared_decodability,gemma,instruct,reader,valence,emobank_linear_probe,peak_r2,0.3010477745239135,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,target_V_human_r2_reader
v1,rq1_shared_decodability,gemma,instruct,self,valence,emobank_linear_probe,peak_r2,0.3753453264236311,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,target_V_human_r2_self
v1,rq1_shared_decodability,gemma,instruct,reader_self,valence,emobank_linear_probe,peak_depth_distance,0.08000000000000007,,,,,,,False,secondary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,"[""target_V_human_r2_reader"", ""target_V_human_r2_self""]"
v1,rq1_shared_decodability,gemma,instruct,reader,arousal,emobank_linear_probe,peak_r2,0.0937651131560075,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,target_A_human_r2_reader
v1,rq1_shared_decodability,gemma,instruct,self,arousal,emobank_linear_probe,peak_r2,0.0882090064576511,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,target_A_human_r2_self
v1,rq1_shared_decodability,gemma,instruct,reader_self,arousal,emobank_linear_probe,peak_depth_distance,0.36,,,,,,,False,secondary,v1/results/derived/v1_phase_a/gemma_instruct/e1_emobank_decodability.csv,"[""target_A_human_r2_reader"", ""target_A_human_r2_self""]"
v1,rq1_shared_decodability,llama,base,reader,valence,emobank_linear_probe,peak_r2,0.2394872200627035,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,target_V_human_r2_reader
v1,rq1_shared_decodability,llama,base,self,valence,emobank_linear_probe,peak_r2,0.2430379170331387,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,target_V_human_r2_self
v1,rq1_shared_decodability,llama,base,reader_self,valence,emobank_linear_probe,peak_depth_distance,0.19999999999999996,,,,,,,False,secondary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,"[""target_V_human_r2_reader"", ""target_V_human_r2_self""]"
v1,rq1_shared_decodability,llama,base,reader,arousal,emobank_linear_probe,peak_r2,0.0678100967334464,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,target_A_human_r2_reader
v1,rq1_shared_decodability,llama,base,self,arousal,emobank_linear_probe,peak_r2,0.0652386362305674,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,target_A_human_r2_self
v1,rq1_shared_decodability,llama,base,reader_self,arousal,emobank_linear_probe,peak_depth_distance,0.0,,,,,,,False,secondary,v1/results/derived/v1_phase_a/llama_base/e1_emobank_decodability.csv,"[""target_A_human_r2_reader"", ""target_A_human_r2_self""]"
v1,rq1_shared_decodability,llama,instruct,reader,valence,emobank_linear_probe,peak_r2,0.3166373389253061,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_instruct/e1_emobank_decodability.csv,target_V_human_r2_reader
v1,rq1_shared_decodability,llama,instruct,self,valence,emobank_linear_probe,peak_r2,0.3547857533618066,,,,,,1000.0,True,primary,v1/results/derived/v1_phase_a/llama_instruct/e1_emobank_decodability.csv,target_V_human_r2_self
