pair_id,token_jaccard,relative_edit_distance,net_cue_aff,net_cue_neu,cue_difference,ppl_aff,ppl_neu,ppl_ratio
P_rage-d1-v1,0.3978494623655914,0.535181236673774,0,0,0,20.073415428862575,22.787282227926354,0.8809042845556125
P_rage-d1-v2,0.3655913978494624,0.4521575984990619,0,0,0,18.547200142258642,26.184658180578317,0.7083231450274315
P_rage-d1-v3,0.3177570093457944,0.6412078152753108,0,0,0,15.043013409733359,17.677619999842648,0.850963679437819
P_rage-d1-v4,0.22018348623853212,0.6353591160220995,0,0,0,14.195648939093283,15.330368779677356,0.9259821611029689
P_rage-d2-v1,0.3333333333333333,0.5738636363636364,0,0,0,24.3939284805291,27.760426459069862,0.8787302903204806
P_rage-d2-v2,0.2604166666666667,0.6060070671378092,0,0,0,11.535987825484987,15.264373205969378,0.7557458740086217
P_rage-d2-v3,0.2871287128712871,0.6057046979865772,0,0,0,15.057064834933312,22.073551790962263,0.682131461913926
P_rage-d2-v4,0.2872340425531915,0.572992700729927,0,0,0,17.29733287391081,15.26417304522235,1.133198090028647
P_rage-d3-v1,0.27722772277227725,0.5706618962432916,0,1,-1,14.873128260530326,18.14150954685456,0.8198395730122419
P_rage-d3-v2,0.23529411764705882,0.6049149338374291,0,0,0,15.319155550262913,16.568984579524837,0.924568102056507
P_rage-d3-v3,0.2558139534883721,0.576271186440678,0,0,0,12.895738719476627,16.650006270497475,0.7745185038043123
P_rage-d3-v4,0.21428571428571427,0.6768953068592057,0,0,0,6.731937378138766,14.194081999094296,0.47427772393386186
P_grief-d1-v1,0.375,0.4570815450643777,1,0,1,13.734222213129561,13.177797568160793,1.0422243246541314
P_grief-d1-v2,0.26373626373626374,0.5477272727272727,0,0,0,14.734817099124184,10.19792800288549,1.4448832792378716
P_grief-d1-v3,0.2872340425531915,0.627906976744186,0,0,0,13.179434564182458,11.041384369459971,1.1936395772070638
P_grief-d1-v4,0.29347826086956524,0.5266272189349113,0,0,0,9.974645705895831,12.827128077560019,0.7776210596762165
P_grief-d2-v1,0.4019607843137255,0.5403377110694184,0,0,0,18.406401418848812,16.005021051176993,1.1500391164718966
P_grief-d2-v2,0.43010752688172044,0.5114068441064639,0,0,0,13.186629073470375,12.118833761640694,1.0881103119921671
P_grief-d2-v3,0.39361702127659576,0.5028901734104047,0,0,0,16.328639481326015,18.229907884037917,0.8957060391905386
P_grief-d2-v4,0.5168539325842697,0.4540540540540541,0,0,0,13.003693974847822,16.419850531142238,0.7919495465707921
P_grief-d3-v1,0.3541666666666667,0.5752895752895753,0,0,0,20.513688906948587,11.780141226924659,1.7413787127342624
P_grief-d3-v2,0.44047619047619047,0.5666666666666667,1,0,1,13.450469921082767,14.270837871689515,0.942514314821801
P_grief-d3-v3,0.4069767441860465,0.4827586206896552,0,0,0,17.92956463473871,13.82165325296908,1.2972083013064226
P_grief-d3-v4,0.22448979591836735,0.6331967213114754,0,1,-1,17.220578596981014,13.90703780722551,1.2382635035169334
P_terror-d1-v1,0.4358974358974359,0.41487279843444225,0,0,0,12.868489842121665,11.982486449767341,1.0739414412966088
P_terror-d1-v2,0.3402061855670103,0.6302681992337165,0,0,0,12.462027777021678,15.474259132075302,0.8053391677958277
P_terror-d1-v3,0.391304347826087,0.5274102079395085,0,0,0,12.97913474076126,12.152231523195162,1.068045292582065
P_terror-d1-v4,0.30392156862745096,0.5895652173913043,0,0,0,12.1623473702394,12.281845614106103,0.9902702543337861
P_terror-d2-v1,0.20353982300884957,0.6494156928213689,0,0,0,14.357764916157697,21.972779919958644,0.6534341269072609
P_terror-d2-v2,0.29464285714285715,0.6243739565943238,0,0,0,13.502402104760176,15.117917539555407,0.8931389641657151
P_terror-d2-v3,0.37383177570093457,0.5335515548281505,0,0,0,10.413518723781591,11.817766270951923,0.8811748010453738
P_terror-d2-v4,0.19827586206896552,0.6900175131348512,0,0,0,9.756605714849545,14.312643434911976,0.6816773629232933
P_terror-d3-v1,0.37254901960784315,0.6133768352365416,0,0,0,9.378394304928554,15.942764025747543,0.5882539377443285
P_terror-d3-v2,0.18421052631578946,0.6380165289256199,0,0,0,20.920275197554503,14.422869924661603,1.4504931304476294
P_terror-d3-v3,0.34579439252336447,0.5438311688311688,0,0,0,8.330030239885543,10.14238913324595,0.8213084026989226
P_terror-d3-v4,0.25,0.6153846153846154,0,0,0,16.321084817461287,21.159156927338863,0.7713485042036335
P_ecstasy-d1-v1,0.2543859649122807,0.6506410256410257,0,0,0,8.380065111063013,10.357971280809574,0.8090449446933673
P_ecstasy-d1-v2,0.2222222222222222,0.6487804878048781,0,0,0,11.970916093927812,14.139816517028665,0.846610366754109
P_ecstasy-d1-v3,0.19230769230769232,0.662015503875969,0,0,0,12.553035887029399,15.590457688293707,0.8051742503544815
P_ecstasy-d1-v4,0.1724137931034483,0.6818181818181818,0,0,0,14.401558990170802,16.50803633475731,0.8723968027288522
P_ecstasy-d2-v1,0.15,0.7025641025641025,0,0,0,10.679512012857101,11.23163724811739,0.9508418787123211
P_ecstasy-d2-v2,0.24369747899159663,0.6672025723472669,1,0,1,12.39662903250399,12.226072909389744,1.01395011386143
P_ecstasy-d2-v3,0.19469026548672566,0.671118530884808,0,0,0,8.037224366570687,7.822757509487395,1.0274156305378965
P_ecstasy-d2-v4,0.23853211009174313,0.7057851239669422,0,0,0,8.213169300355275,18.31395077629755,0.4484651592773657
P_ecstasy-d3-v1,0.13934426229508196,0.6956521739130435,0,1,-1,11.733358757543094,13.206841201621152,0.8884302983572268
P_ecstasy-d3-v2,0.17796610169491525,0.6467661691542289,0,0,0,15.058202871167488,14.476209398512623,1.0402033720589376
P_ecstasy-d3-v3,0.23853211009174313,0.6555555555555556,0,1,-1,10.859570017661246,15.934122778139306,0.6815291614942736
P_ecstasy-d3-v4,0.22764227642276422,0.6599131693198264,0,0,0,13.333276325671656,17.671067397995706,0.7545257607165363
P_loathing-d1-v1,0.19090909090909092,0.6534653465346535,0,0,0,22.747878830888165,28.385138798682146,0.8014009792526826
