layer,relative_depth,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity,mean_pairwise_directional_cosine,discovery_mag_self,discovery_mag_reader,confirmation_mag_self,confirmation_mag_reader
0,0.0,0.001981018320662744,0.003548226160193507,0.00187758387390675,-0.0006317534196557695,0.003298161963033642,-0.0013084481455065897,0.9985903284834913,0.3524744184916772,0.007706256116799729,0.010455391794517979,0.00798732871595841,0.008400762516960073
1,0.037037037037037035,0.003388687259395148,0.0028217622839823903,0.0024085401142470244,-0.002383723108930635,0.0008396248304786644,-0.0026939511004005234,0.8830623144469023,0.2906200686486878,0.009297608164416597,0.010412295568439228,0.009563288106861877,0.01051190242363031
2,0.07407407407407407,0.0010411104373676773,0.0049179401657991895,-5.28964093018669e-05,-0.001039765797032623,-0.002974630133361573,-0.003916338984827318,0.8260399248024755,0.18738151355403612,0.010087530126381633,0.013430014402409401,0.010023629907145682,0.012513653944577319
3,0.1111111111111111,0.001729771720173844,0.002007935482611504,0.001299787886685,0.0011413420405558192,8.096803195844123e-05,-0.0020063023401598948,-0.6289853455360543,0.3130695457136663,0.01189307950420468,0.013105806447251333,0.01083567917255829,0.013923155935378975
4,0.14814814814814814,0.003544328828319279,0.0034973854855216984,0.0034810448659352657,0.0006667784374144378,0.0032233374335374626,-0.0013571297004685914,0.8321856865264048,0.30046886390662647,0.010926376027063036,0.012778300616772218,0.01007373365924096,0.012163349857034642
5,0.18518518518518517,0.003089132861929012,0.0019226593260231206,0.0030844035728457516,-0.00017086965343820573,0.0012673546420132558,-0.001445832319223475,0.699753673181641,0.3166026625750665,0.011496493149675989,0.011688815405776954,0.009490177155146952,0.011263825619491824
6,0.2222222222222222,0.003376944391377868,0.0005960961943390246,0.00305856217221701,0.0014314156842586297,-7.963314238554342e-05,-0.00059075310878511,-0.5410755100944487,0.13775121095616774,0.010883042485978281,0.01105957913861236,0.010033012533658429,0.011150900654688739
7,0.25925925925925924,0.004216204265920055,0.0006119215887672993,0.00402733037512749,0.0012477934370471525,4.685236815937799e-05,-0.0006101253038494255,-0.22194705429699305,0.1543478420920847,0.010303159349451432,0.010863631639971979,0.010106456459062555,0.00969047478854577
8,0.2962962962962963,0.005090867863902104,0.002294437997961647,0.005063093536074491,-0.000531055037328416,0.0019249302087947136,-0.0012486350218377633,0.891146321876602,0.2966526720269321,0.011150076708100455,0.011047545530533304,0.010655249717402305,0.010032212413638842
9,0.3333333333333333,0.005945819928073174,0.004388966835227102,0.005388253109026149,0.0025138621780324624,0.004378746132152565,0.0002993529536890425,0.9329521187075944,0.26001109526281824,0.011191282110825743,0.01277566578056326,0.010918215521988668,0.009447841344437836
