r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,is_held_out,layer,relative_depth,target
-2.3644255108817416,-2.2089032374110764,-2.707519576338851,-2.8978746851032104,0.0,0.9892529980580071,-2.3055898760181206,Operational: Alignable Geometry,True,0,0.0,Valence_human
-3.792799638511072,-2.9072212572715,-3.8019859598850525,-3.4136609583140602,0.0,0.9892529980580071,-3.0265945841586044,Operational: Alignable Geometry,True,0,0.0,Arousal_human
-1.7768821464101707,-1.6359593589980705,-1.7929100719107591,-1.9515608225242347,0.0,0.9925716082743676,-1.5892091358565064,Operational: Alignable Geometry,True,1,0.06666666666666667,Valence_human
-2.680375053706871,-2.916131284178483,-3.1611749572547607,-3.4414700657538058,0.0,0.9925716082743676,-2.965127392920223,Operational: Alignable Geometry,True,1,0.06666666666666667,Arousal_human
-1.2617533486458017,-1.1759691059337336,-1.5272698295057339,-1.3496258520877609,0.0,0.9904583814098041,-1.4087675495207992,Operational: Alignable Geometry,True,2,0.13333333333333333,Valence_human
-2.0145724413659343,-1.9104606111778697,-2.5051288920411774,-2.279438448828909,0.0,0.9904583814098041,-2.113958343000479,Operational: Alignable Geometry,True,2,0.13333333333333333,Arousal_human
-1.534273767819347,-1.350668752964621,-1.8960917886873778,-1.5511103839452094,0.0,0.9884830232434375,-1.503898369739316,Operational: Alignable Geometry,True,3,0.2,Valence_human
-1.5426002577309657,-1.2511378411732514,-1.7909539886914865,-1.6248750649649044,0.0,0.9884830232434375,-1.4342497901261817,Operational: Alignable Geometry,True,3,0.2,Arousal_human
-1.2044611729329588,-1.1837726218754074,-1.751988416030922,-1.6442085857183697,0.0,0.9802146533799105,-1.3080559770919415,Operational: Alignable Geometry,True,4,0.26666666666666666,Valence_human
-1.585343673988472,-1.5427101836717578,-2.22530795411985,-1.903366436425003,0.0,0.9802146533799105,-1.7795027204413496,Operational: Alignable Geometry,True,4,0.26666666666666666,Arousal_human
