layer,relative_depth,pair_id,eval_split,shift_V_self,shift_A_self,magnitude_self,shift_V_reader,shift_A_reader,magnitude_reader,pairwise_cos
0,0.0,P_rage-d1-v1,discovery,-0.6503822891920041,-0.5806675324842221,0.8718783776284091,,,,
0,0.0,P_rage-d1-v2,confirmation,0.0916452432681707,0.14356377995769432,0.17032148874825942,-0.2750379582924687,-0.10944520316687889,0.29601373447515766,-0.811588986058519
0,0.0,P_rage-d1-v3,discovery,-0.6747346666891025,-0.6680198450238901,0.9494826927215664,-0.8294984662712457,-0.8304323379027401,1.1737485136863688,0.9999845246845889
0,0.0,P_rage-d1-v4,discovery,,,,-0.0038032876067628507,0.1889348822640593,0.18897315876270288,
0,0.0,P_rage-d2-v1,discovery,,,,,,,
0,0.0,P_rage-d2-v2,discovery,,,,,,,
0,0.0,P_rage-d2-v3,confirmation,-0.11160129754586778,-0.09944463542597459,0.14947938028011193,-0.25655232702472563,-0.16480974786143365,0.30492843339372455,0.9877251189500729
0,0.0,P_rage-d2-v4,discovery,,,,,,,
0,0.0,P_rage-d3-v1,discovery,,,,,,,
0,0.0,P_rage-d3-v2,discovery,,,,,,,
0,0.0,P_rage-d3-v3,confirmation,0.04212843503459762,0.06983873160908916,0.08156134789979075,0.12695664202642476,0.11062606584490009,0.16839274152690173,0.951954716617875
0,0.0,P_rage-d3-v4,confirmation,-0.0149141851299186,-0.015730192123820874,0.02167652791250945,,,,
0,0.0,P_grief-d1-v1,discovery,,,,,,,
0,0.0,P_grief-d1-v2,discovery,-0.09697105839254427,-0.11326858821819585,0.14910787786939175,-0.2581528538856175,-0.19317775804600212,0.3224291273644004,0.9758220719712046
0,0.0,P_grief-d1-v3,confirmation,-0.05085239793655827,0.008209791786806253,0.0515108440726881,-0.1687823650561624,-0.07795896101406319,0.1859168802350768,0.8294017532552167
0,0.0,P_grief-d1-v4,confirmation,0.8427029223938218,-0.7904087681125671,1.1553762314156863,0.5544165646933275,0.34839838261174005,0.6547970374190974,0.2535650467280539
0,0.0,P_grief-d2-v1,confirmation,,,,,,,
0,0.0,P_grief-d2-v2,confirmation,0.14360462525766948,-0.2299950980977239,0.2711457791380447,,,,
0,0.0,P_grief-d2-v3,confirmation,-0.46606032042805845,-0.2026563861666668,0.5082143574631061,-0.7806509445278036,-0.7012396356714854,1.0493583390952919,0.9487007182989681
0,0.0,P_grief-d2-v4,confirmation,0.5183582569686283,0.46411745619608613,0.6957731639790948,0.715303128864849,0.4749015830446024,0.8585977403546508,0.9896284232213706
0,0.0,P_grief-d3-v1,discovery,0.06399653454330423,0.04455237051138683,0.0779773694845897,,,,
0,0.0,P_grief-d3-v2,confirmation,,,,,,,
0,0.0,P_grief-d3-v3,confirmation,,,,,,,
0,0.0,P_grief-d3-v4,confirmation,,,,,,,
0,0.0,P_terror-d1-v1,discovery,0.2048032901909056,-0.013423433005293361,0.2052427251491947,,,,
0,0.0,P_terror-d1-v2,discovery,-0.15180949027217627,-0.14029767388566228,0.20671129295330148,-0.16146652848985799,-0.20202798535295763,0.25862472172694745,0.9886936874132738
0,0.0,P_terror-d1-v3,confirmation,,,,,,,
0,0.0,P_terror-d1-v4,discovery,0.15966286464452217,-0.14514480583299694,0.21577591387083356,0.5040099528825657,-0.005421791727620029,0.5040391139884124,0.747140410353228
0,0.0,P_terror-d2-v1,discovery,,,,,,,
0,0.0,P_terror-d2-v2,discovery,,,,,,,
0,0.0,P_terror-d2-v3,confirmation,,,,,,,
0,0.0,P_terror-d2-v4,confirmation,,,,,,,
