layer,component,mean_delta_v,mean_delta_a,mean_entropy,mean_p55
10,res,-0.10818142315954955,-0.06776743321697871,3.449194212969957,0.007945662098130973
10,attn,-0.05718997905618487,0.005375292415888641,3.394661464074853,0.007018451471388787
10,mlp,-0.091199995305068,-0.08093004162732648,3.3936790943344937,0.006966391052462721
11,res,-0.04426200838229657,-0.027018408097933256,3.3555315658848266,0.006556517121968774
11,attn,0.007246914418326611,-0.048748406542780134,3.315305393608371,0.006090640909677787
11,mlp,0.025623702801357343,0.015212985794917063,3.3567833355232297,0.006103761377962974
12,res,-0.06238847572609017,-0.05712742920831858,3.3570789090946147,0.006576863621807149
12,attn,-0.005628782573664592,0.0026071828133237347,3.400383357467962,0.0069563292744113416
12,mlp,-0.05203414099364679,-0.018065310533052412,3.4107893418537403,0.00741491098147202
13,res,-0.08434291208176864,-0.039291268188076614,3.3909390983469465,0.007030628079687417
13,attn,-0.022311605037347273,-0.01292923112044786,3.4191689630456783,0.007119504734816146
13,mlp,-0.024265760976095126,-0.045583819208057604,3.43152798041629,0.0073414679868479
14,res,-0.06568566363311008,-0.04293405527817059,3.4191060340867447,0.007404788359400807
14,attn,0.020758065715657623,0.0016070581878693555,3.383216080799654,0.0067091062010701166
14,mlp,-0.026215922825762482,0.0018981206725762275,3.399108491310768,0.0071517733537459615
15,res,-0.09437520952093799,-0.00569130002180717,3.4414134405724823,0.007596522806080834
15,attn,-0.002936887763440188,0.05400095178068501,3.427125356167649,0.007108459297357301
15,mlp,-0.010372789904022017,-0.006040500133861526,3.4001062155112582,0.006860252134233749
16,res,-0.09397153219498193,-0.022104216831847844,3.4747138487059663,0.007600985126435475
16,attn,-0.0034029188629074005,-0.008825486809022303,3.401547943429039,0.006798326079785511
16,mlp,-0.010590186799714447,0.011158535744973467,3.4019741933688583,0.006692831467178245
17,res,-0.03834013475411234,0.02429545094889507,3.492603227080779,0.007440138107403442
17,attn,-0.02058218641622053,-0.016469280245814236,3.4095118886754148,0.006954565463104048
17,mlp,-0.025947396453939914,-0.0021150878430242917,3.444800071989819,0.007195909394067056
18,res,-0.012252442502830856,0.04055646115126746,3.4913062002572213,0.00772006543981757
18,attn,0.00708980155884209,-0.00016334691851495423,3.3997466566026846,0.007000177290649875
18,mlp,-0.024733684780234483,0.040901998813089174,3.4755572515126683,0.007576479472870375
19,res,0.0048739203302843315,0.007961003356940062,3.406393607015229,0.006988511548274993
19,attn,-0.00037438766419747675,0.00014506587514355,3.396914799624187,0.006834663034032822
19,mlp,-9.868387267353284e-08,-0.003088087146090442,3.4012464432601037,0.006912015957930556
20,res,0.0023360357282004992,0.011931724498262438,3.4085094775939595,0.006944668555353644
20,attn,0.00032411288857977876,0.0003705299809019902,3.3974838404553696,0.0068385489469186276
20,mlp,-0.0010746082413214916,0.004684967194358247,3.4006281310174966,0.006884660847691365
21,res,-0.0013310522580008458,0.006737692073010389,3.4037876066666013,0.006933442511055808
21,attn,0.000635274704108942,0.001454268223930629,3.399352657093297,0.006865584295410928
21,mlp,-0.0005056320885633347,-0.0009067417990053765,3.3979125313992977,0.00689474837909945
22,res,0.0005195761009609316,0.007693799656821169,3.403541008898876,0.006929453132851237
22,attn,-0.0017865568163157577,-0.0016929540354173008,3.398002291878873,0.006884661565114065
22,mlp,-0.002006282419325093,0.0024257424142958652,3.399732892328295,0.006890286014759066
23,res,-0.00041130098875757546,0.002816610760622155,3.400294204693682,0.006857495122451545
23,attn,2.385220108935826e-06,0.0008845964604401531,3.397875081393931,0.006858163127910316
23,mlp,-0.0010757796850407195,-0.0001713626511330298,3.3994130581145003,0.00687655452506081
24,res,0.0011689746093067684,-0.00021659977084595994,3.4008323519338495,0.006848884350250708
24,attn,5.1019121493330506e-05,-0.0001391978525117151,3.3969681976078614,0.0068585327652084475
24,mlp,6.803219181548137e-05,-7.61602876459359e-05,3.3968207980726035,0.006853421262334653
25,res,0.0003889538890058238,-0.0003256499448676712,3.398391291391887,0.0068803408042832255
25,attn,-0.001920657382217487,0.0005331061398964702,3.398250894555329,0.0068421607648126905
25,mlp,0.0008445181790860771,0.002415097648840255,3.3979780565334057,0.0069278030982606095
26,res,-0.0003842619770559885,-0.0014626668100459058,3.3980989285452563,0.006884617878320997
26,attn,-0.0008229595451998862,0.0003847947150310708,3.3974075104155435,0.006834873182106206
26,mlp,-0.00042393074535946874,-0.0005833575729510117,3.3975088106968476,0.006845775065929367
27,res,0.0,0.0,3.39766228537644,0.006854338641559767
27,attn,0.0,0.0,3.39766228537644,0.006854338641559767
27,mlp,0.0,0.0,3.39766228537644,0.006854338641559767
