layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.0013562420978238839,-0.0004394894562361751,-0.0004252188880928103,0.00015349186240198182,-0.0009310232097310737,-0.0005929813186381569
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0004233143582531758,0.00011375349091451159,2.1614790004833204e-07,-0.0001543073776951731,0.0004230982103531275,0.0002680608686096847
1,1.0,0.0006677051114810859,0.00029105652945061084,-0.000213990659978687,-7.726373000174296e-05,0.0008816957714597728,0.0003683202594523538
1,1.5,0.0004991634435854084,0.00032823336685750226,-1.0018144912996482e-05,-6.479247065867277e-05,0.0005091815884984049,0.00039302583751617504
2,-1.0,0.0017260403318008026,0.0001315941710071077,0.0018311492003127774,0.00043012658918458135,-0.00010510886851197482,-0.00029853241817747367
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,-0.001171633008085556,-9.710215923162957e-05,-0.001052765353441315,-8.96292552571958e-05,-0.00011886765464424087,-7.472903974433773e-06
2,1.0,-0.0027526711812543548,-0.00029187062588875945,-0.002103769154992337,-0.0005248700564287936,-0.000648902026262018,0.00023299943054003414
2,1.5,-0.0036858367897033956,-0.00023891208979712197,-0.0033024170979219225,-0.0005204659001577192,-0.0003834196917814731,0.00028155381036059724
