model,family,alignment,human_corr_reader_v_r,sensitivity_reader_v_delta,dose_response_reader_v_p_iut,specificity_reader_v_diff,coupling_v_delta_r
gemma_base,gemma,base,-0.0039834970073383,-0.0053570085119536,0.9462881999381848,-0.0325705783845865,0.8133539610738367
gemma_instruct,gemma,instruct,-0.0115562255929583,0.000407874823206,0.2742664940612641,-0.0894336290013533,0.6207853532497536
llama_base,llama,base,0.1292948566442626,0.0011241058756226,0.8722767086357073,-0.0057117351766394,0.6615225589583738
llama_instruct,llama,instruct,0.0982570983395305,0.0005263977616673,0.9881877763339312,0.0031418625131884,0.7559104694115304
olmo_base,olmo,base,0.0152437187821361,-0.0061784428743594,0.9120214742588754,0.0110534343707431,0.5592606909316151
olmo_instruct,olmo,instruct,0.3377114137392206,0.007523176923906,0.1450578081597334,-0.005381453316469,0.8513781024805616
qwen_base,qwen,base,0.4716186511569123,0.0046481836812667,0.8090178663682306,-0.0001654588787541,0.8089143752445036
qwen_instruct,qwen,instruct,0.587331916087343,0.0224368232472108,0.7950778224749118,0.0223143382205599,0.8919767556186255
