stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v2,rq2_sharing_reorganization,olmo,instruct_vs_base,reader_self,arousal,matched_plain,mean_delta_sharing,-0.38173753138697947,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,mean_delta_sharing
v2,rq2_sharing_reorganization,olmo,instruct_native_vs_plain,reader_self,arousal,format_effect,format_delta_sharing,-0.26690227342160017,,,,,,,False,secondary,v2/results/derived/v2_cross_family_summary.json,mean_delta_sharing_format
v2,rq3_causal_relocation,olmo,base,reader,valence,base_plain_reader,mean_c_net_rand,-2.4053585295464366e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,base,reader,arousal,base_plain_reader,mean_c_net_rand,1.0854397131556503e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,base,reader,valence,base_reader,mean_c_net_rand,-2.4053585295464366e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,base,reader,arousal,base_reader,mean_c_net_rand,1.0854397131556503e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,base,self,valence,base_plain_self,mean_c_net_rand,-1.2530168302931355e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,base,self,arousal,base_plain_self,mean_c_net_rand,9.777813369980017e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,base,self,valence,base_self,mean_c_net_rand,-1.2530168302931355e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,base,self,arousal,base_self,mean_c_net_rand,9.777813369980017e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,instruct,reader,valence,inst_matched_plain_reader,mean_c_net_rand,-3.3720787736963355e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,instruct,reader,arousal,inst_matched_plain_reader,mean_c_net_rand,-4.20748588196035e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,instruct,reader,valence,inst_matched_reader,mean_c_net_rand,-3.3720787736963355e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,instruct,reader,arousal,inst_matched_reader,mean_c_net_rand,-4.20748588196035e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,instruct,self,valence,inst_matched_plain_self,mean_c_net_rand,-2.2450143078870383e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,instruct,self,arousal,inst_matched_plain_self,mean_c_net_rand,1.0376773706135767e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,olmo,instruct,self,valence,inst_matched_self,mean_c_net_rand,-2.2450143078870383e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,olmo,instruct,self,arousal,inst_matched_self,mean_c_net_rand,1.0376773706135767e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
