layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,0.0652408712923054,0.4374818328210315,-0.11122724700153756,0.36528139367275997,0.17646811829384296,0.07220043914827151
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.14926255956550744,0.26419532119629063,0.2161342469253951,0.23328419321412283,-0.06687168735988766,0.030911127982167802
0,1.0,-0.08824930210840091,0.29566515099141694,-0.15084878862507475,0.21251671474142517,0.06259948651667384,0.08314843624999177
0,1.5,-0.3796615301000867,0.11472166227087105,-0.39249520366661894,0.0537409939036963,0.012833673566532255,0.06098066836717475
1,-1.0,0.03445732034656154,0.22321687937677961,0.014790866559459251,0.21265293038125735,0.019666453787102293,0.010563948995522265
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1321120538963421,0.08746115283674422,0.12603488732194204,0.08149267835253322,0.00607716657440005,0.005968474484210992
1,1.0,0.013412230774907144,0.12659519539077901,-0.17178944765646165,0.06527138929947045,0.18520167843136878,0.061323806091308566
1,1.5,-0.18049303705556963,0.0614715310701674,-0.33910485219103115,0.0014543964266469644,0.15861181513546152,0.06001713464352044
2,-1.0,-0.19280067924212585,0.02735675733006988,-0.16237318157897576,0.0018469878278400108,-0.030427497663150088,0.02550976950222987
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.017854028305970618,0.09176590839299563,-0.10304857097620873,0.016408023641776768,0.12090259928217935,0.07535788475121886
2,1.0,-0.18703884150947003,0.11258570623121496,-0.22633475376714962,0.03542822266733158,0.03929591225767959,0.07715748356388338
2,1.5,-0.23223236794753746,0.07538139835452694,-0.32658781248421853,0.007593434596664191,0.09435544453668107,0.06778796375786275
3,-1.0,-0.010971399875824009,-0.0038596504574033483,-0.047722399132733025,-2.5498927172756352e-05,0.036750999256909014,-0.003834151530230592
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,-0.010705028995035967,0.015489601257080337,-0.12760867728357053,-0.04372207593940303,0.11690364828853457,0.05921167719648336
3,1.0,-0.12084800771719088,-0.016792669414690643,-0.2267160754865226,-0.060879427379192635,0.1058680677693317,0.044086757964501996
3,1.5,-0.2000604227758909,-0.0578911435460003,-0.2619092427539348,-0.04411756493314486,0.061848819978043895,-0.013773578612855442
4,-1.0,0.048699041450194186,0.05627265632226378,0.22517561678259113,0.12732801068849606,-0.17647657533239694,-0.07105535436623228
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.14135313628888832,0.10179638201871255,0.07120410409126345,0.08000609286301659,0.07014903219762487,0.02179028915569596
4,1.0,0.09397597434659288,0.09394276745718703,-0.0038534349113658675,0.08375699278909075,0.09782940925795874,0.010185774668096281
4,1.5,-0.015139053164860894,0.00048439333994934147,-0.1269689716153984,0.03715932480166514,0.11182991845053752,-0.0366749314617158
5,-1.0,0.2924483192912088,0.17073288728845323,0.329161484558388,0.1593549955195788,-0.036713165267179215,0.011377891768874437
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,0.05910905897908549,0.0724481145342424,0.07228648925733648,0.05431360673862554,-0.013177430278250989,0.01813450779561685
5,1.0,0.11901867673239419,0.08893579856739571,0.20222234874227576,0.14382171453657885,-0.08320367200988157,-0.054885915969183144
5,1.5,0.20397560916840232,0.08673542099884211,0.22241185277449818,0.14087658633723207,-0.01843624360609586,-0.05414116533838996
