layer,relative_depth,pair_id,eval_split,shift_V_self,shift_A_self,magnitude_self,shift_V_reader,shift_A_reader,magnitude_reader,pairwise_cos
0,0.0,P_rage-d1-v1,discovery,0.023508765212884697,0.027312647718968464,0.0360366864078124,0.013476582495868028,0.028862701647487832,0.031853945158486,0.96273576075269
0,0.0,P_rage-d1-v2,confirmation,-0.013168636336807982,0.0053836254897108304,0.014226609096498144,-0.007626084745730122,0.005827692810293605,0.009597873308197261,0.965242719981703
0,0.0,P_rage-d1-v3,discovery,-0.143053826825966,-0.06038917539237776,0.1552779761399692,-0.1545310064339791,-0.04641417376790358,0.16135088309660917,0.9942096399701253
0,0.0,P_rage-d1-v4,discovery,-0.08133310021916351,-0.05007889780233121,0.09551423556913823,-0.1887294843879621,-0.10610249449788078,0.21650994807633864,0.9992102365048473
0,0.0,P_rage-d2-v1,discovery,-0.02071614255953147,-0.00637208694358371,0.02167399489165348,-0.02635727967767343,-0.0047444709824033815,0.02678089238449616,0.992771836295339
0,0.0,P_rage-d2-v2,discovery,0.007517286351907515,-0.0011088806545052066,0.007598632140228325,0.018657416335910337,0.006615321272751107,0.01979549594915993,0.8836504150766894
0,0.0,P_rage-d2-v3,confirmation,-0.05316278612386416,-0.01371023735472221,0.05490220794079728,0.0022930430419187964,0.01628733706856833,0.016447960213268154,-0.38227752048419533
0,0.0,P_rage-d2-v4,discovery,-0.07824981476407977,-0.0549739644367877,0.09563038364719655,-0.23222589646917058,-0.1386352972960614,0.27046000193610376,0.9972460591001806
0,0.0,P_rage-d3-v1,discovery,-0.09510337631755483,-0.029530134550271647,0.09958253377754353,-0.07206558039823019,-0.00786218631931268,0.07249318486487794,0.9815483331458075
0,0.0,P_rage-d3-v2,discovery,-0.033750897150676806,-0.0011777322958383962,0.03377143929174806,-0.059075023783244696,-0.016195207270204293,0.06125474000855611,0.9730491993660012
0,0.0,P_rage-d3-v3,confirmation,-0.06661503269746483,-0.03637810917027551,0.07590078661047454,-0.044576228694554576,-0.029841782061504674,0.053643006265827166,0.9959445791517576
0,0.0,P_rage-d3-v4,confirmation,-0.049448778951523664,-0.011915210219723527,0.05086407351340289,-0.01325864580580216,0.008683866575380783,0.015849328922788206,0.6849171001362928
0,0.0,P_grief-d1-v1,discovery,0.06058787996233583,0.02721093012532272,0.0664178132477697,0.14639389707648665,0.05035262818136488,0.15481136995069755,0.9958768733339675
0,0.0,P_grief-d1-v2,discovery,-0.03410612091697374,-0.01873936530790843,0.03891518079293061,0.0009793779617321974,-0.006957753450355764,0.007026344303253595,0.35468157483237817
0,0.0,P_grief-d1-v3,confirmation,-0.04711829012568636,-0.031611908773776065,0.05674016250144066,-0.0782158244365716,-0.03823547377333192,0.08706128098623259,0.9907327516169409
0,0.0,P_grief-d1-v4,confirmation,-0.10854846955837871,-0.06431645234565586,0.12617201070680173,-0.32655973933596627,-0.1682806422417853,0.36736853146191223,0.998255671705778
0,0.0,P_grief-d2-v1,confirmation,-0.00021450932882860485,0.0013643909065006454,0.001381150534118621,-0.03500957157281093,-0.014827330496002045,0.03801999252169105,-0.24224095017674874
0,0.0,P_grief-d2-v2,confirmation,0.02973807227875014,0.022893222999057272,0.03752935653779228,0.11960894443925651,0.0647862841908613,0.13602779939825607,0.9872812847448459
0,0.0,P_grief-d2-v3,confirmation,-0.03586336795401124,-0.014609769732895295,0.03872501171921093,-0.1315197324686439,-0.05292854983533113,0.1417704885238631,0.9999910118716224
0,0.0,P_grief-d2-v4,confirmation,-0.19191561575735516,-0.11275335863900615,0.22258688967659604,-0.40218812041669105,-0.2179872807551484,0.4574644672270565,0.9994047265513787
0,0.0,P_grief-d3-v1,discovery,-0.049200189187119214,-0.016718991681079487,0.05196328799143033,-0.09248918878397161,-0.030820484159541195,0.09748924189748154,0.9999825205289709
0,0.0,P_grief-d3-v2,confirmation,-0.030481017107111263,-0.01979260014275841,0.03634335460982007,-0.08078972420322117,-0.03463616535266789,0.08790132813086439,0.9854329250472311
0,0.0,P_grief-d3-v3,confirmation,-0.013588056928247383,-0.007314647927318063,0.015431764817606252,-0.002067572775217741,0.0032697223874813552,0.0038685839362767307,0.06997475781315429
0,0.0,P_grief-d3-v4,confirmation,0.0390856860629345,0.016117960529783204,0.042278593953086016,0.030165029037091173,0.01390303671773152,0.033214807041184874,0.9991697582322551
