layer,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0036012197753943075,0.00210540066662038,0.0016062268975223042,0.0032231690964587786,-0.0007971383470000611,0.001948661700436366,0.659519148371823
2,0.0009312372459570367,0.0006981480112086038,0.00022881679554198156,0.000902688031567687,0.00038285909841183813,0.0005838060947932997,0.0
3,0.008000214340290862,0.008022135223305315,0.004792401269603536,0.006405959690920476,0.004561883551877606,0.006598778068711235,0.9993001051894627
4,0.005773229670125201,0.009548533655546435,-0.005695452891784303,-0.0009444560241111075,-0.009342343394150127,-0.0019736045391319976,0.9990382301008361
5,0.0015493710338048867,0.00199540815420111,-0.0014883007047318125,-0.0004307105904066133,-0.0018296884883971798,-0.0007961744389762363,0.9917259875084885
6,0.009820411253956437,0.008968528398644786,-0.008994397610488059,-0.003942244135169831,-0.008020831247119104,-0.004012576197723328,0.9987109020774514
7,0.0008994292362304323,0.00033672500947838494,-0.000881519000968912,-0.000178597877694082,0.0003268430325811672,8.097755282400476e-05,0.0
8,0.009902945308518124,0.012196623300303452,0.007953122005898575,0.005900523378717599,0.010280681834678831,0.006562408166489629,0.9975382711449111
9,0.003918420856265311,0.004323259953622023,-0.0037869044912727016,-0.001006665972800122,-0.0038295134758417476,-0.002006340739988686,0.9752876896393057
10,0.004599862918957316,0.005972365405821765,-0.0032772852531239203,-0.003227714399208053,-0.00440692711756747,-0.004030898401238246,0.9993187223015555
11,0.0025422486031218758,0.0030132854283457374,0.002168857211115908,0.0013263055296068305,0.0025775757732214716,0.0015607665443564862,0.9999903962317693
12,0.00015086423185983828,0.0004941081264527025,-9.667171811655421e-05,0.00011582139427175157,0.0004401845630396482,0.00022445576644005796,0.0
13,0.00036939348780136357,0.0009658335908752141,-0.00019926522675325908,0.0003110384513802568,-0.0008322703840529707,-0.0004900617645677239,0.0
14,0.00013432813667302982,0.000171867778574723,0.00013357622631098945,1.4192958344316775e-05,-0.00013107677924658243,-0.00011116389366405226,0.0
15,3.169826930455032e-05,0.00017645831963511115,1.981150538743019e-05,2.4744383831237782e-05,-0.0001305130991051303,-0.00011875971341503606,0.0
