r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,r2_cross_r_to_s_task_scaled,r2_cross_s_to_r_task_scaled,direct_transfer_score,direct_transfer_score_raw,direct_transfer_score_clipped,r2_pca_direct,r2_aligned_transfer,alignment_gain,rsa_correlation,geometry_pattern,is_held_out,layer,relative_depth,target
-5.292273531793866,-4.2900522909382985,-5.642671842401427,-5.34870309403822,-5.121478942391168,-4.97631690287314,-5.495687468219824,-5.495687468219824,0.0,0.019642621943774974,0.04714261213740312,0.027499990193628143,0.9884893950267026,Operational: Task-Divergent Geometry,True,0,0.0,Valence_human
-4.058769241976265,-3.0326261843043287,-4.011325135444258,-3.2824881652216877,-3.920873290979655,-3.492539185366595,-3.646906650332973,-3.646906650332973,0.0,-0.012465541958654791,-0.008693011279842455,0.003772530678812336,0.9884893950267026,Operational: Task-Divergent Geometry,True,0,0.0,Arousal_human
-1.7890455248161534,-1.5253947288846956,-2.19350020962386,-1.6687924958732667,-1.9822101560618317,-1.779510493435858,-1.9311463527485633,-1.9311463527485633,0.0,0.0985983941828309,0.11185441288016806,0.013256018697337169,0.9914758527873808,Operational: Task-Divergent Geometry,True,1,0.06666666666666667,Valence_human
-2.335057440913796,-2.633197412028783,-3.1732609034782406,-4.271354924302049,-2.5527687531045617,-3.007030938702397,-3.7223079138901447,-3.7223079138901447,0.0,0.006115602861397007,0.023754638365492742,0.017639035504095735,0.9914758527873808,Operational: Task-Divergent Geometry,True,1,0.06666666666666667,Arousal_human
-1.2423943324758544,-1.1464468108044121,-2.1040813255636213,-1.6337474333099795,-1.510690643304927,-1.3369486602313656,-1.8689143794368004,-1.8689143794368004,0.0,0.08498594578773278,0.09836235556789619,0.013376409780163412,0.9894003423977651,Operational: Task-Divergent Geometry,True,2,0.13333333333333333,Valence_human
-2.1483561316293835,-2.1898311658452085,-4.548457531482908,-3.5498930253489647,-2.7514093235621355,-2.3983004044281993,-4.0491752784159365,-4.0491752784159365,0.0,-0.009316127011097741,0.009062712247696836,0.018378839258794577,0.9894003423977651,Operational: Task-Divergent Geometry,True,2,0.13333333333333333,Arousal_human
-1.349480783215351,-1.3059888290506114,-2.6242913334136864,-3.006037245026863,-1.5934028167072292,-1.6436439334382515,-2.8151642892202746,-2.8151642892202746,0.0,0.09723029740467104,0.10455627265087741,0.007325975246206373,0.9876618805054995,Operational: Task-Divergent Geometry,True,3,0.2,Valence_human
-1.5804632011410011,-1.4592587523128495,-5.766086362720371,-5.455031177709124,-1.8374324481846633,-1.7165347866767404,-5.610558770214747,-5.610558770214747,0.0,0.0005681200482676729,0.009365383338790001,0.008797263290522328,0.9876618805054995,Operational: Task-Divergent Geometry,True,3,0.2,Arousal_human
-1.1088738661804887,-1.1725895703730553,-4.112775705437621,-2.126306969887963,-1.488604027188177,-1.60271253262622,-3.119541337662792,-3.119541337662792,0.0,0.11219584381129544,0.12183312968977533,0.009637285878479895,0.9794136012317285,Operational: Task-Divergent Geometry,True,4,0.26666666666666666,Valence_human
-1.6693127175348614,-1.578949488563112,-5.435415194425235,-3.4507752667734346,-2.253178653921905,-2.0003699409631603,-4.443095230599335,-4.443095230599335,0.0,-0.045679391980093964,-0.003121503694905936,0.04255788828518803,0.9794136012317285,Operational: Task-Divergent Geometry,True,4,0.26666666666666666,Arousal_human
-0.7503421511904944,-0.7477938449581374,-5.079235754257608,-2.788132790240795,-1.3196856565351283,-1.1432566593000408,-3.9336842722492014,-3.9336842722492014,0.0,0.11811168332229383,0.15322551981489496,0.035113836492601136,0.9698122079349114,Operational: Task-Divergent Geometry,True,5,0.3333333333333333,Valence_human
-1.6437227567742916,-1.7209647328859599,-6.550537614740024,-10.724354555210283,-2.385695334416765,-2.1638824573847115,-8.637446084975153,-8.637446084975153,0.0,-0.04239281462329614,0.0026009706059451076,0.044993785229241245,0.9698122079349114,Operational: Task-Divergent Geometry,True,5,0.3333333333333333,Arousal_human
-0.6008298637379059,-0.467105766254059,-7.1326368750612925,-5.698142036581818,-1.570652191631503,-1.605884315621747,-6.415389455821556,-6.415389455821556,0.0,0.06966141052361852,0.1476356083701592,0.0779741978465407,0.9663789955658905,Operational: Task-Divergent Geometry,True,6,0.4,Valence_human
-1.651027216244199,-1.5160517195651355,-16.42758153417077,-6.954672483624061,-2.5997406147193622,-2.647478182368163,-11.691127008897416,-11.691127008897416,0.0,-0.12027372091324717,-0.0038099799196777973,0.11646374099356938,0.9663789955658905,Operational: Task-Divergent Geometry,True,6,0.4,Arousal_human
-0.48599216287595626,-0.4521513976813183,-3.3176329473034993,-6.223329199113073,-1.3628209306390069,-1.0295829022183338,-4.770481073208286,-4.770481073208286,0.0,0.27095685751886867,0.3633354066310245,0.09237854911215582,0.9668661603169284,Operational: Alignable Geometry,True,7,0.4666666666666667,Valence_human
-1.1115499280958088,-1.5351891111171772,-5.062900362300032,-12.00337924610953,-2.68670993696634,-2.441688563862701,-8.533139804204781,-8.533139804204781,0.0,-0.012043698378532142,0.05194897816180166,0.0639926765403338,0.9668661603169284,Operational: Task-Divergent Geometry,True,7,0.4666666666666667,Arousal_human
-0.5573683931640367,-0.5091441566521246,-7.134044114227235,-1.917504673857212,-1.6671401640658048,-1.4949475055485189,-4.525774394042223,-4.525774394042223,0.0,0.2289639446553784,0.34153654694420876,0.11257260228883037,0.9279010661058515,Operational: Alignable Geometry,True,8,0.5333333333333333,Valence_human
-1.6259767736211654,-1.3211021950392041,-7.523462931508222,-12.791525128349429,-3.614445691112241,-2.521242031153329,-10.157494029928825,-10.157494029928825,0.0,-0.2126183258388339,0.057313925272258315,0.2699322511110922,0.9279010661058515,Operational: Task-Divergent Geometry,True,8,0.5333333333333333,Arousal_human
-0.4244589210268077,-0.37629939240329,-12.775895922019668,-3.871924730130038,-2.2329401184748026,-2.044610482990326,-8.323910326074852,-8.323910326074852,0.0,0.04815810537536591,0.3483026450417458,0.3001445396663799,0.9009214416447809,Operational: Alignable Geometry,True,9,0.6,Valence_human
-1.435594738085506,-1.3946002880702486,-9.700966198628484,-39.854435940791646,-3.978281184321827,-3.401916300722519,-24.777701069710066,-24.777701069710066,0.0,-0.2931633096680526,0.08572486646890076,0.37888817613695336,0.9009214416447809,Operational: Task-Divergent Geometry,True,9,0.6,Arousal_human
-0.531226706077836,-0.24693572998650715,-9.145984488692429,-4.107753173631332,-2.0045484333618524,-1.457770481537083,-6.626868831161881,-6.626868831161881,0.0,0.019427474064553807,0.31962372673761197,0.30019625267305816,0.8928100048279909,Operational: Alignable Geometry,True,10,0.6666666666666666,Valence_human
-1.6155282157770992,-1.175502406824707,-16.326204429828064,-8.036114938639026,-3.9445000098106977,-2.5844834413078717,-12.181159684233545,-12.181159684233545,0.0,-0.14692633811592515,0.06139120539234144,0.2083175435082666,0.8928100048279909,Operational: Task-Divergent Geometry,True,10,0.6666666666666666,Arousal_human
-0.7096592798646855,-0.23411747105333736,-8.321101061519286,-1.4367431055574111,-2.3033629057629654,-1.0987703898385046,-4.878922083538349,-4.878922083538349,0.0,-0.3180323774364153,0.38925220923279236,0.7072845866692077,0.8662655453622079,Operational: Alignable Geometry,True,11,0.7333333333333333,Valence_human
