axis,a_priori_stage,d_D_peak,d_C_peak,delta_d_peak,d_D_center,d_C_center,delta_d_center,empirical_peak_stage,empirical_peak_layer,empirical_peak_depth,analysis_role
valence,pre_V,0.8518518518518519,0.7407407407407407,-0.11111111111111116,0.7365128679090129,0.6088168196970032,-0.12769604821200975,pre_V,20,0.7407407407407407,discovery
arousal,pre_A,0.8518518518518519,0.7777777777777778,-0.07407407407407407,0.7174711813938749,0.756171023640852,0.03869984224697709,pre_A,21,0.7777777777777778,discovery
