model,family,alignment,site_selection,reader_layer,self_layer,has_crossover,interaction_beta,interaction_p,reader_ablation_on_reader,reader_ablation_on_self,self_ablation_on_reader,self_ablation_on_self
gemma_base,gemma,base,"Identified (L0, L18)",0,18,False,0.004107418288830391,0.23648624546938302,0.05579140014010863,0.05162853806325627,0.006337565004770135,0.006282121216748158
gemma_instruct,gemma,instruct,"Identified (L4, L11)",4,11,False,-0.012131331221146685,0.05748636709322057,0.06655040179815729,0.08056143236534137,0.058790260488306705,0.060669959834344145
llama_base,llama,base,"Identified (L6, L7)",6,7,True,0.0009998352478149597,0.03498881509749046,0.004579953477318435,0.004473874143553201,0.0072085550021653184,0.008102310916215051
llama_instruct,llama,instruct,"Identified (L2, L15)",2,15,False,0.013626512944464916,3.0346169219266156e-10,0.06360877211067657,0.04998225916621157,6.745977356214729e-16,6.213314617031376e-16
olmo_base,olmo,base,"Identified (L4, L13)",4,13,True,0.05828435616009438,1.8449210059406913e-135,0.06608801064782095,0.008176641148888985,0.002261930079544628,0.0026349167407071065
olmo_instruct,olmo,instruct,"Identified (L5, L10)",5,10,True,0.001766669296074589,0.0582547345362353,0.012306173507751606,0.011111112671187291,0.004224124402709447,0.004795732862219725
qwen_base,qwen,base,"Identified (L1, L17)",1,17,False,0.012420474437443416,0.005036654230954336,0.06450388555109952,0.04652740312683581,0.032489669939763835,0.026933661952943472
qwen_instruct,qwen,instruct,"Identified (L6, L27)",6,27,False,0.010870424927555637,7.03808820605625e-07,0.03251669621825268,0.021646271290697006,6.494761193068905e-16,5.864472853026592e-16
