family,axis,base_mean_sharing,inst_plain_mean_sharing,delta_sharing_matched,inst_native_mean_sharing,delta_sharing_native,format_effect
qwen,valence,,,-0.44203838831372677,0.6666666666666666,0.04896222389927741,0.4910006122130043
qwen,arousal,,,-0.8299091896492282,0.07407407407407407,-0.9769715963115352,-0.14706240666230666
llama,valence,,,0.2486539241771736,0.6,0.16690625230625789,-0.08174767187091572
llama,arousal,,,0.06852893880705224,0.4,-0.41946891574358336,-0.48799785455063555
gemma,valence,,,-1.6381205201208606,0.0,-2.971318154072172,-1.333197633951311
gemma,arousal,,,0.02933725579054254,0.0,-5.8310993407106455,-5.860436596501186
olmo,valence,,,-0.38022110192314845,0.6666666666666666,-1.3588762999119817,-0.9786551979888333
olmo,arousal,,,-0.38173753138697947,0.5333333333333333,-0.6486398048085796,-0.26690227342160017
