model,family,alignment,task,axis,clinical_displacement,complex_neutral_displacement,difference,cohen_d,welch_t,p,q
olmo_base,olmo,base,writer,arousal,0.0109842984923967,0.0121619658383499,-0.0011776673459531,-0.1417341908629595,-0.920555822387509,0.3599882933305712,
olmo_base,olmo,base,reader,arousal,0.0120839641027221,0.0162327189505876,-0.0041487548478654,-0.39448414513652,-2.306625712040736,0.0243577556107818,0.0410235883971062
olmo_base,olmo,base,self,arousal,0.0073621831941775,0.008244360356864,-0.0008821771626865,-0.1565961876707645,-1.0125380008084233,0.3143027607513136,0.3592031551443584
olmo_base,olmo,base,writer,dominance,0.008033814865757,0.0116866679296666,-0.0036528530639096,-0.5380937821617687,-3.021417551004359,0.0037298364334937,
olmo_base,olmo,base,reader,dominance,0.0084350165516541,0.0148481864740074,-0.0064131699223532,-0.8704838360671394,-4.925843415254527,7.071138906656951e-06,
olmo_base,olmo,base,self,dominance,0.0065777871958487,0.0080188131977488,-0.0014410260019001,-0.2949611023697393,-1.806999767228926,0.0750387284419696,
olmo_instruct,olmo,instruct,writer,valence,0.024238207740922,0.0316052436843946,-0.0073670359434725,-0.3509698910577498,-2.086689838578346,0.0408026938342736,
olmo_instruct,olmo,instruct,reader,valence,0.0225201148244651,0.0279015681409342,-0.005381453316469,-0.2424083945018339,-1.378238219221621,0.1732610946126763,0.2217742011042257
olmo_instruct,olmo,instruct,self,valence,0.022213238494316,0.0256118855639947,-0.0033986470696787,-0.1777822317845439,-1.05702782394316,0.2943717448849495,0.3488850309747549
olmo_instruct,olmo,instruct,writer,arousal,0.0610439002835299,0.04095221073938,0.0200916895441498,0.48689657168508,3.4902937156056053,0.0006910568224326,
olmo_instruct,olmo,instruct,reader,arousal,0.054090751478143,0.0409586090229244,0.0131321424552186,0.3391511229135742,2.392224693210724,0.0185098814159642,0.032906455850603
olmo_instruct,olmo,instruct,self,arousal,0.0566612137196205,0.0374316062031768,0.0192296075164436,0.4756960163589368,3.235741309795764,0.0016762890597093,0.0038315178507641
olmo_instruct,olmo,instruct,writer,dominance,0.0585457263508159,0.0560766040506492,0.0024691223001666,0.0642362078056417,0.4424540066415416,0.6591383458166331,
