model,task,task_label,dimension,dim_label,n,r_continuous,p_continuous,rho_continuous,r_greedy,p_greedy,mae,rmse,pred_mean,pred_std,human_mean,human_std
gemma_base,writer,Writer-State Estimation (W),V,Valence,1000,0.037760352981489206,0.2783719682114727,0.041216842125143816,0.001670935333760088,0.9579123249493607,0.6564250053513973,0.8478887388333518,3.33443537673718,0.7045762137741723,2.97642,0.33476914971364974
gemma_base,writer,Writer-State Estimation (W),A,Arousal,1000,0.04963827428187297,0.15406096623974344,0.050000568318344756,0.014049321905877916,0.6572271013445715,0.7087613948381619,0.8987635283916995,3.465936655112117,0.731681548544087,3.0173400000000004,0.30456119976123025
gemma_base,writer,Writer-State Estimation (W),D,Dominance,1000,0.02098575924663616,0.5469823112500252,0.027514499556477823,-0.031313365009780554,0.3225556896937261,0.6365846542984823,0.813329861244585,3.46120205293541,0.6867078206792719,3.09162,0.25108280626120144
gemma_base,reader,Reader-Response Prediction (R),V,Valence,1000,-0.0027579694042519152,0.9364225675435227,-0.008469178385165635,-0.03399069206046073,0.28289171350129744,0.7168703286176331,0.9041383243855795,3.4300483142697322,0.6622833185131374,2.9781999999999997,0.42823937231412995
gemma_base,reader,Reader-Response Prediction (R),A,Arousal,1000,-0.013731275567863624,0.6912502407302793,-0.0011979152335245373,0.010251309158009739,0.7461061776157933,0.7568990106186135,0.9323914452546652,3.6081007636044675,0.6684086813336862,3.0504499999999997,0.3129969608478651
gemma_base,reader,Reader-Response Prediction (R),D,Dominance,1000,0.049005773468408384,0.15612874812834174,0.03704398994914023,-0.0022438013744015078,0.9435039467746518,0.7295950302520826,0.8987378466856117,3.6242606773982713,0.6332437454960744,3.04292,0.28680284796354444
gemma_base,self,Self-Report (S),V,Valence,1000,0.0396007503008862,0.2268706418299511,0.03482386344302772,-0.010540912960236027,0.7391906872557812,0.9945760798732576,1.2225144647529937,3.7665926336199553,0.8462382292182218,2.9781999999999997,0.42823937231412995
gemma_base,self,Self-Report (S),A,Arousal,1000,0.019832669536836753,0.5451542476007665,0.025127747686303964,-0.009733680617511918,0.7585173815873876,1.0695465065410057,1.2808671107900347,3.9620731104731184,0.8471689316543544,3.0504499999999997,0.3129969608478651
gemma_base,self,Self-Report (S),D,Dominance,1000,0.024778412437767638,0.44967363224817597,0.0251917676010606,-0.021643693266243203,0.49419132444250063,1.0450135791798592,1.2514713134387552,3.9562130331147296,0.8075227784535919,3.04292,0.28680284796354444
gemma_instruct,writer,Writer-State Estimation (W),V,Valence,1000,0.326363683632326,3.0058237303185606e-26,0.32930245123904045,0.24303720104065143,6.541889126782192e-15,2.4858205313813597,2.7766243522375595,5.442066545437167,1.346227189385729,2.97642,0.33476914971364974
gemma_instruct,writer,Writer-State Estimation (W),A,Arousal,1000,0.16685165897994123,1.1147055161550011e-07,0.1417114337486256,0.15438363796243829,9.325112818855774e-07,1.6474941420494422,1.9999831554289926,4.39225222423253,1.4718632662674342,3.0173400000000004,0.30456119976123025
gemma_instruct,writer,Writer-State Estimation (W),D,Dominance,1000,0.14501354290880872,4.137486355649871e-06,0.15887829758308206,0.1170146742413705,0.0002085339804742557,1.690816698344852,2.098829973045695,4.315473909099876,1.72328681269955,3.09162,0.25108280626120144
gemma_instruct,reader,Reader-Response Prediction (R),V,Valence,1000,0.2483918612883083,1.5834944732088286e-15,0.2797838252749738,0.17077127222008526,5.5269495526039905e-08,4.024840622490877,4.090079528520768,7.003040622490877,0.7041456974692359,2.9781999999999997,0.42823937231412995
gemma_instruct,reader,Reader-Response Prediction (R),A,Arousal,1000,0.2627261559495412,3.000225707322642e-17,0.25911818009215226,0.2087153678416661,2.6386406917250356e-11,2.1277493826574054,2.3225648370764036,5.143086169741235,1.043469383266848,3.0504499999999997,0.3129969608478651
gemma_instruct,reader,Reader-Response Prediction (R),D,Dominance,1000,0.19048450754702534,1.2649068690161957e-09,0.20392598752708585,0.12333765465006968,9.216632860245644e-05,2.2544313687573347,2.6047036492134854,5.078117254870656,1.6556255533076243,3.04292,0.28680284796354444
gemma_instruct,self,Self-Report (S),V,Valence,1000,0.33553741496253714,9.734988762723106e-28,0.30809069994042587,0.23795251154708735,2.4386142389589656e-14,1.5925228011966033,2.0622387232556387,4.283999407531904,1.6880265681863764,2.9781999999999997,0.42823937231412995
gemma_instruct,self,Self-Report (S),A,Arousal,1000,0.2084984164534765,2.76898997675558e-11,0.20248255568183918,0.1810397639619667,8.140393579289902e-09,1.6125940473552205,1.9728826468096188,4.359303172323991,1.5093719007053816,3.0504499999999997,0.3129969608478651
gemma_instruct,self,Self-Report (S),D,Dominance,1000,0.22740885339253322,3.3914113461723907e-13,0.22427908348316974,0.23342730961538524,7.667684447500375e-14,1.712389381943274,2.151060479981082,4.285595999713842,1.7986618777499974,3.04292,0.28680284796354444
llama_base,writer,Writer-State Estimation (W),V,Valence,1000,0.11466837441597674,0.0002795063927164705,0.17332570633626165,0.031234887930920146,0.3237704762481911,1.0529709354771537,1.1091810968222708,4.025016483154291,0.18027236141072212,2.97642,0.33476914971364974
llama_base,writer,Writer-State Estimation (W),A,Arousal,1000,-0.021499367302214065,0.49707586227508593,-0.011482602138026226,0.0709441289980977,0.024866413202172918,1.3467240557073792,1.3931909746921274,4.363403400963786,0.1841869239131934,3.0173400000000004,0.30456119976123025
llama_base,writer,Writer-State Estimation (W),D,Dominance,1000,-0.020332938997670042,0.5207133470338896,-0.003540717708529536,0.02823794525089832,0.37238046195327407,1.0334334320212697,1.0769214599891261,4.123992045797495,0.17082450173643748,3.09162,0.25108280626120144
