pair_id,token_jaccard,relative_edit_distance,net_cue_aff,net_cue_neu,cue_difference,ppl_aff,ppl_neu,ppl_ratio
P_rage-d1-v1,0.3978494623655914,0.535181236673774,0,0,0,25.381721603433856,34.96358124670433,0.7259473993350993
P_rage-d1-v2,0.3655913978494624,0.4521575984990619,0,0,0,31.177934500545096,37.18712150884257,0.8384067493560822
P_rage-d1-v3,0.3177570093457944,0.6412078152753108,0,0,0,28.148005286864766,28.180962189944534,0.9988304905386793
P_rage-d1-v4,0.22018348623853212,0.6353591160220995,0,0,0,24.27043186712314,26.177791881099584,0.9271382036430748
P_rage-d2-v1,0.3333333333333333,0.5738636363636364,0,0,0,26.50740418201104,40.330924045553424,0.6572476121505064
P_rage-d2-v2,0.2604166666666667,0.6060070671378092,0,0,0,15.987252669588619,18.903670104518476,0.8457221129798034
P_rage-d2-v3,0.2871287128712871,0.6057046979865772,0,0,0,28.43743913269668,28.30680447952705,1.0046149203683232
P_rage-d2-v4,0.2872340425531915,0.572992700729927,0,0,0,23.807559962821333,26.867801575555518,0.886100003745062
P_rage-d3-v1,0.27722772277227725,0.5706618962432916,0,1,-1,23.68588549629519,32.49605440512827,0.7288849431416612
P_rage-d3-v2,0.23529411764705882,0.6049149338374291,0,0,0,21.068953123193268,25.966297819246993,0.8113960818927468
P_rage-d3-v3,0.2558139534883721,0.576271186440678,0,0,0,21.362120462821515,29.527177980897594,0.7234731254428874
P_rage-d3-v4,0.21428571428571427,0.6768953068592057,0,0,0,8.381092127083981,23.259768114641815,0.36032568018089906
P_grief-d1-v1,0.375,0.4570815450643777,1,0,1,15.42444102667227,17.564331693141984,0.8781683481032423
P_grief-d1-v2,0.26373626373626374,0.5477272727272727,0,0,0,18.11064473313239,12.589629155036803,1.4385366774167518
P_grief-d1-v3,0.2872340425531915,0.627906976744186,0,0,0,16.514791588063357,14.139226570217518,1.1680122910568087
P_grief-d1-v4,0.29347826086956524,0.5266272189349113,0,0,0,11.598331082824581,13.287933465726944,0.8728468004368707
P_grief-d2-v1,0.4019607843137255,0.5403377110694184,0,0,0,32.548121631155695,29.0470378713352,1.1205314860261197
P_grief-d2-v2,0.43010752688172044,0.5114068441064639,0,0,0,17.820086409647278,18.981847243619846,0.938796168894509
P_grief-d2-v3,0.39361702127659576,0.5028901734104047,0,0,0,25.236991212121424,24.289737591817065,1.0389980574193365
P_grief-d2-v4,0.5168539325842697,0.4540540540540541,0,0,0,20.70057299420787,27.853945621383414,0.743182762413858
P_grief-d3-v1,0.3541666666666667,0.5752895752895753,0,0,0,24.623734489515208,17.47437315315418,1.409133985211742
P_grief-d3-v2,0.44047619047619047,0.5666666666666667,1,0,1,17.371799037801747,21.291935587772155,0.8158862847533689
P_grief-d3-v3,0.4069767441860465,0.4827586206896552,0,0,0,21.85881479511282,16.537581411492148,1.3217660387846586
P_grief-d3-v4,0.22448979591836735,0.6331967213114754,0,1,-1,20.715591930386317,17.134500722541905,1.208998794702806
P_terror-d1-v1,0.4358974358974359,0.41487279843444225,0,0,0,14.468666609825636,12.336454982684614,1.172838182224602
P_terror-d1-v2,0.3402061855670103,0.6302681992337165,0,0,0,14.36910346675829,15.644410954019273,0.9184815325108249
P_terror-d1-v3,0.391304347826087,0.5274102079395085,0,0,0,13.202506075832176,14.79946520588418,0.892093396624193
P_terror-d1-v4,0.30392156862745096,0.5895652173913043,0,0,0,16.430337706262492,15.758159783515564,1.042655797969144
P_terror-d2-v1,0.20353982300884957,0.6494156928213689,0,0,0,14.880683222819364,28.612022586841572,0.5200849628008438
P_terror-d2-v2,0.29464285714285715,0.6243739565943238,0,0,0,15.773973572156736,18.563108462395668,0.8497484542722198
P_terror-d2-v3,0.37383177570093457,0.5335515548281505,0,0,0,13.321738731635955,14.299194663755367,0.9316425234604627
P_terror-d2-v4,0.19827586206896552,0.6900175131348512,0,0,0,12.422310088847118,20.40160462628902,0.60888884514266
P_terror-d3-v1,0.37254901960784315,0.6133768352365416,0,0,0,11.874337269626169,21.4111674651671,0.5545861398897501
P_terror-d3-v2,0.18421052631578946,0.6380165289256199,0,0,0,23.30920379444419,22.040636835897306,1.0575557734758831
P_terror-d3-v3,0.34579439252336447,0.5438311688311688,0,0,0,13.941304570548983,20.45065492885582,0.6817045193586109
P_terror-d3-v4,0.25,0.6153846153846154,0,0,0,18.840601123656683,31.40807032329085,0.5998649496725167
P_ecstasy-d1-v1,0.2543859649122807,0.6506410256410257,0,0,0,10.429455433446915,16.098791720107958,0.6478408421533471
P_ecstasy-d1-v2,0.2222222222222222,0.6487804878048781,0,0,0,13.969039869977971,27.7476951901656,0.503430619041047
P_ecstasy-d1-v3,0.19230769230769232,0.662015503875969,0,0,0,15.07730023667509,22.403018611607425,0.6730030370041392
P_ecstasy-d1-v4,0.1724137931034483,0.6818181818181818,0,0,0,18.529299697669433,24.364157285563497,0.7605146658667296
P_ecstasy-d2-v1,0.15,0.7025641025641025,0,0,0,12.978234282141353,19.09147909863183,0.6797919393935006
P_ecstasy-d2-v2,0.24369747899159663,0.6672025723472669,1,0,1,21.939523530997832,18.88603798882729,1.161679457718844
P_ecstasy-d2-v3,0.19469026548672566,0.671118530884808,0,0,0,8.867776322568732,12.680834422134566,0.6993053712446983
P_ecstasy-d2-v4,0.23853211009174313,0.7057851239669422,0,0,0,11.102052520438832,24.677998882416205,0.4498765124133649
P_ecstasy-d3-v1,0.13934426229508196,0.6956521739130435,0,1,-1,15.364043086436412,19.401296603407722,0.7919080156647774
P_ecstasy-d3-v2,0.17796610169491525,0.6467661691542289,0,0,0,23.69052226447501,21.297840251452193,1.1123438279388842
P_ecstasy-d3-v3,0.23853211009174313,0.6555555555555556,0,1,-1,15.38934276283907,22.106942823481894,0.696131626592934
P_ecstasy-d3-v4,0.22764227642276422,0.6599131693198264,0,0,0,17.533813422892802,24.968585767514238,0.7022349156623249
P_loathing-d1-v1,0.19090909090909092,0.6534653465346535,0,0,0,39.52773859576869,36.158389024957785,1.0931830363156452
P_loathing-d1-v2,0.39,0.5205479452054794,1,1,0,21.617089498496803,20.398448055599616,1.0597418185851073
P_loathing-d1-v3,0.32432432432432434,0.5814977973568282,1,0,1,23.03735223866667,33.97578676914343,0.6780520409180631
P_loathing-d1-v4,0.3177570093457944,0.6739469578783152,0,0,0,20.81325767356672,18.14747940553702,1.146895172688344
P_loathing-d2-v1,0.23893805309734514,0.642512077294686,0,0,0,15.464879956377525,20.87936057861584,0.7406778170945751
P_loathing-d2-v2,0.25,0.5803698435277382,0,1,-1,19.514248960054964,16.347656421751456,1.1937030766310397
P_loathing-d2-v3,0.19708029197080293,0.6758893280632411,0,0,0,12.986229197036305,15.798223080899415,0.8220056337051893
P_loathing-d2-v4,0.18548387096774194,0.6770186335403726,0,0,0,16.481239412609725,18.330318935290975,0.8991244817761606
P_loathing-d3-v1,0.2413793103448276,0.6419558359621451,0,0,0,21.849149511853923,18.875175899837053,1.157559986208264
P_loathing-d3-v2,0.1981981981981982,0.7371900826446282,-1,0,-1,28.14663627464292,25.91227703444438,1.0862277811788095
P_loathing-d3-v3,0.26666666666666666,0.7253218884120172,0,0,0,31.646302432952126,26.140483203842596,1.2106241868427283
P_loathing-d3-v4,0.208,0.7304216867469879,0,0,0,24.820221803067533,27.57596607980487,0.9000671393042278
P_amazement-d1-v1,0.28695652173913044,0.5419847328244275,1,1,0,18.092954248559142,12.703278421890198,1.424274287581323
P_amazement-d1-v2,0.21875,0.6560232220609579,0,0,0,14.49559160387601,21.452326300598045,0.6757118423916599
P_amazement-d1-v3,0.19230769230769232,0.66991643454039,0,0,0,14.634347078750306,24.41783799357359,0.5993301488555907
P_amazement-d1-v4,0.2248062015503876,0.6596931659693166,0,0,0,16.94736657205116,21.046039570945958,0.8052520147398644
P_amazement-d2-v1,0.29357798165137616,0.6296296296296297,0,0,0,12.034261212864601,20.615366397578214,0.583751964288462
P_amazement-d2-v2,0.25,0.598014888337469,-1,0,-1,18.293134953206312,18.762656783895846,0.9749756758292245
P_amazement-d2-v3,0.2868217054263566,0.6123032904148784,0,1,-1,12.52774763954162,17.16501149293961,0.7298420344695111
P_amazement-d2-v4,0.3,0.5722460658082976,-1,0,-1,15.887069705223055,20.089167135207752,0.7908276539026915
P_amazement-d3-v1,0.25,0.6291834002677377,0,0,0,14.498481123176418,18.96882696229555,0.7643319424898118
P_amazement-d3-v2,0.2734375,0.6507394766780432,0,0,0,20.80491777355111,22.460966367292663,0.9262698900425336
P_amazement-d3-v3,0.21705426356589147,0.6670902160101652,-1,0,-1,15.885709953057933,20.028798514077696,0.7931433904409648
P_amazement-d3-v4,0.23140495867768596,0.618840579710145,0,0,0,14.84300337010533,16.111597377730977,0.9212620015789951
P_admiration-d1-v1,0.17054263565891473,0.6692307692307692,0,0,0,20.190921029609168,22.53333386560471,0.8960467303234797
P_admiration-d1-v2,0.1893939393939394,0.6520650813516896,1,0,1,20.30080235061232,20.67852843249024,0.9817333682691946
P_admiration-d1-v3,0.1793103448275862,0.6454767726161369,1,0,1,13.882476949362164,19.57483072977775,0.7092003211574878
P_admiration-d1-v4,0.17777777777777778,0.7051948051948052,0,0,0,27.602724619024595,27.814221558442625,0.9923960506545298
P_admiration-d2-v1,0.1111111111111111,0.7231352718078382,0,0,0,18.33430507184221,18.448921662795097,0.9937873016734993
P_admiration-d2-v2,0.15555555555555556,0.7025920873124147,0,0,0,20.49771185200694,19.64985152401751,1.0431483812386435
P_admiration-d2-v3,0.1889763779527559,0.6526806526806527,0,0,0,16.625182593758453,13.069842710994811,1.272026120692841
P_admiration-d2-v4,0.2125984251968504,0.7032679738562092,0,0,0,11.827420406640544,15.657710032064388,0.7553735269746615
P_admiration-d3-v1,0.27906976744186046,0.6438356164383562,0,0,0,14.071613700757293,19.28916359698885,0.7295087161500998
P_admiration-d3-v2,0.20610687022900764,0.7189189189189189,1,0,1,16.01394891725624,15.961327755798068,1.0032967281272906
P_admiration-d3-v3,0.21323529411764705,0.6415552855407047,0,0,0,19.033795438221457,20.913652471176068,0.9101133603678813
P_admiration-d3-v4,0.15753424657534246,0.682648401826484,0,0,0,10.77651944965984,21.348521052808202,0.5047899532812056
P_vigilance-d1-v1,0.288135593220339,0.6074498567335244,0,0,0,13.47701987978521,10.718657475686124,1.2573420368188863
P_vigilance-d1-v2,0.2644628099173554,0.5812417437252312,0,0,0,13.62031584794675,10.06164431655159,1.3536867400345631
P_vigilance-d1-v3,0.15384615384615385,0.6563380281690141,0,0,0,16.05611713213385,19.751489809414636,0.812906594598957
P_vigilance-d1-v4,0.22764227642276422,0.6963503649635037,0,0,0,24.42803385924905,20.09110702929077,1.2158629491034285
P_vigilance-d2-v1,0.1865671641791045,0.6516587677725119,0,0,0,22.490776618238968,18.308615829656116,1.228425764081131
P_vigilance-d2-v2,0.20155038759689922,0.640251572327044,0,0,0,20.82515562778832,18.386931491353867,1.1326063027414162
P_vigilance-d2-v3,0.1619718309859155,0.6897435897435897,0,0,0,21.602807563961733,23.769951052042735,0.9088284030469989
P_vigilance-d2-v4,0.25203252032520324,0.691699604743083,0,0,0,11.30527964866303,25.32738315202719,0.44636586158299185
P_vigilance-d3-v1,0.23684210526315788,0.625,0,0,0,21.961064030196383,19.197528221594276,1.1439526293567797
P_vigilance-d3-v2,0.24060150375939848,0.6575,0,0,0,20.715512906825147,22.291073268502323,0.9293187334670777
P_vigilance-d3-v3,0.25757575757575757,0.5923566878980892,0,1,-1,9.63858208910641,10.420050473172278,0.925003308661396
P_vigilance-d3-v4,0.32,0.5386503067484663,1,0,1,15.235646082096723,22.253981639400052,0.6846255939430113
P_rage-d4-v1,0.4835164835164835,0.37790697674418605,0,0,0,18.407191352851914,21.31666689744865,0.863511663333416
P_rage-d4-v2,0.36,0.46601941747572817,0,0,0,16.542380576437854,16.66493892506263,0.9926456771415985
P_rage-d4-v3,0.4787234042553192,0.3648,0,0,0,18.35271722686364,22.063707391204822,0.8318056466962516
P_rage-d4-v4,0.6746987951807228,0.23933209647495363,0,0,0,27.31235575162335,26.28143937153155,1.0392259847831058
P_rage-d5-v1,0.45132743362831856,0.3658170914542729,0,0,0,30.163394469821956,29.593772298205447,1.019248007541203
P_rage-d5-v2,0.38,0.4298642533936652,0,0,0,18.780003564333573,21.36677099336788,0.8789349916853503
P_rage-d5-v3,0.5978260869565217,0.2525697503671072,0,0,0,20.964618621759413,28.145482061172412,0.7448661860304245
P_rage-d5-v4,0.5232558139534884,0.35429447852760737,0,0,0,14.550788818115295,17.169751213160307,0.8474664420003905
P_rage-d6-v1,0.34065934065934067,0.4804560260586319,0,0,0,14.25405673962721,20.189472100498765,0.7060143010505348
P_rage-d6-v2,0.5729166666666666,0.2780487804878049,0,0,0,11.636601648719294,11.097677997982665,1.04856174438228
P_rage-d6-v3,0.6710526315789473,0.20650406504065041,0,0,0,11.689757776041981,12.41717554596738,0.9414183435958607
P_rage-d6-v4,0.5119047619047619,0.2894736842105263,0,0,0,12.947433571907512,15.900654674858629,0.8142704198279941
P_grief-d4-v1,0.5517241379310345,0.2617801047120419,0,0,0,12.660413060699911,14.396158951238133,0.879429869047201
P_grief-d4-v2,0.6385542168674698,0.2733224222585925,0,0,0,18.334108367144037,19.262972292229993,0.9517797740258183
P_grief-d4-v3,0.5666666666666667,0.3122866894197952,0,0,0,13.42310495216,16.73896122811344,0.801907834502166
P_grief-d4-v4,0.5,0.2920203735144312,0,0,0,14.702861928500404,14.593654557350552,1.0074831402399962
P_grief-d5-v1,0.8024691358024691,0.09375,0,0,0,18.451763355060894,19.106164180293224,0.9657491799606494
P_grief-d5-v2,0.5473684210526316,0.32628398791540786,0,0,0,20.16439467639836,24.55893045039617,0.8210615643895647
P_grief-d5-v3,0.8313253012048193,0.11988304093567251,0,0,0,14.774701991076173,16.06610003006469,0.9196196366142658
P_grief-d5-v4,0.5360824742268041,0.2821997105643994,0,0,0,18.145614695260456,18.7056143138579,0.9700624326331263
P_grief-d6-v1,0.4772727272727273,0.3479020979020979,-1,0,-1,15.19087289932153,13.88135495879928,1.0943363850339245
P_grief-d6-v2,0.5061728395061729,0.32066115702479336,0,0,0,10.767753918960375,12.545083340114205,0.8583245538277785
P_grief-d6-v3,0.47959183673469385,0.34065934065934067,0,0,0,15.985811927762368,16.212353537888752,0.9860265447812069
P_grief-d6-v4,0.589041095890411,0.215625,0,0,0,7.949264014676328,8.982901979569593,0.8849326362263805
P_terror-d4-v1,0.6125,0.31534569983136596,0,0,0,10.795659894501725,14.378404262939986,0.7508245662213524
P_terror-d4-v2,0.5652173913043478,0.3092948717948718,0,0,0,13.082543842629851,12.956496819659332,1.0097284022831592
P_terror-d4-v3,0.6493506493506493,0.21340388007054673,0,0,0,14.975965973200946,15.575967912268329,0.9614789331920923
P_terror-d4-v4,0.6666666666666666,0.21470019342359767,0,0,0,13.404437690424531,16.782722451601085,0.7987045564494323
P_terror-d5-v1,0.6133333333333333,0.2629757785467128,0,1,-1,13.378250802085814,21.443633186063547,0.6238798277383637
P_terror-d5-v2,0.5714285714285714,0.24916943521594684,0,0,0,18.077013539176406,15.21849962407034,1.1878314418560327
P_terror-d5-v3,0.5697674418604651,0.44640234948604995,0,-1,1,15.15523293411973,17.966138100218377,0.8435442278155088
P_terror-d5-v4,0.5204081632653061,0.3651026392961877,-1,0,-1,19.47035033357457,25.19576056519725,0.7727629221761187
P_terror-d6-v1,0.5760869565217391,0.26426426426426425,0,0,0,14.485285966260355,15.645253938250262,0.9258580971311654
P_terror-d6-v2,0.6463414634146342,0.23062730627306274,0,0,0,17.189403485177955,16.697778207384083,1.0294424948185006
P_terror-d6-v3,0.5480769230769231,0.28966521106259097,0,0,0,18.84823898530287,21.765332483013886,0.8659751985887293
P_terror-d6-v4,0.6,0.27319587628865977,0,0,0,14.688451139372928,12.235223360109726,1.20050525491477
P_ecstasy-d4-v1,0.41836734693877553,0.4806800618238022,0,0,0,16.969701368983433,23.66646724665177,0.7170356468960777
P_ecstasy-d4-v2,0.5172413793103449,0.4496753246753247,0,0,0,10.580915383058086,20.527426996647492,0.5154525635060634
P_ecstasy-d4-v3,0.6219512195121951,0.35390199637023595,0,0,0,16.42924089949715,18.31739617899875,0.8969200557780989
P_ecstasy-d4-v4,0.7407407407407407,0.23905723905723905,0,0,0,15.444941842383368,15.92158344664098,0.9700631174080059
P_ecstasy-d5-v1,0.7012987012987013,0.17339312406576982,-1,-1,0,18.035604151906913,23.131129857619182,0.7797113017484033
P_ecstasy-d5-v2,0.5058823529411764,0.27838258164852253,0,0,0,12.46955010035504,16.67417924810166,0.7478358704785314
P_ecstasy-d5-v3,0.4791666666666667,0.36612903225806454,0,0,0,16.490476169124047,27.216320053757727,0.6059039403801869
P_ecstasy-d5-v4,0.42,0.38003220611916266,-1,0,-1,13.570877416364667,12.361407192958671,1.097842349716672
P_ecstasy-d6-v1,0.4659090909090909,0.38118022328548645,0,0,0,11.54901554049242,11.368213601597814,1.0159040751103692
P_ecstasy-d6-v2,0.49038461538461536,0.3532182103610675,0,1,-1,16.357890784665372,17.908780074599147,0.913400566823977
P_ecstasy-d6-v3,0.6385542168674698,0.3284552845528455,0,0,0,12.458150991620485,13.536404435043416,0.9203441084417052
P_ecstasy-d6-v4,0.6404494382022472,0.28353658536585363,0,0,0,14.5583223539467,17.945931535459092,0.8112324241262544
P_loathing-d4-v1,0.5952380952380952,0.31129032258064515,0,0,0,19.20180823794991,19.389740598037257,0.9903075882090985
P_loathing-d4-v2,0.5581395348837209,0.2969502407704655,0,0,0,23.28111167390635,20.716061138989392,1.1238193589933925
P_loathing-d4-v3,0.651685393258427,0.19258202567760344,0,0,0,21.97433587458014,24.381037891538742,0.9012879218287195
P_loathing-d4-v4,0.6813186813186813,0.22566995768688294,0,0,0,32.59417920374373,31.995201775354243,1.018720819886501
P_loathing-d5-v1,0.6263736263736264,0.25499231950844853,0,0,0,34.392965385980816,32.16335683035152,1.069321355294729
P_loathing-d5-v2,0.6236559139784946,0.2288488210818308,0,0,0,27.18666259271085,30.27708307828467,0.8979286949303572
P_loathing-d5-v3,0.6588235294117647,0.17647058823529413,0,0,0,29.028954479297163,35.168074702937986,0.8254348268726016
P_loathing-d5-v4,0.5773195876288659,0.2669902912621359,-1,0,-1,23.69695650696065,29.637571216554694,0.799557950759685
P_loathing-d6-v1,0.7777777777777778,0.16034482758620688,0,0,0,12.209009209693026,11.898130677810006,1.0261282645293637
P_loathing-d6-v2,0.5952380952380952,0.260596546310832,0,0,0,24.795439431155195,28.345596534247566,0.8747545152716213
P_loathing-d6-v3,0.8055555555555556,0.13934426229508196,1,1,0,53.432035531398505,46.408170785931944,1.1513497187061301
P_loathing-d6-v4,0.4230769230769231,0.36194563662374823,0,0,0,9.842678755573608,13.505930834763209,0.7287670984862611
P_amazement-d4-v1,0.41935483870967744,0.42408376963350786,0,0,0,18.69549784144546,20.715720344316154,0.9024787276632782
P_amazement-d4-v2,0.5164835164835165,0.3392857142857143,0,0,0,16.60848772913249,27.2205057008332,0.6101461633932082
P_amazement-d4-v3,0.6046511627906976,0.26151315789473684,0,0,0,20.984861728038194,19.523826276962122,1.0748334038377851
P_amazement-d4-v4,0.45161290322580644,0.382306477093207,0,0,0,15.529072747876695,20.4825041552622,0.75816276525565
P_amazement-d5-v1,0.4716981132075472,0.36850393700787404,-1,-1,0,18.319191189255076,19.558792146509145,0.9366217563645887
P_amazement-d5-v2,0.4117647058823529,0.368107302533532,0,0,0,16.13970949074156,18.066392767055394,0.8933553479927354
P_amazement-d5-v3,0.5959595959595959,0.3302752293577982,1,1,0,16.25861392693368,15.039050811794281,1.081093019054763
P_amazement-d5-v4,0.7391304347826086,0.14696969696969697,0,0,0,15.397567424676756,18.55329023191194,0.829910296357161
P_amazement-d6-v1,0.4583333333333333,0.3854660347551343,0,0,0,19.9652884793951,17.509116385347877,1.1402795492194606
P_amazement-d6-v2,0.3644859813084112,0.44376899696048633,0,0,0,14.314923099715088,11.122118522538235,1.2870679073990214
P_amazement-d6-v3,0.4368932038834951,0.41047297297297297,0,0,0,17.114254269707057,16.172284912562432,1.0582458387291382
P_amazement-d6-v4,0.5542168674698795,0.41127694859038144,0,0,0,10.560209274887411,11.235635961437609,0.9398852340220348
P_admiration-d4-v1,0.5306122448979592,0.33183856502242154,0,0,0,21.90203513915792,29.751263993658252,0.7361715592203065
P_admiration-d4-v2,0.49514563106796117,0.33241379310344826,0,0,0,18.384095400508773,28.12130144121272,0.6537426720878425
P_admiration-d4-v3,0.5795454545454546,0.2865761689291101,0,0,0,14.41979607220556,18.37401263058339,0.78479293431044
P_admiration-d4-v4,0.8275862068965517,0.1546218487394958,0,0,0,7.98501661232547,9.152459458187874,0.8724448085631447
P_admiration-d5-v1,0.6138613861386139,0.24533715925394547,-1,-1,0,18.20100152887564,17.731011867126817,1.026506588499531
P_admiration-d5-v2,0.5517241379310345,0.29892141756548535,0,0,0,13.342129323284624,16.45650648642898,0.8107509648865252
P_admiration-d5-v3,0.45263157894736844,0.38264580369843526,0,0,0,10.877447077493883,12.443658644270712,0.8741356954826436
P_admiration-d5-v4,0.5444444444444444,0.2657601977750309,0,0,0,12.403839804754831,13.833376447058338,0.8966602590166802
P_admiration-d6-v1,0.6631578947368421,0.2641509433962264,0,0,0,15.229973234250913,20.448977716900956,0.7447791620841893
P_admiration-d6-v2,0.46808510638297873,0.39705882352941174,0,0,0,14.651240577999788,11.526923340149906,1.2710450893624283
P_admiration-d6-v3,0.3951612903225806,0.4503311258278146,0,0,0,11.690674753244659,13.77190101088355,0.8488787346879063
P_admiration-d6-v4,0.6063829787234043,0.2913719943422914,0,0,0,18.766736937234615,24.25309585542763,0.7737872424747598
P_vigilance-d4-v1,0.65625,0.2590027700831025,0,0,0,13.439026366210468,14.097033484505593,0.9533229404369864
P_vigilance-d4-v2,0.4818181818181818,0.3542234332425068,0,0,0,26.27555627165338,20.879908168819362,1.2584133417060792
P_vigilance-d4-v3,0.5714285714285714,0.3064295485636115,0,0,0,29.31568821091402,21.112589838514886,1.3885405365519867
P_vigilance-d4-v4,0.6436781609195402,0.2028985507246377,0,0,0,17.390952802376987,17.992088897830097,0.9665888121465194
P_vigilance-d5-v1,0.4634146341463415,0.35841313269493846,-1,-1,0,29.41176790478507,19.488695238788544,1.5091706261112807
P_vigilance-d5-v2,0.7142857142857143,0.21282401091405184,0,0,0,17.92574769707857,19.328095688121234,0.9274450550578771
P_vigilance-d5-v3,0.54,0.3356164383561644,0,0,0,19.17420403733258,20.70854520188052,0.9259077798320479
P_vigilance-d5-v4,0.5963302752293578,0.2685069008782936,-2,-1,-1,26.486064297390456,32.607470421942935,0.8122698002141581
P_vigilance-d6-v1,0.41237113402061853,0.43009118541033436,0,0,0,15.968217155731049,15.853840286264639,1.0072143947577867
P_vigilance-d6-v2,0.49019607843137253,0.393646408839779,1,1,0,15.637985624745664,12.944235929406277,1.2081040937391851
P_vigilance-d6-v3,0.5,0.37446808510638296,0,0,0,11.758916086679092,14.255083103027284,0.8248927892457616
P_vigilance-d6-v4,0.6595744680851063,0.19321533923303835,0,0,0,16.056607133419604,22.130890059960404,0.7255291750303492
