r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,is_held_out,layer,relative_depth,target
-1.7473819574175047,-1.6256340007354648,-1.8873602814992965,-2.040469494802322,0.0,0.9753863663543072,-1.8513839951021973,Operational: Alignable Geometry,True,0,0.0,Valence_human
-2.2651978005953652,-1.9685958342815888,-2.6010556028955008,-2.211611048257705,0.0,0.9753863663543072,-2.170955401282862,Operational: Alignable Geometry,True,0,0.0,Arousal_human
-1.3576767130324323,-1.4303131776667968,-1.584693544366068,-1.7291957333232304,0.0,0.989558513369785,-1.6278112333065664,Operational: Alignable Geometry,True,1,0.037037037037037035,Valence_human
-1.648748328330833,-1.6223482772619962,-1.8997727869892085,-1.8596157701947504,0.0,0.989558513369785,-1.7830369952709626,Operational: Alignable Geometry,True,1,0.037037037037037035,Arousal_human
-1.4065119111548925,-1.5073934285163868,-1.8463348945357692,-1.6508252160919388,0.0,0.9851731777328279,-1.7610567871049616,Operational: Alignable Geometry,True,2,0.07407407407407407,Valence_human
-1.8757222063290948,-1.6935554098579275,-1.981641379693842,-1.9751237518834261,0.0,0.9851731777328279,-1.9688319289338443,Operational: Alignable Geometry,True,2,0.07407407407407407,Arousal_human
-1.518830683637792,-1.586113311540545,-1.8328895886188024,-1.8477650767759597,0.0,0.9835881275168807,-1.8000194746963571,Operational: Alignable Geometry,True,3,0.1111111111111111,Valence_human
-1.873821096436624,-1.642752517059379,-2.0518206907509198,-1.9325927224617905,0.0,0.9835881275168807,-1.8466876450589198,Operational: Alignable Geometry,True,3,0.1111111111111111,Arousal_human
-1.9017416928539603,-1.651823992525061,-2.253240264444777,-2.2503134041574446,0.0,0.9810646497131481,-1.9480996866058864,Operational: Alignable Geometry,True,4,0.14814814814814814,Valence_human
-1.809204269199856,-1.532224774730302,-2.0999058279486036,-1.9442040317588245,0.0,0.9810646497131481,-1.7991393811078327,Operational: Alignable Geometry,True,4,0.14814814814814814,Arousal_human
-1.4719786672132509,-1.502905297188538,-1.9213802687142985,-2.5597718122851614,0.0,0.9660144783302498,-1.6362830849969954,Operational: Alignable Geometry,True,5,0.18518518518518517,Valence_human
-1.92279815724724,-1.7732581798721223,-2.593301506294691,-2.9313355708689293,0.0,0.9660144783302498,-1.9632640372898522,Operational: Alignable Geometry,True,5,0.18518518518518517,Arousal_human
-1.2435600580301904,-1.3803443963776756,-1.556964413034108,-2.13092678933751,0.0,0.96724421823135,-1.5129407472320549,Operational: Alignable Geometry,True,6,0.2222222222222222,Valence_human
-1.420107248280066,-1.589420787325278,-2.732542136922127,-2.688093008110418,0.0,0.96724421823135,-1.83787495182907,Operational: Alignable Geometry,True,6,0.2222222222222222,Arousal_human
-1.3628127984926897,-1.7296585023939905,-2.065918358849369,-2.522585353649672,0.0,0.9728325380049114,-1.9304352668216054,Operational: Alignable Geometry,True,7,0.25925925925925924,Valence_human
-1.5141896939111357,-1.4965412441320476,-2.34133976062029,-2.373558565059188,0.0,0.9728325380049114,-1.8098870144195582,Operational: Alignable Geometry,True,7,0.25925925925925924,Arousal_human
-1.2146150253172805,-1.4682612195316387,-1.8505602137484325,-1.9464875512124906,0.0,0.9690811591867974,-1.6442650990703784,Operational: Alignable Geometry,True,8,0.2962962962962963,Valence_human
-1.608312093836743,-1.723268373191531,-2.446298534247223,-2.6914203004245247,0.0,0.9690811591867974,-2.0442284804787056,Operational: Alignable Geometry,True,8,0.2962962962962963,Arousal_human
-1.1608076392399669,-1.397913517559767,-1.812702644144867,-2.065458670787323,0.0,0.9663399795579709,-1.570478780783437,Operational: Alignable Geometry,True,9,0.3333333333333333,Valence_human
-1.608746848832264,-1.7402559042897896,-2.4052661172064407,-2.4885860607075645,0.0,0.9663399795579709,-2.129275604607543,Operational: Alignable Geometry,True,9,0.3333333333333333,Arousal_human
