layer,probe_r2_mlp,probe_r2_resid,causal_rec_mlp,causal_shift_mlp,causal_rec_resid,causal_shift_resid
0,0.3062497237612256,0.31534113783096807,0.0,-1.2868889366681968,0.0,-2.5897536999403434
1,0.3060443527268205,0.35279325283238205,0.0,0.7320836611466611,0.0,0.03388774093889213
2,0.35663618692390975,0.38945384936757343,0.0,-13.233714773855661,0.0,-7.62384485709287
3,0.4144176692603998,0.3791957342122457,0.0,-0.3664353379308461,0.0,-10.768521495943796
4,0.3862412661250699,0.36181015422404716,0.0,1.5877089790286723,0.0,-9.536547505416674
5,0.3681058355393517,0.4041163128251787,0.0,3.636882310849674,0.0,-11.264360877828722
6,0.4285081639791283,0.4701717526331275,0.0,-1.3413617376898306,0.0,-15.788374650633353
7,0.5006035397847892,0.48419113677142966,0.0,3.747625486952297,0.0,-9.090764104063059
8,0.4709736924652552,0.46681953928992426,0.0,-4.616661682709053,0.0,-7.260195494943219
9,0.4276282418894486,0.41373705615252354,0.0,1.721580176960114,0.0,-6.649035343776501
10,0.4841291589109613,0.48349237961621416,0.0,-0.09869126524494824,0.0,-4.214160677061461
11,0.47728650044453924,0.4679316910044061,0.0,-1.5036477257354437,0.0,-2.37838112638624
12,0.425011381761529,0.45719487840071016,0.0,-6.577282989389617,0.0,-4.23084906677126
13,0.48813645343958534,0.4878601005059775,0.0,-0.9681444344112444,0.0,-0.17243829638817254
14,0.5304453747051623,0.5089301234987558,0.0,1.4078424767128472,0.0,-0.02909181220154681
15,0.5482834274370876,0.49168665348422813,0.0,1.5093541485199713,0.0,0.7842295455088146
16,0.4994511932650081,0.4816006939965899,0.0,0.3611712091572934,0.0,0.8033544482696282
17,0.4533393170220894,0.4595984293875178,0.0,-1.162859108038251,0.0,1.2224461735395964
18,0.5102173132740307,0.5063572167840549,0.0,-1.0207732938521665,0.0,0.06039774131762638
19,0.41757647431070344,0.4513666574672026,0.0,-1.0601156936695095,0.0,0.3087751156508627
20,0.4421188497923516,0.41150856103626043,0.0,-0.45728441344823423,0.0,-0.9506937748098441
21,0.5151343266669424,0.34483716186783164,0.0,-1.1408041840528313,0.0,-0.7639825244671302
22,0.3577104908502714,0.16100976365599484,0.0,-0.6913459686425475,0.0,-0.3876497287193671
23,0.3733610429166222,0.19105225519043623,0.0,-0.5350551516704476,0.0,-0.024583048656039847
24,0.41173164373856186,0.14116914543489112,0.0,-0.5403142318081816,0.0,-0.5106770685409984
25,0.3098061512625253,0.11046107428531726,0.0,-0.16577039824687873,0.0,-0.9429377226806694
26,0.4193084999209856,0.24008438166303714,0.0,-0.4145974203469573,0.0,-0.18300803805592375
27,0.26972138521071143,0.2024731234338868,0.0,0.0,0.0,0.0
