layer,component,n_rand,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp
10,mlp,100,0.005726445233664568,-0.08128112566461823,0.00863663001650708,0.00768178360111802,-1.3093331068526415,0.900990099009901,0.006317054211451622,0.0004510761812223265,-1.1665491954431655,0.900990099009901,0.006312680904986612,0.0005025383186684522,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
10,attn,100,0.006055559612083338,-0.7748413385650927,0.00690882034318187,0.006225445326352339,-0.6408759375070858,0.7425742574257426,0.006380197642415197,0.0005065536265796679,-0.649542121092166,0.7623762376237624,0.006360299361019379,0.00046916087354525874,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
10,resid,100,0.0063948491432902895,0.17107218194186052,0.007918673438726466,0.0075088834405794055,-0.26471401145944173,0.6039603960396039,0.006552371000712399,0.0005950642980839891,-0.07159969109886609,0.5247524752475248,0.00643287884274507,0.0005311433453290836,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
15,mlp,100,0.0053425378469517835,-0.15800978909212465,0.0059683799125411,0.005665702047579742,-1.066242627488124,0.8811881188118812,0.005787018771573529,0.0004168665866125258,-0.952129632997347,0.8613861386138614,0.005766440374717987,0.00044521513990877396,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
15,attn,100,0.005174073723988791,0.3389301558662331,0.005832469260537406,0.005437566989535057,-1.5321915786694293,0.9801980198019802,0.0058159337147859844,0.0004189162763540255,-1.4738985813880194,0.9108910891089109,0.005776231797022049,0.0004085478340485173,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
15,resid,100,0.005248834821711196,-0.7621984385816367,0.005945353291796892,0.0060975981100560685,-1.4848109092564206,0.9405940594059405,0.005923024740152558,0.00045405776199407803,-1.3281101677173985,0.9306930693069307,0.0058742185289823775,0.00047088240303590087,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
18,mlp,100,0.005101252054633189,0.3065525177154249,0.005205181136814698,0.005870823820233156,-0.8837114914636875,0.8217821782178217,0.005412419611738376,0.00035211441755702574,-0.7096956077879414,0.7821782178217822,0.00539016049290331,0.0004070878206089268,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
18,attn,100,0.004609814827556249,0.18995681078708138,0.005665610108096297,0.005251352692573408,-1.870196463607139,0.9504950495049505,0.005365695741656532,0.00040417192995990345,-1.6806287622632117,0.9702970297029703,0.005285454414909877,0.00040201596124285103,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
18,resid,100,0.004866678255520065,0.3937570037325616,0.006247897574337665,0.006448967694851012,-1.1737756875896765,0.900990099009901,0.005352584062313348,0.0004139681984648018,-1.2803923520289209,0.9207920792079208,0.005375294615779289,0.00039723476905595813,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
20,mlp,100,0.004560618496272666,-1.4302743937256315,0.004792146638451923,0.005005789275922259,-1.5670345451618324,0.9405940594059405,0.00507752863377538,0.0003298651833162561,-1.006219763102788,0.8217821782178217,0.0050322037535966225,0.00046867023946118094,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
20,attn,100,0.004879071520048934,-1.100693208013337,0.004956733038467341,0.004184545336547953,-0.6982156641569826,0.7326732673267327,0.005161507824889737,0.0004045115561562394,-0.603360850348553,0.7326732673267327,0.005127606410363808,0.0004119174954279827,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
20,resid,100,0.005313655891561786,-0.15837774895498258,0.005077980971501252,0.005015817482349925,0.4201756733436641,0.3465346534653465,0.0051441970249842105,0.0004033048016060984,0.5124863868194008,0.297029702970297,0.005103422099003971,0.0004102231746341023,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
24,mlp,100,0.00357501306428293,-0.15251566156314994,0.003221965412265515,0.004085806052919818,-1.7511276760730514,0.9702970297029703,0.00410864066303179,0.0003047336902044367,-1.6448041604708814,0.9801980198019802,0.00409782547228768,0.00031785693432042207,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
24,attn,100,0.0030021914440173636,0.03253766357678804,0.0037994924984470547,0.003528062195249211,-3.7016732658448235,1.0,0.004148127192053625,0.00030957236518137904,-3.5681261745284285,1.0,0.004163212338326274,0.00032538672611888593,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
24,resid,100,0.00403455442754023,-0.4717861862326191,0.004115544744021044,0.003951365564155132,-0.5653577819651728,0.7227722772277227,0.004241704911247309,0.0003664060004392761,-0.25697481215953605,0.6138613861386139,0.004125857635886584,0.00035530022409227763,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
