layer,probe_r2_mlp,probe_r2_resid,causal_rec_mlp,causal_shift_mlp,causal_rec_resid,causal_shift_resid
0,0.3062028859811994,0.31529874995017393,0.2536597687444127,-0.5516858643250601,-1.4805989534382369,-2.3778013730053624
1,0.30604723097537256,0.3525412140066627,0.6477274966755734,-0.07225006561048797,-0.6176183380513304,-0.4974745065210653
2,0.35671959310884005,0.38930258150174,-4.1994474577277545,-12.175776853933456,-4.937474767802739,-6.921337486856719
3,0.41469373227658735,0.3787286851014836,0.07198882525193111,-0.13006509200672942,-7.429192998237542,-10.933645699111146
4,0.3862931571952146,0.3623974703030093,-1.7166614096562962,1.0843320786105088,-5.627356432668772,-8.783080310783072
5,0.36707447133486815,0.4034290449946839,-0.07649773302118283,4.940665283446384,-7.080642707715485,-11.176846623839596
6,0.427979856293494,0.4697960888617583,-1.5809475030418525,-0.7917270561989808,-8.038471478064091,-15.145605436952348
7,0.5007749056537675,0.4840464573754988,0.9669945981650562,4.199622338664932,-3.8854371377531622,-9.001233406838535
8,0.4691703129581106,0.46523465192654423,-3.1956381703732504,-5.299976965011822,-3.314039679902636,-6.6000358508499435
9,0.4274507898599309,0.4123785471360617,0.8073761548257089,1.6555313800890492,-3.7358556836377605,-6.830253816584511
10,0.48373295935949245,0.4826755077460929,-0.5374203753089124,-0.7512009500089303,-1.6223872680197902,-3.8853902977355137
11,0.47546129255971636,0.4659534882730302,-0.03431011237330953,-1.5440331738462048,-0.28767541628928434,-2.411978229494886
12,0.42441375019398786,0.45680544109681365,-3.1589251147466455,-7.046621301905478,-1.3089086485227945,-3.7758695824133195
13,0.48609766874566285,0.48528737423520474,-0.3510614430186269,-1.26452260941094,-0.3399789662025654,-0.12828165193928676
14,0.5287672659827592,0.5078604366340116,0.9573464176208768,1.5668336153926863,-0.2275022943978633,-0.028870552958452343
15,0.5473966684291425,0.4909218566963305,0.5603220190500872,1.63506204350484,-0.28638049968341406,0.6225771706844307
16,0.49918103548178716,0.4827548375470202,0.03128138206392128,0.5863951915725085,0.39471626464788745,0.7281534046369761
17,0.451067791877081,0.45936593698483064,-0.24582160689176438,-0.9440719921008429,0.27732694884489595,1.2334877359124659
18,0.5093070648225226,0.5069427644790807,-0.38515329921289104,-1.2583920545415404,0.3774235620445772,0.11997818532082764
19,0.4172164349849792,0.4522664727632404,-0.17404339960878015,-0.22809929101573023,0.05039826276074614,-0.05036755937356985
20,0.44228697275124695,0.4115989854698274,-0.4514739848245493,-0.8348144215426045,-0.29293209205328335,-0.4745479388397718
21,0.515994454641886,0.34558672667131174,-0.34886183659256736,-0.7817656573625691,-0.05937301085934414,-0.2787610721823221
22,0.3521260357640956,0.15855083143890258,-0.24983088189995434,-1.1374326258299143,-0.2453303362561554,-0.6515664152333973
23,0.3658724594215975,0.17843705384629405,-0.43095168749613716,-0.9069162855476194,-0.05942948822132976,-0.31344817269343517
24,0.40901268868915786,0.12710015258191554,-0.07655017125902959,-0.6564681440591976,-0.15286372003854,-0.4527373692257462
25,0.2994736174777346,0.09538090398584997,-0.10187564475961772,-0.4883378706682247,-0.43698309119107587,-1.043873573901776
26,0.4115050372685508,0.22539075408995546,-0.1619413568384842,-0.3702042435037062,0.02620032912444318,-0.008377611570210969
27,0.2798667878646748,0.2134554002521163,0.0,0.0,0.0,0.0
