condition,layers,num_layers,total_pairs,valid_pairs,mean_recovery,median_recovery,ci_95_low,ci_95_high,iqr_25,iqr_75,positive_fraction
L18_only,[18],1,39,39,43.472833578248654,50.78572500396545,36.58626212923858,49.432691239890616,35.56487337603181,56.80921956111613,92.3076923076923
L20_only,[20],1,39,39,51.926245005556396,60.284519688470404,44.58100220180438,59.09533257182585,39.883648288076564,64.55666963208675,97.43589743589743
L24_only,[24],1,39,39,55.07387041909011,62.153399039068034,47.83633149275061,61.67230210649361,40.97882124235163,71.30624504152313,100.0
L18_L20,"[18, 20]",2,39,39,51.09608628731613,60.27949450622485,43.72578807004891,57.979886650126694,40.90647587652691,64.82712579730602,97.43589743589743
L20_L24,"[20, 24]",2,39,39,55.74219151372306,62.11793411060545,48.871455229016,62.29946332573232,41.88480202366971,69.93838218954656,97.43589743589743
L18_L20_L24,"[18, 20, 24]",3,39,39,55.70085824708448,63.11205651603067,48.889858754549465,61.76410341102511,43.636254560225964,70.85990218438243,97.43589743589743
L18_to_L24_contiguous,"[18, 19, 20, 21, 22, 23, 24]",7,39,39,55.378866581917265,63.532624693521534,47.730751745102665,62.01622174034148,42.37377350245182,70.62932177080424,94.87179487179486
