layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp,fdr_q_joint_168_iso,fdr_q_joint_168_perp,fdr_sig_joint_168
0,mlp,False,0.0077760665098166,-0.1394058596451234,0.0084029364133058,0.0080746719748673,0.9861442104166388,0.238095238095238,0.0071684016605982,0.0006162028259148,0.6035337638074593,0.3809523809523809,0.0073707832338346,0.0006715171549395,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
0,attn,False,0.0074625248186911,-1.811698195774448,0.0079154666855496,0.0085147007514328,0.4519894966693558,0.4285714285714285,0.0071814295947803,0.0006219065398246,0.0971940586082776,0.4761904761904761,0.0073923759145204,0.0007217406616739,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
0,resid,False,0.0082392181531948,-2.8254996363037685,0.0081246948650068,0.0090809161938225,1.1047807432700292,0.1904761904761904,0.0075431362014881,0.0006300634365207,1.1463930257745,0.238095238095238,0.0075188834056661,0.0006283488570964,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
1,mlp,False,0.0071859953224043,-2.0141662124371127,0.007855882677455,0.0076027525582274,-0.6015825360241956,0.7142857142857143,0.0075501385686097,0.0006053088718499,-0.0172667777570481,0.5714285714285714,0.0071963698081358,0.000600835076322,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.9343065693430657,0.897196261682243,False
1,attn,False,0.0078224029512502,-1.8240156214195056,0.0089474807112011,0.0078006341601235,0.90265812870641,0.1904761904761904,0.0073458986999401,0.0005278900573277,1.3146173912404813,0.1428571428571428,0.0071721415072614,0.0004946393135535,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
1,resid,False,0.0073586855317152,-1.8736647046071295,0.0092967009294979,0.0089729934110084,0.4294909713288187,0.4285714285714285,0.0071564046864371,0.0004709781084622,0.2733216182585214,0.4285714285714285,0.0072065201173079,0.0005567265969549,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
2,mlp,False,0.0076974192338752,-1.945641303785253,0.0090959156406647,0.0086547565919193,0.7434946986888019,0.238095238095238,0.007259773529461,0.0005886332547979,0.9416403243502032,0.1904761904761904,0.0072605325779703,0.0004639634100275,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
2,attn,False,0.0074409299638244,-0.7218750121617139,0.0104587358067568,0.0081809490913041,0.3424845717078282,0.3333333333333333,0.0072667241070809,0.0005086531515121,-0.1130380885963736,0.6666666666666666,0.0075007707041863,0.0005293856354524,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.875,False,0.897196261682243,0.9256198347107438,False
2,resid,False,0.0073634906982649,0.2372329931910786,0.0080593176973932,0.0083358774824735,0.1487258154630928,0.4285714285714285,0.0072754918043177,0.0005916854022502,0.1881164011602308,0.3809523809523809,0.0072640686283843,0.000528513565364,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
3,mlp,False,0.0073287825926313,-0.9416210138945114,0.0112245335219746,0.0095689286813702,0.1293211187384423,0.4285714285714285,0.0072575921697632,0.0005504934040361,-0.2161909656386143,0.6666666666666666,0.0074675919620503,0.0006420683168186,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.875,False,0.897196261682243,0.9256198347107438,False
