layer,component,total_pairs,valid_pairs_prompt,prompt_mean_ot_recovery,prompt_median_ot_recovery,valid_pairs_gen,gen_mean_ot_recovery,gen_median_ot_recovery,gen_iqr_25,gen_iqr_75,gen_positive_fraction
10,mlp,39,32,0.42468778120537953,0.42844571334332837,39,0.1840658501330089,0.8016783374490299,-4.650977669361422,4.086960974993936,53.84615384615385
10,attn,39,32,0.6824469020138724,0.10973357057039723,39,0.9071339313879881,0.9405021842303629,-2.255613669213974,3.4946288119915128,56.41025641025641
10,resid,39,32,0.5353168834929904,0.13050998883677445,39,-1.4165195890474123,0.15089900417010194,-3.8433002408171824,3.2903328302819332,51.28205128205128
14,mlp,39,32,0.9104705424535456,0.9957135884409274,39,-1.55021727155646,-1.048454688978362,-4.3061313518118265,2.222178408358438,46.15384615384615
14,attn,39,32,0.1536405398340549,0.2760854974732718,39,-0.39445594199467554,0.2093899169337443,-1.9906596074476535,3.244145102520768,51.28205128205128
14,resid,39,32,1.3770682199499036,1.0670873858051322,39,0.5151054916479989,2.059654587205473,-3.6403889536624545,5.660177535823369,61.53846153846154
15,mlp,39,32,0.5100791672834216,0.47482304838239453,39,-0.05972492834661756,0.5013658454732894,-2.8902632602348266,3.043100598374149,53.84615384615385
15,attn,39,32,-1.1364430187350834,-0.6106205891064809,39,3.455306913912008,5.319309210198686,-1.6973963974249107,12.661741525555465,69.23076923076923
15,resid,39,32,0.24404883351140627,0.3406197671083966,39,7.397533141970178,9.704689976341928,-1.432070932645313,16.364161020168723,74.35897435897436
18,mlp,39,32,1.250822053857491,0.5969191135083651,39,8.027703851305702,7.721493988900274,2.521868738592498,15.681104672371838,87.17948717948718
18,attn,39,32,0.4356198565433542,0.6823317931924422,39,-6.824226690328541,-6.872118360897472,-12.97855375477358,1.0983446361875482,30.76923076923077
18,resid,39,32,0.6306813741779032,0.28309777251810386,39,42.120629300255544,49.313064158456434,34.02265323773895,56.13571950906152,94.87179487179486
20,mlp,39,32,-0.4218512640688836,-0.43634093681228503,39,10.54182002584735,14.225790287614604,3.636384984234664,21.044172904982737,82.05128205128204
20,attn,39,32,0.6720750714020334,0.17648488100145965,39,1.3231211107690726,0.3004301598185988,-6.245857346788275,6.9396002215166614,51.28205128205128
20,resid,39,32,1.0072506285011538,0.26461274019264347,39,50.220186271275246,60.15585871049427,32.4736095357077,66.31123876460163,97.43589743589743
24,mlp,39,32,-0.31524781330647506,-0.4727329842023842,39,15.043034515825463,17.874897530998833,5.987407291268737,25.955454537051743,87.17948717948718
24,attn,39,32,0.33941161018810095,0.09401581994537,39,0.0034890231464518168,0.5989044615318351,-0.8888482536804077,2.464169087025131,56.41025641025641
24,resid,39,32,-0.2634930866409566,-0.186358977859713,39,53.2432248106555,61.57208000129346,40.220634317095275,71.24000314314587,94.87179487179486
